date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,2.48,波动状态,高波动扩张,35.46,1,99,样本偏少,17.17,41.41,58.59,13.13,1.01,33.33,1.2471,-1.338,0.9814,-0.1428
2026-06-01,2.48,波动状态,高波动扩张,35.46,3,99,样本偏少,21.21,39.39,60.61,20.2,22.22,22.22,2.2067,-3.4594,0.8234,-0.2184
2026-06-01,2.48,波动状态,高波动扩张,35.46,5,98,样本偏少,22.45,38.78,61.22,19.39,33.67,22.45,-0.1119,-4.9652,0.8027,-0.2955
2026-06-01,2.48,波动状态,高波动扩张,35.46,10,98,样本偏少,46.94,26.53,73.47,15.31,52.04,16.33,-5.9473,-10.4801,0.7864,-0.3302
2026-06-01,2.48,短ATR状态,短ATR升温,100.0,1,443,弱,7.9,53.95,46.05,11.29,1.35,54.63,2.1029,0.445,1.2471,0.0764
2026-06-01,2.48,短ATR状态,短ATR升温,100.0,3,441,中强,17.46,58.73,41.27,24.94,8.39,49.66,4.2964,2.319,1.1542,-0.0013
2026-06-01,2.48,短ATR状态,短ATR升温,100.0,5,439,中强,17.54,58.77,41.23,35.76,12.3,48.06,6.1608,4.1108,1.1304,-0.0347
2026-06-01,2.48,短ATR状态,短ATR升温,100.0,10,434,中强,23.04,61.52,38.48,46.08,21.43,41.71,10.1186,7.4393,1.0783,-0.0882
2026-06-01,2.48,波动超额状态,振幅已超ATR,52.87,1,413,弱,4.12,52.06,47.94,10.41,0.48,57.14,2.1274,0.2993,1.2402,0.1094
2026-06-01,2.48,波动超额状态,振幅已超ATR,52.87,3,413,中强,16.71,58.35,41.65,23.73,5.57,47.94,4.426,2.3544,1.1244,-0.0133
2026-06-01,2.48,波动超额状态,振幅已超ATR,52.87,5,411,中强,19.22,59.61,40.39,35.52,10.46,47.2,6.9534,3.8145,1.1384,-0.0299
2026-06-01,2.48,波动超额状态,振幅已超ATR,52.87,10,406,强,28.08,64.04,35.96,45.57,19.46,38.92,11.3286,7.7248,1.0652,-0.102
2026-06-01,2.48,趋势状态,强趋势上行,100.0,1,656,弱,3.96,48.02,51.98,8.23,0.3,53.81,1.3805,-0.2979,1.1862,0.0442
2026-06-01,2.48,趋势状态,强趋势上行,100.0,3,654,中强,16.51,58.26,41.74,23.7,4.89,51.07,4.405,1.7432,1.1622,0.0155
2026-06-01,2.48,趋势状态,强趋势上行,100.0,5,652,中强,20.86,60.43,39.57,33.44,8.44,48.47,7.3567,3.9493,1.1449,-0.0113
2026-06-01,2.48,趋势状态,强趋势上行,100.0,10,647,强,29.21,64.61,35.39,46.99,16.54,44.67,11.7063,8.417,1.0884,-0.0648
2026-06-01,2.48,量能状态,放量,100.0,1,305,中,10.82,55.41,44.59,10.16,0.66,59.34,2.2571,0.6588,1.2868,0.1254
2026-06-01,2.48,量能状态,放量,100.0,3,305,强,25.25,62.62,37.38,25.57,3.93,50.49,4.9301,2.949,1.146,0.0043
2026-06-01,2.48,量能状态,放量,100.0,5,303,中强,22.77,61.39,38.61,38.28,7.26,50.5,7.9339,4.8644,1.1796,0.0043
2026-06-01,2.48,量能状态,放量,100.0,10,298,强,33.56,66.78,33.22,49.66,20.47,43.29,12.0213,9.7529,1.0982,-0.0604
