component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1365,强,32.89,33.55,66.45,2.2,0,32.6,-0.4509,-1.2823,0.9214,-0.1827,2026-05-17 16:00
波动状态,波动压缩,3,1365,中强,20.73,39.63,60.37,9.82,3.37,38.68,-0.0088,-1.6502,0.9962,-0.1114,2026-05-17 16:00
波动状态,波动压缩,5,1365,中,11.65,44.18,55.82,16.26,13.41,40.29,1.0439,-1.2769,1.0277,-0.1023,2026-05-17 16:00
波动状态,波动压缩,10,1365,弱,5.2,52.6,47.4,26.81,20.81,41.03,3.5844,0.8836,1.04,-0.0829,2026-05-17 16:00
波动状态,常态波动,1,1376,中强,20.64,39.68,60.32,1.6,0,37.06,-0.1352,-0.7838,0.9556,-0.1265,2026-05-21 20:00
波动状态,常态波动,3,1376,中,12.79,43.6,56.4,8.87,3.27,38.52,0.0842,-1.194,0.9844,-0.1227,2026-05-21 20:00
波动状态,常态波动,5,1376,中,11.34,44.33,55.67,15.55,11.92,40.99,0.563,-1.5232,1.0046,-0.0995,2026-05-21 20:00
波动状态,常态波动,10,1376,弱,7.27,46.37,53.63,23.98,24.2,40.63,2.1939,-1.4175,0.996,-0.091,2026-05-21 20:00
波动状态,低波动启动,1,1644,弱,4.5,52.25,47.75,4.5,0,48.3,1.2393,0.2238,1.13,-0.0157,2026-05-21 04:00
波动状态,低波动启动,3,1644,弱,6.69,53.35,46.65,16.91,2.13,45.32,2.8978,0.696,1.0739,-0.0431,2026-05-21 04:00
波动状态,低波动启动,5,1644,中,9.61,54.81,45.19,22.57,8.03,42.52,4.0866,1.0686,1.0408,-0.0711,2026-05-21 04:00
波动状态,低波动启动,10,1644,中强,18,59,41,32.66,16.24,40.57,7.0905,3.0838,1.0167,-0.0985,2026-05-21 04:00
波动状态,高波动扩张,1,1580,弱,0.63,49.68,50.32,5.25,0.7,44.75,0.7318,-0.0621,1.0733,-0.0479,2026-05-30 04:00
波动状态,高波动扩张,3,1580,弱,7.85,46.08,53.92,13.42,6.58,40.38,1.1636,-0.7215,0.9994,-0.0874,2026-05-30 04:00
波动状态,高波动扩张,5,1580,中,13.29,43.35,56.65,17.53,15.63,36.84,1.0314,-1.4226,0.9613,-0.1316,2026-05-30 04:00
波动状态,高波动扩张,10,1577,中强,15.92,42.04,57.96,22,29.87,33.93,0.3357,-3.3463,0.9376,-0.1699,2026-05-29 04:00
波动状态,高波动冷却,1,1801,强,39.59,30.21,69.79,1.11,0,29.21,-0.8768,-1.5931,0.8642,-0.2376,2026-05-30 20:00
波动状态,高波动冷却,3,1799,强,41.08,29.46,70.54,6.23,8.62,30.02,-2.0079,-3.8071,0.9013,-0.2089,2026-05-30 12:00
波动状态,高波动冷却,5,1797,强,36.89,31.55,68.45,10.02,28.21,32.55,-2.7647,-5.0755,0.9254,-0.1978,2026-05-30 00:00
波动状态,高波动冷却,10,1795,强,39.94,30.03,69.97,14.21,42.62,36.71,-4.2582,-7.3512,0.9663,-0.157,2026-05-29 08:00
短ATR状态,短ATR降温,1,2520,强,36.19,31.9,68.1,1.79,0,30,-0.6294,-1.4409,0.8927,-0.2144,2026-05-30 20:00
短ATR状态,短ATR降温,3,2518,强,28.44,35.78,64.22,8.98,5.84,34.11,-0.997,-2.7537,0.9486,-0.1643,2026-05-17 16:00
短ATR状态,短ATR降温,5,2518,强,26.13,36.93,63.07,13.26,20.73,34.55,-1.1578,-3.3639,0.9531,-0.1641,2026-05-17 16:00
短ATR状态,短ATR降温,10,2518,中,14.14,42.93,57.07,20.85,30.5,39.59,0.144,-3.105,1.0051,-0.1,2026-05-17 16:00
短ATR状态,短ATR升温,1,2093,弱,2.15,51.08,48.92,5.26,0.53,47.73,1.0182,0.0974,1.1077,-0.0208,2026-05-29 20:00
短ATR状态,短ATR升温,3,2093,弱,0.62,49.69,50.31,15.24,4.16,43.48,2.133,-0.0441,1.0318,-0.0631,2026-05-29 20:00
短ATR状态,短ATR升温,5,2093,弱,1.39,50.69,49.31,20.64,10.99,42.43,2.8201,0.1497,1.0171,-0.0777,2026-05-29 20:00
短ATR状态,短ATR升温,10,2091,弱,1.58,50.79,49.21,27.5,21.62,38.93,3.5444,0.4587,0.9936,-0.1092,2026-05-28 00:00
短ATR状态,短ATR中性,1,3153,中强,16.33,41.83,58.17,2.35,0,38.92,0.085,-0.676,0.9877,-0.1091,2026-05-30 12:00
短ATR状态,短ATR中性,3,3153,中强,15.32,42.34,57.66,9.93,4.79,38.44,0.3616,-1.3067,0.9933,-0.118,2026-05-30 12:00
短ATR状态,短ATR中性,5,3151,中,12.73,43.64,56.36,15.8,15.26,38.78,0.8227,-1.4957,0.9995,-0.114,2026-05-30 04:00
短ATR状态,短ATR中性,10,3148,中,12.01,44,56,23.35,28.59,37.13,1.4867,-2.6188,0.974,-0.1419,2026-05-29 08:00
量能状态,放量,1,1370,弱,5.11,52.55,47.45,5.91,0.66,50.95,1.3655,0.2757,1.1609,0.0125,2026-05-29 16:00
量能状态,放量,3,1370,弱,5.99,52.99,47.01,16.72,3.28,44.38,2.9527,0.5292,1.0544,-0.049,2026-05-29 16:00
量能状态,放量,5,1370,弱,3.65,51.82,48.18,22.26,8.61,41.46,3.6764,0.5454,1.0192,-0.0862,2026-05-29 16:00
量能状态,放量,10,1368,弱,7.75,53.87,46.13,31.21,20.25,36.48,5.5808,1.7755,0.9829,-0.1222,2026-05-29 00:00
量能状态,量能正常,1,2997,中,9.31,45.35,54.65,3.37,0.07,41.07,0.4516,-0.4039,1.0258,-0.0829,2026-05-30 12:00
量能状态,量能正常,3,2997,中,8.24,45.88,54.12,11.88,3.67,40.07,0.9937,-0.7424,1.0056,-0.1,2026-05-30 12:00
量能状态,量能正常,5,2996,弱,7.74,46.13,53.87,17.26,12.82,40.05,1.4359,-0.8732,0.999,-0.1056,2026-05-30 04:00
量能状态,量能正常,10,2995,弱,5.51,47.25,52.75,25.21,24.77,37.03,2.2667,-0.9462,0.9775,-0.143,2026-05-29 08:00
量能状态,缩量,1,3399,强,34.51,32.74,67.26,1.38,0,30.98,-0.7094,-1.4267,0.8877,-0.209,2026-05-30 20:00
量能状态,缩量,3,3397,强,30.82,34.59,65.41,8.04,6.77,34.5,-1.1566,-2.9046,0.9484,-0.1658,2026-05-30 08:00
量能状态,缩量,5,3396,中强,24.97,37.51,62.49,13.02,21.53,35.69,-1.1069,-3.007,0.9685,-0.1512,2026-05-30 00:00
量能状态,缩量,10,3394,中强,18.92,40.54,59.46,19.24,32.44,40.42,-0.5802,-3.7954,1.0025,-0.1006,2026-05-29 04:00
趋势状态,强趋势上行,1,2247,中,13.57,43.21,56.79,2.76,0.22,48.15,0.1538,-0.6261,1.0819,-0.0166,2026-05-27 12:00
