date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,2.25,波动状态,高波动冷却,44.66,1,864,强,37.96,31.02,68.98,1.39,0,24.54,-0.9311,-1.402,0.847,-0.2194
2026-05-30 16:00,2.25,波动状态,高波动冷却,44.66,3,862,强,43.39,28.31,71.69,6.26,11.72,30.05,-2.3724,-3.8163,0.883,-0.216
2026-05-30 16:00,2.25,波动状态,高波动冷却,44.66,5,862,强,45.01,27.49,72.51,8.93,28.31,32.6,-3.4432,-5.9286,0.9221,-0.1674
2026-05-30 16:00,2.25,波动状态,高波动冷却,44.66,10,861,强,43.32,28.34,71.66,15.21,45.53,34.61,-4.8721,-8.4949,0.9306,-0.1599
2026-05-30 16:00,2.25,短ATR状态,短ATR中性,99.07,1,1357,中,11.27,44.36,55.64,3.1,0.66,37.51,0.1117,-0.4127,0.977,-0.123
2026-05-30 16:00,2.25,短ATR状态,短ATR中性,99.07,3,1356,中,14.9,42.55,57.45,11.58,6.34,39.6,0.6825,-1.2235,1.0055,-0.12
2026-05-30 16:00,2.25,短ATR状态,短ATR中性,99.07,5,1356,中强,15.78,42.11,57.89,16.74,16.89,36.5,0.9479,-2.0157,0.9755,-0.1409
2026-05-30 16:00,2.25,短ATR状态,短ATR中性,99.07,10,1356,中,12.24,43.88,56.12,25.29,28.69,40.27,2.2498,-2.637,1.0016,-0.1096
2026-05-30 16:00,2.25,余动能状态,接近正常动能,0.76,1,1339,弱,4.56,47.72,52.28,2.46,0.22,40.63,0.2438,-0.2089,1.0066,-0.0933
2026-05-30 16:00,2.25,余动能状态,接近正常动能,0.76,3,1338,中,11.51,44.25,55.75,10.09,6.13,40.06,0.6649,-0.8362,1.0067,-0.1026
2026-05-30 16:00,2.25,余动能状态,接近正常动能,0.76,5,1337,中,10.7,44.65,55.35,15.86,16.98,39.34,1.3219,-1.2299,1.0007,-0.1221
2026-05-30 16:00,2.25,余动能状态,接近正常动能,0.76,10,1333,中,9.23,45.39,54.61,26.03,27.53,39.76,2.5804,-1.8412,1.01,-0.1085
2026-05-30 16:00,2.25,趋势状态,强趋势下行,100,1,1324,中,12.39,43.81,56.19,4.15,0.38,31.95,0.3665,-0.5235,0.9188,-0.1814
2026-05-30 16:00,2.25,趋势状态,强趋势下行,100,3,1324,强,25.53,37.24,62.76,10.95,8.99,33.69,-0.2527,-2.4909,0.9309,-0.1774
2026-05-30 16:00,2.25,趋势状态,强趋势下行,100,5,1324,强,30.82,34.59,65.41,13.44,24.4,32.85,-0.8548,-4.1365,0.9254,-0.179
2026-05-30 16:00,2.25,趋势状态,强趋势下行,100,10,1324,强,36.56,31.72,68.28,19.03,39.88,35.2,-2.2475,-7.1265,0.9487,-0.155
2026-05-30 16:00,2.25,量能状态,缩量,36.14,1,1548,强,27.26,36.37,63.63,1.74,0.26,30.94,-0.5723,-1.2315,0.8957,-0.1899
2026-05-30 16:00,2.25,量能状态,缩量,36.14,3,1546,强,28.85,35.58,64.42,8.02,8.15,33.64,-1.0057,-2.5924,0.9365,-0.1723
2026-05-30 16:00,2.25,量能状态,缩量,36.14,5,1546,强,25.61,37.19,62.81,12.03,20.18,37.71,-0.8797,-3.1836,0.9776,-0.1215
2026-05-30 16:00,2.25,量能状态,缩量,36.14,10,1543,强,28.45,35.77,64.23,19.44,33.05,37.65,-0.6194,-4.8471,0.9775,-0.1237
