date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.0,波动状态,低波动启动,37.93,1,170,弱,7.06,46.47,53.53,8.24,0.0,50.59,2.3353,-0.6157,1.1533,0.0057
2026-06-01,0.0,波动状态,低波动启动,37.93,3,170,中,8.24,54.12,45.88,22.35,7.06,45.88,5.6159,0.8793,1.036,-0.0369
2026-06-01,0.0,波动状态,低波动启动,37.93,5,170,中,14.12,57.06,42.94,29.41,11.76,39.41,9.7379,2.4787,1.024,-0.1345
2026-06-01,0.0,波动状态,低波动启动,37.93,10,169,中强,21.89,60.95,39.05,41.42,19.53,37.28,13.8246,4.2968,1.0356,-0.1442
2026-06-01,0.0,短ATR状态,短ATR中性,97.53,1,140,强,30.0,35.0,65.0,7.86,0.0,35.0,0.7962,-1.7104,0.9624,-0.1633
2026-06-01,0.0,短ATR状态,短ATR中性,97.53,3,140,强,27.14,36.43,63.57,13.57,12.86,30.0,1.5472,-3.0362,0.8946,-0.243
2026-06-01,0.0,短ATR状态,短ATR中性,97.53,5,140,中强,18.57,40.71,59.29,20.71,27.14,33.57,2.9485,-3.273,0.9515,-0.16
2026-06-01,0.0,短ATR状态,短ATR中性,97.53,10,138,弱,2.9,48.55,51.45,29.71,31.16,28.99,4.1587,-0.5899,0.888,-0.2519
2026-06-01,0.0,波动超额状态,振幅已超ATR,46.31,1,99,样本偏少,5.05,52.53,47.47,13.13,0.0,54.55,3.0794,0.5342,1.1996,0.0739
2026-06-01,0.0,波动超额状态,振幅已超ATR,46.31,3,99,样本偏少,7.07,53.54,46.46,22.22,7.07,33.33,5.3177,0.8269,0.8872,-0.1599
2026-06-01,0.0,波动超额状态,振幅已超ATR,46.31,5,99,样本偏少,15.15,57.58,42.42,27.27,13.13,30.3,7.2592,1.9563,0.9354,-0.2435
2026-06-01,0.0,波动超额状态,振幅已超ATR,46.31,10,99,样本偏少,13.13,56.57,43.43,42.42,25.25,35.35,10.2277,2.5087,1.078,-0.1567
2026-06-01,0.0,趋势状态,强趋势下行,100.0,1,296,强,35.14,32.43,67.57,7.43,0.68,21.28,0.0301,-2.3954,0.8227,-0.2973
2026-06-01,0.0,趋势状态,强趋势下行,100.0,3,295,强,36.95,31.53,68.47,13.22,20.34,22.37,0.1771,-4.3223,0.8378,-0.2769
2026-06-01,0.0,趋势状态,强趋势下行,100.0,5,293,强,29.01,35.49,64.51,14.33,34.13,24.23,-0.0874,-5.7261,0.8325,-0.2756
2026-06-01,0.0,趋势状态,强趋势下行,100.0,10,291,强,34.71,32.65,67.35,17.87,46.74,26.8,0.1782,-8.3096,0.881,-0.2303
2026-06-01,0.0,量能状态,放量,0.88,1,83,样本偏少,8.43,54.22,45.78,10.84,0.0,46.99,2.5127,0.5342,1.1644,-0.0432
2026-06-01,0.0,量能状态,放量,0.88,3,83,样本偏少,8.43,54.22,45.78,22.89,8.43,34.94,5.7138,1.4033,0.9151,-0.1559
2026-06-01,0.0,量能状态,放量,0.88,5,83,样本偏少,3.61,51.81,48.19,28.92,18.07,30.12,6.0135,0.7754,0.8772,-0.2505
2026-06-01,0.0,量能状态,放量,0.88,10,83,样本偏少,6.02,53.01,46.99,37.35,31.33,36.14,4.8592,2.1468,1.0564,-0.1657
