date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 12:00,0.0,波动状态,高波动扩张,69.12,1,390,中强,22.05,38.97,61.03,7.44,0.0,43.59,0.6246,-1.4302,1.0652,-0.0583
2026-06-02 12:00,0.0,波动状态,高波动扩张,69.12,3,390,中强,21.03,39.49,60.51,14.87,11.54,33.33,0.5278,-2.9821,0.9463,-0.2101
2026-06-02 12:00,0.0,波动状态,高波动扩张,69.12,5,390,中强,23.59,38.21,61.79,17.44,28.21,31.54,0.0129,-4.0211,0.9142,-0.2307
2026-06-02 12:00,0.0,波动状态,高波动扩张,69.12,10,390,强,37.44,31.28,68.72,20.0,44.1,24.87,-3.3773,-7.9602,0.8324,-0.2711
2026-06-02 12:00,0.0,短ATR状态,短ATR升温,100.0,1,1009,弱,5.85,47.08,52.92,7.33,0.0,48.66,1.6841,-0.3179,1.1305,-0.0119
2026-06-02 12:00,0.0,短ATR状态,短ATR升温,100.0,3,1007,弱,2.28,48.86,51.14,17.28,5.56,42.11,3.4994,-0.2818,1.0355,-0.0799
2026-06-02 12:00,0.0,短ATR状态,短ATR升温,100.0,5,1005,弱,0.9,50.45,49.55,22.89,13.33,41.89,5.7248,0.228,1.0385,-0.0912
2026-06-02 12:00,0.0,短ATR状态,短ATR升温,100.0,10,1000,弱,5.4,47.3,52.7,29.7,27.3,36.1,7.1492,-1.0218,0.9482,-0.1489
2026-06-02 12:00,0.0,波动超额状态,振幅已超ATR,100.0,1,964,弱,1.66,50.83,49.17,8.51,0.0,53.53,2.1804,0.0943,1.1969,0.0338
2026-06-02 12:00,0.0,波动超额状态,振幅已超ATR,100.0,3,964,弱,4.15,52.07,47.93,19.5,4.98,43.57,3.9889,0.2977,1.0477,-0.0744
2026-06-02 12:00,0.0,波动超额状态,振幅已超ATR,100.0,5,963,弱,2.39,51.19,48.81,25.34,13.5,40.6,4.8962,0.4203,1.0147,-0.1077
2026-06-02 12:00,0.0,波动超额状态,振幅已超ATR,100.0,10,959,弱,0.31,50.16,49.84,31.6,25.13,36.08,7.3832,0.0297,0.9591,-0.1613
2026-06-02 12:00,0.0,趋势状态,强趋势下行,100.0,1,1562,强,37.0,31.5,68.5,4.48,0.0,32.97,0.0256,-1.7692,0.938,-0.1905
2026-06-02 12:00,0.0,趋势状态,强趋势下行,100.0,3,1562,强,32.27,33.87,66.13,10.82,12.61,32.39,-0.2555,-3.3452,0.924,-0.1917
2026-06-02 12:00,0.0,趋势状态,强趋势下行,100.0,5,1562,强,33.42,33.29,66.71,14.34,26.76,30.79,-0.9626,-4.6403,0.9092,-0.2027
2026-06-02 12:00,0.0,趋势状态,强趋势下行,100.0,10,1562,强,35.72,32.14,67.86,17.93,42.89,30.73,-2.5489,-7.4813,0.9091,-0.1992
2026-06-02 12:00,0.0,量能状态,放量,29.98,1,748,弱,2.67,51.34,48.66,7.89,0.0,53.74,1.839,0.2249,1.1983,0.0428
2026-06-02 12:00,0.0,量能状态,放量,29.98,3,748,弱,7.75,53.88,46.12,21.26,4.81,43.45,3.8629,0.7673,1.0667,-0.0607
2026-06-02 12:00,0.0,量能状态,放量,29.98,5,748,中,9.89,54.95,45.05,27.81,11.36,43.72,5.1561,1.3216,1.0535,-0.0786
2026-06-02 12:00,0.0,量能状态,放量,29.98,10,743,中,10.36,55.18,44.82,35.67,25.17,34.19,9.833,2.6186,0.9516,-0.1783
