component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,689,强,25.98,37.01,62.99,5.81,0.0,37.45,0.197,-1.2084,0.9839,-0.1192,2026-05-31 16:00
波动超额状态,接近一倍ATR,3,689,中强,18.14,40.93,59.07,12.77,7.55,35.56,1.6145,-1.8702,0.9797,-0.1414,2026-05-31 16:00
波动超额状态,接近一倍ATR,5,689,中,13.21,43.4,56.6,19.59,20.03,35.85,2.0938,-1.4557,0.9659,-0.1439,2026-05-31 16:00
波动超额状态,接近一倍ATR,10,687,中,10.92,44.54,55.46,26.49,29.84,37.55,3.0947,-2.0239,0.9916,-0.1411,2026-05-29 08:00
波动超额状态,振幅未满ATR,1,901,强,40.29,29.86,70.14,2.77,0.0,26.08,-0.8909,-2.0425,0.8408,-0.2403,2026-05-31 00:00
波动超额状态,振幅未满ATR,3,901,强,39.84,30.08,69.92,9.21,11.1,29.63,-1.6361,-4.0831,0.8816,-0.2089,2026-05-31 00:00
波动超额状态,振幅未满ATR,5,901,强,39.62,30.19,69.81,12.32,29.41,34.52,-1.7417,-5.0691,0.9467,-0.1826,2026-05-31 00:00
波动超额状态,振幅未满ATR,10,898,强,34.3,32.85,67.15,19.71,41.31,33.63,-0.8895,-6.1058,0.9356,-0.1827,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,418,弱,3.35,48.33,51.67,10.53,0.0,53.35,2.7357,-0.2474,1.1935,0.0264,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,416,中,9.13,54.57,45.43,20.91,4.81,48.8,4.6676,0.6687,1.1121,-0.0063,2026-06-01 08:00
波动超额状态,振幅已超ATR,5,414,弱,7.73,53.86,46.14,26.57,14.01,37.92,6.9992,1.4646,0.9945,-0.143,2026-05-28 00:00
波动超额状态,振幅已超ATR,10,414,弱,3.38,51.69,48.31,34.3,22.71,36.71,9.7567,0.9695,0.9695,-0.1541,2026-05-28 00:00
波动状态,波动压缩,1,570,强,32.98,33.51,66.49,3.51,0.0,31.75,-0.3539,-1.6221,0.9141,-0.1797,2026-05-31 00:00
波动状态,波动压缩,3,570,强,27.72,36.14,63.86,12.63,6.49,34.56,0.2051,-2.6697,0.9568,-0.1543,2026-05-31 00:00
波动状态,波动压缩,5,570,中强,18.95,40.53,59.47,17.02,17.54,41.75,1.3052,-2.6441,1.0397,-0.0892,2026-05-31 00:00
波动状态,波动压缩,10,567,中,14.29,42.86,57.14,26.98,25.75,38.27,6.3643,-2.1859,1.0125,-0.1306,2026-05-30 00:00
波动状态,常态波动,1,311,强,35.05,32.48,67.52,6.43,0.0,31.83,-0.052,-1.7045,0.8962,-0.2068,2026-05-29 16:00
波动状态,常态波动,3,311,强,29.9,35.05,64.95,11.25,9.65,32.15,-0.3136,-3.3316,0.8965,-0.2059,2026-05-29 16:00
波动状态,常态波动,5,311,强,26.69,36.66,63.34,17.36,27.97,31.83,0.33,-4.1477,0.9334,-0.1926,2026-05-29 16:00
