component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,147,中,14.29,42.86,57.14,1.36,0,34.69,-0.4112,-0.9952,0.885,-0.1975,2026-04-30
波动状态,波动压缩,3,147,中强,15.65,42.18,57.82,12.24,4.76,37.41,0.4054,-1.3984,0.9829,-0.1525,2026-04-30
波动状态,波动压缩,5,147,中强,15.65,42.18,57.82,13.61,18.37,44.9,0.0118,-2.0124,1.0195,-0.1045,2026-04-30
波动状态,波动压缩,10,147,中,10.2,44.9,55.1,19.05,23.81,40.14,1.7263,-1.7196,1.0031,-0.1203,2026-04-30
波动状态,常态波动,1,65,样本偏少,10.77,44.62,55.38,0,0,27.69,-0.6204,-0.5925,0.8507,-0.2356,2026-05-26
波动状态,常态波动,3,65,样本偏少,16.92,41.54,58.46,10.77,10.77,26.15,-0.3503,-2.7558,0.8705,-0.2495,2026-05-26
波动状态,常态波动,5,63,样本偏少,23.81,38.1,61.9,11.11,22.22,25.4,-1.9428,-3.8934,0.8445,-0.2438,2026-05-24
波动状态,常态波动,10,62,样本偏少,29.03,35.48,64.52,16.13,43.55,25.81,-4.0161,-5.3889,0.9105,-0.2013,2026-05-15
波动状态,低波动启动,1,155,中,14.84,57.42,42.58,7.74,1.29,47.74,1.7425,0.9132,1.1297,-0.0433,2026-05-11
波动状态,低波动启动,3,155,中,14.84,57.42,42.58,16.13,4.52,47.74,3.3074,1.0188,1.0491,-0.0237,2026-05-11
波动状态,低波动启动,5,155,中,12.26,56.13,43.87,25.16,6.45,41.29,5.9964,1.5313,1.0272,-0.0887,2026-05-11
波动状态,低波动启动,10,155,中强,16.13,58.06,41.94,34.84,14.84,45.16,10.0872,1.8396,1.0226,-0.0875,2026-05-11
波动状态,高波动扩张,1,29,样本偏少,24.14,37.93,62.07,17.24,13.79,34.48,-0.6829,-3.3463,1.0044,-0.1227,2026-05-27
波动状态,高波动扩张,3,28,样本偏少,42.86,28.57,71.43,7.14,39.29,21.43,-3.9723,-5.6366,0.8657,-0.2314,2026-05-23
波动状态,高波动扩张,5,28,样本偏少,21.43,39.29,60.71,25,46.43,21.43,-3.572,-7.2922,0.812,-0.3272,2026-05-23
波动状态,高波动扩张,10,25,样本偏少,44,28,72,12,68,16,-11.7136,-12.5505,0.7779,-0.2463,2026-05-19
波动状态,高波动冷却,1,42,样本偏少,57.14,21.43,78.57,0,0,16.67,-2.0164,-2.287,0.7198,-0.3645,2026-05-28
波动状态,高波动冷却,3,41,样本偏少,56.1,21.95,78.05,4.88,34.15,19.51,-5.5994,-6.5316,0.748,-0.3257,2026-05-20
波动状态,高波动冷却,5,41,样本偏少,70.73,14.63,85.37,7.32,51.22,19.51,-9.0728,-10.3207,0.8009,-0.329,2026-05-20
