date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.36,波动状态,高波动扩张,12.9,1,31,样本偏少,22.58,38.71,61.29,12.9,0.0,29.03,0.4291,-1.9779,0.931,-0.2005
2026-06-01,0.36,波动状态,高波动扩张,12.9,3,30,样本偏少,20.0,40.0,60.0,13.33,23.33,26.67,-1.3262,-3.048,0.901,-0.2057
2026-06-01,0.36,波动状态,高波动扩张,12.9,5,30,样本偏少,13.33,43.33,56.67,30.0,26.67,26.67,-0.6032,-4.6566,0.8885,-0.2214
2026-06-01,0.36,波动状态,高波动扩张,12.9,10,27,样本偏少,40.74,29.63,70.37,14.81,44.44,14.81,-5.1925,-7.2278,0.8056,-0.2463
2026-06-01,0.36,短ATR状态,短ATR中性,99.72,1,162,中强,19.75,40.12,59.88,6.17,0.0,37.65,0.6605,-1.2028,0.9762,-0.1372
2026-06-01,0.36,短ATR状态,短ATR中性,99.72,3,161,中,11.8,44.1,55.9,11.18,11.18,32.3,1.3119,-0.7873,0.9248,-0.2121
2026-06-01,0.36,短ATR状态,短ATR中性,99.72,5,159,中,14.47,42.77,57.23,16.35,20.13,31.45,1.6725,-1.757,0.9487,-0.1929
2026-06-01,0.36,短ATR状态,短ATR中性,99.72,10,159,中强,19.5,40.25,59.75,20.13,31.45,36.48,2.5851,-4.6347,0.9713,-0.1816
2026-06-01,0.36,波动超额状态,接近一倍ATR,58.68,1,137,强,29.93,35.04,64.96,7.3,0.0,45.99,0.1806,-1.5961,1.0314,-0.0594
2026-06-01,0.36,波动超额状态,接近一倍ATR,58.68,3,137,弱,2.19,48.91,51.09,13.87,10.95,35.77,1.4775,-0.1203,0.958,-0.1203
2026-06-01,0.36,波动超额状态,接近一倍ATR,58.68,5,137,弱,5.11,47.45,52.55,20.44,18.25,41.61,1.3307,-1.0344,0.958,-0.0875
2026-06-01,0.36,波动超额状态,接近一倍ATR,58.68,10,134,弱,1.49,50.75,49.25,23.13,27.61,40.3,2.5621,0.4906,0.9791,-0.1189
2026-06-01,0.36,趋势状态,强趋势下行,100.0,1,213,强,42.72,28.64,71.36,6.1,0.0,28.17,-0.5101,-2.2548,0.8705,-0.2585
2026-06-01,0.36,趋势状态,强趋势下行,100.0,3,212,强,35.85,32.08,67.92,11.32,20.75,29.72,-1.4847,-4.3018,0.8899,-0.2128
2026-06-01,0.36,趋势状态,强趋势下行,100.0,5,211,强,28.91,35.55,64.45,15.17,32.23,28.91,-1.8618,-5.1939,0.8831,-0.2348
2026-06-01,0.36,趋势状态,强趋势下行,100.0,10,211,强,35.55,32.23,67.77,16.59,42.18,29.86,-2.9748,-7.1452,0.9144,-0.2121
2026-06-01,0.36,量能状态,量能正常,95.32,1,184,中,11.96,44.02,55.98,6.52,0.0,40.22,0.8577,-0.5938,1.0172,-0.1186
2026-06-01,0.36,量能状态,量能正常,95.32,3,183,弱,1.64,49.18,50.82,15.3,7.65,38.25,2.943,-0.1028,0.9742,-0.1288
2026-06-01,0.36,量能状态,量能正常,95.32,5,183,弱,1.64,49.18,50.82,23.5,13.11,36.07,3.9106,-0.2991,0.9869,-0.1652
2026-06-01,0.36,量能状态,量能正常,95.32,10,179,中,10.61,44.69,55.31,26.82,31.28,40.22,5.4067,-2.023,1.0151,-0.119
