component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,625,中强,19.04,40.48,59.52,3.2,0.0,40.8,0.2311,-0.8893,0.9977,-0.1002,2026-06-02 00:00
波动超额状态,接近一倍ATR,3,624,中强,15.71,42.15,57.85,12.34,5.77,38.46,0.7251,-1.5462,1.0045,-0.1219,2026-06-01 00:00
波动超额状态,接近一倍ATR,5,623,中强,15.25,42.38,57.62,17.17,16.37,39.65,1.2851,-1.8396,0.9828,-0.1254,2026-05-29 16:00
波动超额状态,接近一倍ATR,10,623,中,11.72,44.14,55.86,26.48,27.61,35.79,1.9371,-2.2173,0.9558,-0.1421,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,730,强,39.73,30.14,69.86,1.92,0.0,28.22,-0.8715,-1.8396,0.8601,-0.216,2026-06-01 16:00
波动超额状态,振幅未满ATR,3,729,强,31.41,34.29,65.71,7.82,10.97,34.29,-1.2035,-3.0645,0.9122,-0.164,2026-05-31 16:00
波动超额状态,振幅未满ATR,5,729,强,27.3,36.35,63.65,13.44,23.18,37.72,-1.1999,-3.5419,0.9631,-0.1381,2026-05-31 16:00
波动超额状态,振幅未满ATR,10,726,中强,23.14,38.43,61.57,21.63,34.99,40.36,-0.5099,-4.5601,0.9922,-0.1052,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,432,弱,4.63,52.31,47.69,7.87,0.0,54.86,1.8613,0.2095,1.1872,0.0481,2026-06-01 08:00
波动超额状态,振幅已超ATR,3,432,中强,18.52,59.26,40.74,20.6,2.55,47.92,3.4686,1.62,1.0867,-0.0131,2026-06-01 08:00
波动超额状态,振幅已超ATR,5,431,中,13.69,56.84,43.16,27.84,10.9,40.37,4.5123,1.4873,1.0323,-0.0688,2026-05-31 00:00
波动超额状态,振幅已超ATR,10,429,中,11.42,55.71,44.29,34.73,19.11,41.96,6.4934,2.4185,1.0245,-0.0839,2026-05-28 00:00
波动状态,波动压缩,1,483,强,34.58,32.71,67.29,2.69,0.0,32.71,-0.4635,-1.4951,0.91,-0.1977,2026-05-03 08:00
波动状态,波动压缩,3,483,中强,21.74,39.13,60.87,10.35,8.9,37.89,0.5355,-2.5283,0.9696,-0.1381,2026-05-03 08:00
波动状态,波动压缩,5,483,中,12.63,43.69,56.31,17.81,16.15,42.86,1.2753,-1.1838,1.0159,-0.069,2026-05-03 08:00
波动状态,波动压缩,10,483,弱,4.35,47.83,52.17,26.71,25.05,44.31,3.5745,-0.5316,1.0364,-0.0707,2026-05-03 08:00
波动状态,常态波动,1,243,强,30.04,34.98,65.02,2.47,0.0,34.57,-0.3975,-1.6121,0.9448,-0.1659,2026-05-29 08:00
波动状态,常态波动,3,243,强,25.1,37.45,62.55,8.64,7.0,35.39,-0.7225,-1.867,0.9413,-0.139,2026-05-29 08:00
波动状态,常态波动,5,243,中强,22.63,38.68,61.32,13.99,22.63,31.69,-1.4258,-3.1771,0.9167,-0.2143,2026-05-29 08:00
波动状态,常态波动,10,243,强,31.69,34.16,65.84,22.22,32.92,28.4,-2.1611,-4.851,0.9035,-0.1758,2026-05-29 08:00
波动状态,低波动启动,1,489,弱,1.43,50.72,49.28,5.73,0.0,49.69,1.5681,0.034,1.1095,-0.0011,2026-05-07 00:00
波动状态,低波动启动,3,489,中,14.93,57.46,42.54,17.18,2.45,45.19,2.8597,1.0531,1.0602,-0.0535,2026-05-07 00:00
波动状态,低波动启动,5,489,中,13.29,56.65,43.35,24.74,10.84,42.74,4.64,1.6808,1.0357,-0.0746,2026-05-07 00:00
波动状态,低波动启动,10,489,中强,18.61,59.3,40.7,36.61,18.81,42.74,7.5607,3.6658,1.028,-0.0836,2026-05-07 00:00
波动状态,高波动扩张,1,270,中,13.33,43.33,56.67,6.3,0.0,50.0,0.6657,-0.8086,1.1109,-0.0011,2026-06-02 00:00
波动状态,高波动扩张,3,269,弱,5.58,47.21,52.79,18.22,5.58,43.12,1.4949,-0.6614,1.0469,-0.0561,2026-06-01 08:00
波动状态,高波动扩张,5,267,中强,15.36,42.32,57.68,21.72,17.23,36.7,1.4077,-1.8396,0.9878,-0.1064,2026-05-31 00:00
波动状态,高波动扩张,10,265,中强,16.98,41.51,58.49,24.53,26.79,36.98,1.0072,-2.8551,0.9733,-0.1345,2026-05-28 00:00
波动状态,高波动冷却,1,302,强,39.74,30.13,69.87,1.32,0.0,25.83,-1.0392,-2.0041,0.8368,-0.1856,2026-06-01 16:00
波动状态,高波动冷却,3,301,强,46.18,26.91,73.09,6.31,13.29,30.23,-2.6911,-4.5342,0.8778,-0.2021,2026-05-31 16:00
波动状态,高波动冷却,5,301,强,47.51,26.25,73.75,8.64,28.57,34.88,-3.4671,-5.7251,0.9159,-0.159,2026-05-31 16:00
波动状态,高波动冷却,10,298,强,46.98,26.51,73.49,14.77,48.32,35.57,-5.1784,-9.245,0.9211,-0.1283,2026-05-30 00:00
短ATR状态,短ATR降温,1,621,强,38.49,30.76,69.24,2.25,0.0,30.6,-0.7048,-1.77,0.872,-0.2142,2026-05-31 16:00
短ATR状态,短ATR降温,3,621,强,28.82,35.59,64.41,9.98,9.82,35.91,-0.9105,-2.9705,0.9469,-0.148,2026-05-31 16:00
短ATR状态,短ATR降温,5,621,中强,24.32,37.84,62.16,15.14,21.26,38.97,-0.7954,-3.3285,0.977,-0.1077,2026-05-31 16:00
短ATR状态,短ATR降温,10,619,中强,24.07,37.96,62.04,22.46,35.7,41.68,-1.4198,-4.4715,0.9977,-0.0961,2026-05-30 00:00
短ATR状态,短ATR升温,1,476,弱,1.26,49.37,50.63,5.25,0.0,49.58,1.3543,-0.1475,1.1399,-0.0019,2026-05-24 16:00
短ATR状态,短ATR升温,3,476,弱,4.2,52.1,47.9,17.86,4.83,43.28,2.4657,0.3962,1.0532,-0.0549,2026-05-24 16:00
短ATR状态,短ATR升温,5,476,弱,1.26,50.63,49.37,23.74,12.82,40.55,2.9918,0.284,1.0035,-0.0877,2026-05-24 16:00
短ATR状态,短ATR升温,10,476,弱,0.84,49.58,50.42,28.99,22.27,39.08,4.1255,-0.1588,0.9843,-0.1281,2026-05-24 16:00
短ATR状态,短ATR中性,1,690,中强,20.87,39.57,60.43,4.2,0.0,39.42,0.1526,-1.015,0.9858,-0.1134,2026-06-02 00:00
短ATR状态,短ATR中性,3,688,中,12.79,43.6,56.4,11.05,6.25,38.95,0.6763,-1.2269,0.9767,-0.1222,2026-06-01 08:00
短ATR状态,短ATR中性,5,686,中,13.12,43.44,56.56,17.2,18.22,38.05,1.3711,-1.6479,0.9839,-0.1303,2026-05-31 08:00
短ATR状态,短ATR中性,10,683,弱,5.71,47.14,52.86,28.4,26.5,36.9,3.715,-1.2147,0.9798,-0.1144,2026-05-28 00:00
量能状态,放量,1,310,弱,7.1,53.55,46.45,7.74,0.0,59.03,2.357,0.2243,1.2352,0.0997,2026-05-31 00:00
量能状态,放量,3,310,中强,23.87,61.94,38.06,24.52,1.94,50.0,4.4615,1.9367,1.1095,0.0032,2026-05-31 00:00
量能状态,放量,5,310,中强,19.35,59.68,40.32,29.68,8.39,39.35,5.2084,2.5301,1.0119,-0.1104,2026-05-31 00:00
量能状态,放量,10,309,中强,17.15,58.58,41.42,35.28,15.53,44.34,7.6926,2.695,1.0488,-0.0746,2026-05-23 08:00
量能状态,量能正常,1,737,中强,16.42,41.79,58.21,4.07,0.0,40.98,0.232,-0.8803,1.0129,-0.0855,2026-06-02 00:00
量能状态,量能正常,3,736,中,9.78,45.11,54.89,11.96,5.3,39.13,0.7087,-0.9488,0.9923,-0.1163,2026-06-01 08:00
量能状态,量能正常,5,734,中,11.99,44.01,55.99,19.75,17.44,38.42,1.2425,-1.0334,0.9805,-0.1184,2026-05-31 08:00
量能状态,量能正常,10,732,弱,4.64,47.68,52.32,28.96,28.14,36.2,2.6888,-0.8644,0.9706,-0.1326,2026-05-28 08:00
量能状态,缩量,1,740,强,39.19,30.41,69.59,1.89,0.0,28.78,-0.7965,-1.8107,0.858,-0.2253,2026-06-01 16:00
量能状态,缩量,3,739,强,33.69,33.15,66.85,7.98,11.1,34.37,-1.1246,-3.3342,0.9297,-0.1563,2026-05-31 16:00
量能状态,缩量,5,739,强,28.01,35.99,64.01,11.91,22.19,39.51,-0.8875,-3.3355,0.9824,-0.1077,2026-05-31 16:00
量能状态,缩量,10,737,强,28.63,35.69,64.31,20.35,34.46,39.89,-0.981,-4.7515,0.9779,-0.1069,2026-05-30 00:00
趋势状态,强趋势上行,1,516,弱,6.2,53.1,46.9,5.43,0.0,50.58,1.2476,0.1845,1.1225,0.0052,2026-05-26 08:00
趋势状态,强趋势上行,3,516,中强,22.09,61.05,38.95,20.74,1.74,48.06,3.5584,1.8093,1.1017,-0.0063,2026-05-26 08:00
趋势状态,强趋势上行,5,516,中强,21.71,60.85,39.15,31.59,6.2,47.48,5.5681,2.751,1.0916,-0.0232,2026-05-26 08:00
趋势状态,强趋势上行,10,516,强,29.46,64.73,35.27,40.5,13.57,43.41,9.0731,5.772,1.0401,-0.0758,2026-05-26 08:00
趋势状态,强趋势下行,1,672,强,33.63,33.18,66.82,4.32,0.0,34.82,-0.116,-1.7175,0.9474,-0.1565,2026-06-02 00:00
趋势状态,强趋势下行,3,670,强,26.87,36.57,63.43,9.7,10.0,36.42,-0.0517,-2.7334,0.954,-0.143,2026-06-01 08:00
趋势状态,强趋势下行,5,668,强,26.35,36.83,63.17,13.62,23.65,35.78,-0.0832,-3.3661,0.9492,-0.1469,2026-05-31 16:00
趋势状态,强趋势下行,10,664,强,27.11,36.45,63.55,20.48,33.13,37.65,-1.1989,-4.2401,0.9529,-0.1381,2026-05-30 00:00
趋势状态,趋势不明,1,226,强,37.17,31.42,68.58,1.77,0.0,34.07,-0.4114,-1.5244,0.9203,-0.1727,2026-05-27 08:00
趋势状态,趋势不明,3,226,强,32.74,33.63,66.37,8.85,7.96,34.51,-1.2099,-2.5969,0.9297,-0.1578,2026-05-27 08:00
趋势状态,趋势不明,5,226,强,34.51,32.74,67.26,11.5,22.57,32.74,-1.9808,-3.7417,0.926,-0.1845,2026-05-27 08:00
趋势状态,趋势不明,10,226,强,29.2,35.4,64.6,19.91,34.07,39.38,-0.0648,-4.8826,1.019,-0.1417,2026-05-27 08:00
趋势状态,弱趋势混合,1,169,强,28.99,35.5,64.5,1.18,0.0,35.5,-0.5752,-1.5027,0.89,-0.189,2026-05-30 16:00
趋势状态,弱趋势混合,3,169,强,33.73,33.14,66.86,8.88,9.47,39.05,-1.1506,-2.3158,0.9516,-0.1749,2026-05-30 16:00
趋势状态,弱趋势混合,5,169,中强,19.53,40.24,59.76,13.61,16.57,39.05,-0.4006,-2.5711,0.9781,-0.0973,2026-05-30 16:00
趋势状态,弱趋势混合,10,168,强,33.33,33.33,66.67,22.02,39.88,29.17,-0.8887,-7.1235,0.8916,-0.1309,2026-05-19 00:00
趋势状态,弱趋势上行,1,84,样本偏少,16.67,41.67,58.33,2.38,0.0,39.29,0.1144,-0.7692,1.0163,-0.1082,2026-05-27 00:00
趋势状态,弱趋势上行,3,84,样本偏少,9.52,45.24,54.76,10.71,5.95,39.29,0.3959,-0.5149,0.9569,-0.045,2026-05-27 00:00
趋势状态,弱趋势上行,5,84,样本偏少,14.29,42.86,57.14,9.52,13.1,36.9,-0.0467,-2.1158,0.9482,-0.124,2026-05-27 00:00
趋势状态,弱趋势上行,10,84,样本偏少,11.9,44.05,55.95,26.19,27.38,47.62,1.7599,-1.189,1.0216,-0.0305,2026-05-27 00:00
趋势状态,弱趋势下行,1,120,强,40.0,30.0,70.0,2.5,0.0,27.5,-0.6078,-1.6418,0.8724,-0.2244,2026-05-23 00:00
趋势状态,弱趋势下行,3,120,强,35.0,32.5,67.5,5.83,10.0,23.33,-2.4439,-3.9291,0.8527,-0.2792,2026-05-23 00:00
趋势状态,弱趋势下行,5,120,强,40.0,30.0,70.0,11.67,31.67,34.17,-3.5631,-6.3487,0.8986,-0.1692,2026-05-23 00:00
趋势状态,弱趋势下行,10,120,强,26.67,36.67,63.33,18.33,42.5,36.67,-2.0608,-5.5957,0.9997,-0.0799,2026-05-23 00:00
