component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,268,中强,22.39,38.81,61.19,2.24,0,35.07,-0.3576,-1.0721,0.9132,-0.185,2026-05-26
波动状态,波动压缩,3,268,中强,17.91,41.04,58.96,12.69,5.22,43.66,0.6605,-1.6697,1.0184,-0.0705,2026-05-26
波动状态,波动压缩,5,266,中,12.03,43.98,56.02,21.8,16.92,40.98,1.3109,-1.6269,0.982,-0.0736,2026-05-20
波动状态,波动压缩,10,265,弱,4.91,47.55,52.45,26.04,23.02,46.04,3.7885,-0.8333,1.0356,-0.0522,2026-05-19
波动状态,常态波动,1,240,中强,19.17,40.42,59.58,2.5,1.67,31.67,-0.9039,-1.5328,0.8709,-0.2138,2026-05-28
波动状态,常态波动,3,239,中强,19.67,40.17,59.83,12.97,15.06,34.31,-0.1203,-2.7278,0.9517,-0.1737,2026-05-15
波动状态,常态波动,5,239,中,9.62,45.19,54.81,17.99,22.59,38.08,0.7341,-1.7526,0.9631,-0.1534,2026-05-15
波动状态,常态波动,10,239,中,8.79,45.61,54.39,25.94,29.29,41.42,1.4446,-1.612,0.9867,-0.1124,2026-05-15
波动状态,低波动启动,1,385,中,14.81,57.4,42.6,10.91,2.08,51.43,1.8139,1.3178,1.1498,0.009,2026-05-27
波动状态,低波动启动,3,384,中强,15.1,57.55,42.45,21.61,7.29,44.79,3.394,1.5215,1.0455,-0.0473,2026-05-24
波动状态,低波动启动,5,384,中强,16.15,58.07,41.93,27.86,9.11,44.01,5.2713,2.205,1.0636,-0.0539,2026-05-24
波动状态,低波动启动,10,380,强,27.37,63.68,36.32,41.84,13.16,40,9.1576,5.9235,1.0248,-0.0902,2026-05-17
波动状态,高波动扩张,1,112,样本偏少,10.71,55.36,44.64,22.32,13.39,40.18,1.8347,1.7678,1.0144,-0.1108,2026-02-28
波动状态,高波动扩张,3,112,样本偏少,12.5,43.75,56.25,16.07,25,31.25,-0.2975,-2.7006,0.8719,-0.1965,2026-02-28
波动状态,高波动扩张,5,112,样本偏少,32.14,33.93,66.07,18.75,33.93,22.32,-2.3353,-4.452,0.829,-0.278,2026-02-28
