component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,866,强,30.72,34.64,65.36,1.96,0,31.76,-0.4936,-1.239,0.9149,-0.2011,2026-05-30 08:00
波动状态,波动压缩,3,865,中强,21.39,39.31,60.69,10.17,5.9,36.65,-0.4013,-1.949,0.964,-0.15,2026-05-29 00:00
波动状态,波动压缩,5,865,中,13.53,43.24,56.76,16.42,14.91,41.97,0.7604,-1.5603,1.0294,-0.0751,2026-05-29 00:00
波动状态,波动压缩,10,864,弱,0.93,49.54,50.46,27.2,22.69,42.36,3.6582,-0.1626,1.0388,-0.0779,2026-05-26 00:00
波动状态,常态波动,1,680,弱,5.88,47.06,52.94,2.65,0,38.68,0.1052,-0.3095,0.983,-0.1133,2026-05-30 00:00
波动状态,常态波动,3,679,中,13.7,43.15,56.85,11.63,8.1,37.41,0.4108,-1.274,0.9701,-0.1277,2026-05-29 16:00
波动状态,常态波动,5,678,中强,15.63,42.18,57.82,18.88,21.83,36.58,0.7714,-2.1618,0.9608,-0.1327,2026-05-28 08:00
波动状态,常态波动,10,677,中,12.56,43.72,56.28,26.74,31.76,37.96,1.9333,-2.8058,0.974,-0.1436,2026-05-27 00:00
波动状态,低波动启动,1,928,中,10.34,55.17,44.83,5.39,0.22,50,1.4173,0.6554,1.125,0.0009,2026-05-29 08:00
波动状态,低波动启动,3,928,中,11.64,55.82,44.18,18.53,1.94,48.17,3.834,1.1294,1.1004,-0.0157,2026-05-29 08:00
波动状态,低波动启动,5,927,中强,16.5,58.25,41.75,26.86,7.98,44.12,5.58,2.0172,1.0556,-0.0648,2026-05-28 16:00
波动状态,低波动启动,10,924,中强,19.26,59.63,40.37,36.26,16.02,41.88,8.5886,3.802,1.0337,-0.0832,2026-05-27 08:00
波动状态,高波动扩张,1,556,中,10.07,55.04,44.96,8.99,3.24,43.53,0.8828,0.6468,1.0611,-0.0699,2026-05-08 16:00
波动状态,高波动扩张,3,556,弱,3.24,48.38,51.62,16.91,11.51,37.05,1.3555,-0.4763,0.9913,-0.1249,2026-05-08 16:00
波动状态,高波动扩张,5,556,中,10.79,44.6,55.4,19.96,20.14,30.4,0.8083,-1.9527,0.9191,-0.1593,2026-05-08 16:00
波动状态,高波动扩张,10,556,中强,19.06,40.47,59.53,21.4,35.43,33.09,-1.4748,-5.0614,0.9305,-0.1754,2026-05-08 16:00
波动状态,高波动冷却,1,736,强,45.38,27.31,72.69,1.36,0,23.1,-1.3078,-1.7714,0.8188,-0.2566,2026-03-07 00:00
波动状态,高波动冷却,3,736,强,47.01,26.49,73.51,5.43,14.81,25.68,-3.2463,-4.7843,0.8567,-0.23,2026-03-07 00:00
波动状态,高波动冷却,5,736,强,52.72,23.64,76.36,7.34,32.07,30.43,-4.5757,-6.5596,0.901,-0.201,2026-03-07 00:00
波动状态,高波动冷却,10,736,强,51.9,24.05,75.95,13.99,50.54,29.76,-6.3307,-10.1342,0.9001,-0.1817,2026-03-07 00:00
短ATR状态,短ATR降温,1,1363,强,33.53,33.24,66.76,1.54,0,28.47,-0.7364,-1.358,0.8757,-0.2203,2026-05-26 00:00
短ATR状态,短ATR降温,3,1363,强,28.1,35.95,64.05,9.1,9.32,34.04,-1.1447,-2.9938,0.9414,-0.1673,2026-05-26 00:00
短ATR状态,短ATR降温,5,1363,强,26.19,36.9,63.1,14.67,22.67,36.76,-0.7478,-3.4395,0.976,-0.1331,2026-05-26 00:00
短ATR状态,短ATR降温,10,1363,中强,18.27,40.87,59.13,22.74,34.7,37.56,-0.0685,-4.7758,0.9761,-0.1245,2026-05-26 00:00
短ATR状态,短ATR升温,1,994,中,11.47,55.73,44.27,7.75,1.41,49.5,1.3556,0.5313,1.1263,-0.0044,2026-05-29 08:00
短ATR状态,短ATR升温,3,994,中,11.07,55.53,44.47,16.9,6.24,42.96,2.5688,1.0249,1.0436,-0.0585,2026-05-29 08:00
