date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,3.37,波动状态,高波动冷却,73.66,1,188,强,57.45,21.28,78.72,0,1.6,7.98,-2.448,-2.2767,0.6593,-0.4022
2026-05-29,3.37,波动状态,高波动冷却,73.66,3,187,强,59.36,20.32,79.68,5.88,35.29,13.37,-5.8189,-7.3742,0.6915,-0.3871
2026-05-29,3.37,波动状态,高波动冷却,73.66,5,186,强,63.44,18.28,81.72,9.14,51.08,20.43,-8.3538,-10.1684,0.772,-0.306
2026-05-29,3.37,波动状态,高波动冷却,73.66,10,184,强,58.7,20.65,79.35,13.04,61.41,19.02,-11.854,-15.0783,0.7809,-0.3439
2026-05-29,3.37,短ATR状态,短ATR降温,100,1,435,强,27.82,36.09,63.91,4.83,1.84,26.44,-0.7622,-1.2637,0.8464,-0.2456
2026-05-29,3.37,短ATR状态,短ATR降温,100,3,435,强,31.03,34.48,65.52,13.1,22.76,28.97,-1.0326,-3.584,0.9019,-0.2213
2026-05-29,3.37,短ATR状态,短ATR降温,100,5,433,中强,24.71,37.64,62.36,16.86,31.64,31.87,-0.7746,-4.4951,0.9363,-0.1854
2026-05-29,3.37,短ATR状态,短ATR降温,100,10,428,强,32.24,33.88,66.12,22.9,40.89,31.54,0.1532,-6.6101,0.9359,-0.1831
2026-05-29,3.37,余动能状态,余动能不足,54.17,1,435,强,38.85,30.57,69.43,1.38,0.69,22.07,-1.5498,-1.5929,0.7851,-0.3049
2026-05-29,3.37,余动能状态,余动能不足,54.17,3,434,强,39.63,30.18,69.82,11.52,23.96,27.65,-2.3119,-4.8605,0.8523,-0.244
2026-05-29,3.37,余动能状态,余动能不足,54.17,5,432,强,31.02,34.49,65.51,17.13,36.34,31.48,-2.3509,-6.3176,0.9213,-0.2029
2026-05-29,3.37,余动能状态,余动能不足,54.17,10,429,强,29.6,35.2,64.8,23.31,44.06,31,-1.3382,-7.1716,0.9257,-0.2017
2026-05-29,3.37,趋势状态,强趋势下行,100,1,436,中,13.76,43.12,56.88,8.94,2.52,22.94,0.6079,-0.8538,0.807,-0.2921
2026-05-29,3.37,趋势状态,强趋势下行,100,3,434,强,32.26,33.87,66.13,13.82,26.04,23.73,-0.6307,-4.3707,0.8394,-0.2711
2026-05-29,3.37,趋势状态,强趋势下行,100,5,432,强,35.65,32.18,67.82,16.9,37.73,25.93,-2.2594,-6.3487,0.8501,-0.2622
2026-05-29,3.37,趋势状态,强趋势下行,100,10,427,强,40.05,29.98,70.02,21.31,50.12,29.04,-3.5768,-10.0281,0.8789,-0.23
2026-05-29,3.37,量能状态,缩量,39.84,1,411,强,32.36,33.82,66.18,2.68,1.95,22.63,-1.2366,-1.6224,0.8019,-0.2939
2026-05-29,3.37,量能状态,缩量,39.84,3,411,强,33.82,33.09,66.91,14.36,24.82,27.74,-1.3372,-4.2278,0.854,-0.2379
2026-05-29,3.37,量能状态,缩量,39.84,5,409,中强,24.21,37.9,62.1,17.36,35.94,30.07,-1.3841,-5.4271,0.9081,-0.2213
2026-05-29,3.37,量能状态,缩量,39.84,10,404,强,26.73,36.63,63.37,24.01,42.82,30.45,-0.658,-6.837,0.902,-0.2093
