component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,1048,中强,22.9,38.55,61.45,5.25,0.0,37.02,0.2116,-1.3792,0.9904,-0.1187,2026-06-01 08:00
波动超额状态,接近一倍ATR,3,1048,中强,20.61,39.69,60.31,14.03,9.26,36.93,0.8076,-2.1793,1.0069,-0.1291,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,1047,中强,15.19,42.41,57.59,20.34,22.35,36.1,1.9055,-2.324,0.9947,-0.1336,2026-05-31 16:00
波动超额状态,接近一倍ATR,10,1045,中,10.24,44.88,55.12,27.46,32.73,37.42,2.7628,-2.0781,0.9905,-0.1359,2026-05-29 08:00
波动超额状态,振幅未满ATR,1,1349,强,42.33,28.84,71.16,3.63,0.07,26.54,-0.8791,-2.1741,0.8581,-0.2382,2026-05-31 08:00
波动超额状态,振幅未满ATR,3,1349,强,35.66,32.17,67.83,8.97,13.94,30.69,-1.4701,-3.9064,0.8932,-0.2172,2026-05-31 08:00
波动超额状态,振幅未满ATR,5,1349,强,35.21,32.39,67.61,13.79,29.06,34.84,-1.7111,-5.0418,0.9539,-0.1652,2026-05-31 08:00
波动超额状态,振幅未满ATR,10,1346,强,27.04,36.48,63.52,21.32,42.2,34.18,-0.7725,-6.8703,0.9625,-0.1522,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,697,弱,1.29,49.35,50.65,11.48,0.14,53.66,2.3264,-0.0441,1.2264,0.0284,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,695,中,9.06,54.53,45.47,23.17,2.73,45.9,5.0761,0.9557,1.1349,-0.0404,2026-06-01 00:00
