date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,1.32,波动状态,高波动扩张,14.72,1,26,样本偏少,0,50,50,23.08,11.54,23.08,1.4251,0.0616,0.8287,-0.203
2026-05-29,1.32,波动状态,高波动扩张,14.72,3,24,样本偏少,50,25,75,12.5,25,25,-3.3303,-4.5914,0.832,-0.2664
2026-05-29,1.32,波动状态,高波动扩张,14.72,5,24,样本偏少,16.67,41.67,58.33,20.83,37.5,12.5,-1.9085,-3.8708,0.7373,-0.357
2026-05-29,1.32,波动状态,高波动扩张,14.72,10,24,样本偏少,66.67,16.67,83.33,8.33,58.33,12.5,-11.0752,-13.8573,0.726,-0.3367
2026-05-29,1.32,短ATR状态,短ATR升温,84.42,1,89,样本偏少,3.37,51.69,48.31,8.99,4.49,52.81,1.3704,0.6412,1.1125,0.0325
2026-05-29,1.32,短ATR状态,短ATR升温,84.42,3,87,样本偏少,12.64,56.32,43.68,16.09,2.3,50.57,2.9414,2.0319,1.0388,0.0007
2026-05-29,1.32,短ATR状态,短ATR升温,84.42,5,85,样本偏少,29.41,64.71,35.29,25.88,4.71,45.88,4.5431,2.9699,0.9907,-0.0338
2026-05-29,1.32,短ATR状态,短ATR升温,84.42,10,81,样本偏少,20.99,60.49,39.51,45.68,13.58,43.21,6.3221,6.2791,0.9914,-0.0499
2026-05-29,1.32,余动能状态,接近正常动能,69.72,1,130,弱,1.54,49.23,50.77,3.08,0.77,38.46,0.8777,-0.0591,0.9881,-0.1091
2026-05-29,1.32,余动能状态,接近正常动能,69.72,3,129,中,8.53,45.74,54.26,11.63,6.98,43.41,1.7521,-1.1744,1.0001,-0.0742
2026-05-29,1.32,余动能状态,接近正常动能,69.72,5,128,中,12.5,43.75,56.25,21.09,16.41,31.25,2.9291,-1.4398,0.9616,-0.1687
2026-05-29,1.32,余动能状态,接近正常动能,69.72,10,127,弱,5.51,47.24,52.76,27.56,25.2,42.52,4.9411,-0.4126,1.007,-0.0415
2026-05-29,1.32,趋势状态,强趋势下行,100,1,183,中,9.29,45.36,54.64,7.65,1.09,28.42,0.8313,-0.6131,0.8637,-0.2411
2026-05-29,1.32,趋势状态,强趋势下行,100,3,181,中强,21.55,39.23,60.77,12.15,17.13,28.73,0.1462,-2.3939,0.8705,-0.2071
2026-05-29,1.32,趋势状态,强趋势下行,100,5,180,中强,23.33,38.33,61.67,15,31.67,28.89,-1.3351,-3.5148,0.8743,-0.2082
2026-05-29,1.32,趋势状态,强趋势下行,100,10,180,强,26.67,36.67,63.33,17.22,43.33,36.11,-3.4482,-7.2676,0.9349,-0.1573
2026-05-29,1.32,量能状态,缩量,40.97,1,182,强,30.77,34.62,65.38,1.65,0,29.67,-1.0359,-1.1971,0.8613,-0.2068
2026-05-29,1.32,量能状态,缩量,40.97,3,182,强,27.47,36.26,63.74,9.34,14.29,37.91,-1.3671,-2.6789,0.9523,-0.1291
2026-05-29,1.32,量能状态,缩量,40.97,5,182,强,29.67,35.16,64.84,14.29,26.37,43.96,-1.1324,-3.2161,1.0182,-0.0363
2026-05-29,1.32,量能状态,缩量,40.97,10,178,弱,7.87,46.07,53.93,20.22,32.58,36.52,-0.2338,-3.0003,0.953,-0.1379
