component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,571,中强,21.19,39.4,60.6,4.38,0.0,39.58,0.1025,-0.9954,0.9867,-0.1105,2026-06-02 00:00
波动超额状态,接近一倍ATR,3,570,中,14.74,42.63,57.37,13.16,5.96,41.05,0.7751,-1.2025,1.0034,-0.0973,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,568,中,10.56,44.72,55.28,19.54,19.72,35.74,1.2148,-1.581,0.9648,-0.1469,2026-05-31 16:00
波动超额状态,接近一倍ATR,10,567,中,8.29,45.86,54.14,26.63,29.28,41.45,2.3742,-1.7832,0.986,-0.098,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,647,强,37.25,31.38,68.62,3.86,0.0,31.38,-0.5288,-1.7939,0.885,-0.196,2026-05-31 08:00
波动超额状态,振幅未满ATR,3,647,强,30.45,34.78,65.22,9.58,9.27,32.15,-1.0351,-3.4171,0.9138,-0.1765,2026-05-31 08:00
波动超额状态,振幅未满ATR,5,647,中强,21.79,39.1,60.9,13.6,23.49,37.25,-0.9679,-3.2101,0.9597,-0.1053,2026-05-31 08:00
波动超额状态,振幅未满ATR,10,643,中强,24.11,37.95,62.05,20.22,33.75,36.39,-0.6675,-4.6301,0.9636,-0.1364,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,389,弱,6.94,46.53,53.47,6.94,0.0,50.13,1.302,-0.469,1.1163,0.0048,2026-06-01 16:00
波动超额状态,振幅已超ATR,3,388,中,9.28,54.64,45.36,14.95,3.87,46.91,2.5201,0.5692,1.0456,-0.0355,2026-05-27 08:00
波动超额状态,振幅已超ATR,5,388,弱,6.7,53.35,46.65,24.48,11.34,46.39,3.3351,0.9363,1.0273,-0.0531,2026-05-27 08:00
波动超额状态,振幅已超ATR,10,388,弱,4.12,52.06,47.94,32.47,23.2,39.43,4.836,0.6686,0.9893,-0.0797,2026-05-27 08:00
波动状态,波动压缩,1,434,强,33.18,33.41,66.59,5.07,0.0,36.87,-0.2558,-1.524,0.9425,-0.1458,2026-05-03 00:00
波动状态,波动压缩,3,434,中强,17.51,41.24,58.76,10.83,5.76,40.32,0.3713,-2.0512,0.9886,-0.1149,2026-05-03 00:00
波动状态,波动压缩,5,434,弱,1.84,49.08,50.92,16.36,13.59,43.78,1.5486,-0.676,1.0252,-0.0701,2026-05-03 00:00
波动状态,波动压缩,10,434,弱,3.23,51.61,48.39,26.73,20.74,44.47,4.4027,0.5952,1.0346,-0.089,2026-05-03 00:00
波动状态,常态波动,1,240,中强,20.0,40.0,60.0,3.75,0.0,34.58,0.0154,-1.2046,0.9661,-0.1331,2026-06-01 08:00
波动状态,常态波动,3,240,中强,19.17,40.42,59.58,15.0,5.83,35.0,0.4641,-1.2703,0.9752,-0.1392,2026-06-01 08:00
波动状态,常态波动,5,239,中强,17.99,41.0,59.0,20.5,22.18,33.05,0.3987,-2.62,0.9531,-0.1312,2026-05-31 16:00
波动状态,常态波动,10,238,中强,16.81,41.6,58.4,27.73,36.97,34.03,1.0571,-4.7025,0.9399,-0.172,2026-05-26 08:00
波动状态,低波动启动,1,431,弱,6.73,46.64,53.36,5.1,0.0,51.51,1.2494,-0.3902,1.1109,0.0151,2026-05-25 08:00
波动状态,低波动启动,3,431,中,8.58,54.29,45.71,13.46,2.78,49.88,2.7948,0.7439,1.0774,-0.0007,2026-05-25 08:00
波动状态,低波动启动,5,431,中,13.23,56.61,43.39,24.83,9.28,48.72,4.3725,1.8215,1.0546,-0.033,2026-05-25 08:00
波动状态,低波动启动,10,431,中强,17.87,58.93,41.07,35.5,17.17,45.48,7.0631,3.8744,1.0388,-0.0527,2026-05-25 08:00
波动状态,高波动扩张,1,202,中强,18.81,40.59,59.41,7.92,0.0,38.12,0.3369,-0.7737,0.9913,-0.1233,2026-06-02 00:00
波动状态,高波动扩张,3,200,中,11.0,44.5,55.5,14.5,9.5,35.5,0.4774,-1.5685,0.9429,-0.1035,2026-05-29 16:00
波动状态,高波动扩张,5,200,中强,21.0,39.5,60.5,19.0,24.5,30.0,-0.6973,-2.9128,0.8785,-0.2057,2026-05-29 16:00
波动状态,高波动扩张,10,200,强,41.0,29.5,70.5,17.0,40.0,31.5,-3.5906,-7.5841,0.8966,-0.1812,2026-05-29 16:00
波动状态,高波动冷却,1,300,强,43.33,28.33,71.67,2.67,0.0,27.33,-0.9212,-2.2365,0.834,-0.2319,2026-06-01 00:00
波动状态,高波动冷却,3,300,强,46.0,27.0,73.0,8.33,13.0,26.33,-2.7422,-5.1466,0.8428,-0.2348,2026-06-01 00:00
波动状态,高波动冷却,5,299,强,46.49,26.76,73.24,9.7,35.79,28.43,-3.8617,-6.6496,0.8847,-0.1749,2026-05-31 08:00
波动状态,高波动冷却,10,295,强,52.54,23.73,76.27,12.88,47.8,30.17,-5.7459,-9.5327,0.8907,-0.1698,2026-05-30 00:00
短ATR状态,短ATR降温,1,546,强,42.12,28.94,71.06,4.4,0.0,30.04,-0.6893,-1.8825,0.889,-0.1946,2026-06-01 08:00
短ATR状态,短ATR降温,3,546,强,35.16,32.42,67.58,10.81,8.24,34.43,-1.2472,-3.4488,0.9346,-0.151,2026-06-01 08:00
短ATR状态,短ATR降温,5,544,中强,23.53,38.24,61.76,14.89,23.16,37.13,-1.1374,-3.6187,0.9616,-0.1053,2026-05-31 16:00
短ATR状态,短ATR降温,10,539,中强,20.22,39.89,60.11,21.15,34.14,41.74,-0.9082,-3.6836,1.0071,-0.0859,2026-05-30 00:00
短ATR状态,短ATR升温,1,398,弱,4.52,47.74,52.26,6.03,0.0,51.51,1.2994,-0.2705,1.1239,0.0219,2026-05-23 00:00
短ATR状态,短ATR升温,3,398,弱,6.03,53.02,46.98,13.07,3.52,45.23,2.0236,0.6116,1.0422,-0.0509,2026-05-23 00:00
短ATR状态,短ATR升温,5,398,弱,0.5,49.75,50.25,23.87,14.07,40.7,2.3797,-0.1155,0.9866,-0.11,2026-05-23 00:00
短ATR状态,短ATR升温,10,398,弱,1.01,49.5,50.5,31.41,25.38,39.7,3.3328,-0.1679,0.991,-0.0837,2026-05-23 00:00
短ATR状态,短ATR中性,1,663,中强,21.27,39.37,60.63,4.37,0.0,38.46,0.1238,-1.0536,0.9616,-0.1274,2026-06-02 00:00
短ATR状态,短ATR中性,3,661,中,11.65,44.18,55.82,12.71,7.56,38.73,0.9462,-1.1052,0.974,-0.1321,2026-05-29 16:00
短ATR状态,短ATR中性,5,661,弱,6.81,46.6,53.4,17.85,19.06,39.33,1.5574,-1.0163,0.9859,-0.1243,2026-05-29 16:00
短ATR状态,短ATR中性,10,661,中,11.04,44.48,55.52,25.42,28.44,36.16,2.9598,-1.8551,0.946,-0.1457,2026-05-29 16:00
量能状态,放量,1,319,弱,4.7,47.65,52.35,6.27,0.0,55.17,1.4378,-0.3051,1.1535,0.0367,2026-06-01 08:00
量能状态,放量,3,319,中,12.23,56.11,43.89,16.3,3.45,48.28,2.9454,1.2835,1.0525,-0.0349,2026-06-01 08:00
量能状态,放量,5,318,弱,5.66,52.83,47.17,27.04,11.64,40.88,4.6002,0.8986,0.9781,-0.1172,2026-05-29 08:00
量能状态,放量,10,318,弱,3.77,51.89,48.11,34.91,22.64,36.79,4.8984,0.6786,0.9775,-0.1177,2026-05-29 08:00
量能状态,量能正常,1,506,中,11.46,44.27,55.73,6.32,0.0,43.28,0.6579,-0.7582,1.0138,-0.0658,2026-06-02 00:00
量能状态,量能正常,3,504,弱,1.19,49.4,50.6,14.09,5.36,39.48,1.6283,-0.0701,0.9922,-0.1015,2026-05-31 00:00
量能状态,量能正常,5,504,弱,2.38,51.19,48.81,21.63,16.47,39.48,2.188,0.301,1.007,-0.1222,2026-05-31 00:00
量能状态,量能正常,10,503,弱,2.58,48.71,51.29,29.62,25.45,40.95,4.5172,-0.3675,0.9694,-0.094,2026-05-28 00:00
量能状态,缩量,1,782,强,40.41,29.8,70.2,3.2,0.0,29.28,-0.7272,-1.8623,0.8814,-0.2004,2026-06-01 00:00
量能状态,缩量,3,782,强,35.55,32.23,67.77,9.21,9.08,34.65,-1.2921,-3.3753,0.9374,-0.1553,2026-06-01 00:00
量能状态,缩量,5,781,强,26.25,36.88,63.12,12.68,24.07,37.77,-1.5464,-3.9401,0.9589,-0.1066,2026-05-31 16:00
量能状态,缩量,10,777,中强,23.81,38.1,61.9,18.92,35.14,38.48,-1.3339,-5.3192,0.9834,-0.1171,2026-05-30 00:00
趋势状态,强趋势上行,1,481,弱,0.62,49.69,50.31,5.41,0.0,49.06,1.0885,-0.0177,1.0874,-0.005,2026-05-25 16:00
趋势状态,强趋势上行,3,481,中,12.27,56.13,43.87,15.59,1.87,44.7,2.5936,1.275,1.0412,-0.0533,2026-05-25 16:00
趋势状态,强趋势上行,5,481,中强,18.92,59.46,40.54,26.4,6.86,44.28,4.0671,2.374,1.0403,-0.0622,2026-05-25 16:00
趋势状态,强趋势上行,10,481,中强,17.26,58.63,41.37,37.01,16.84,39.71,6.1751,3.7274,0.9859,-0.0977,2026-05-25 16:00
趋势状态,强趋势下行,1,650,强,34.15,32.92,67.08,5.38,0.0,33.85,-0.1319,-1.7738,0.9352,-0.1707,2026-06-02 00:00
趋势状态,强趋势下行,3,648,强,30.56,34.72,65.28,11.57,8.8,35.19,-0.3001,-3.3803,0.9385,-0.1626,2026-06-01 08:00
趋势状态,强趋势下行,5,646,强,29.1,35.45,64.55,14.86,27.09,33.44,-0.5691,-4.0847,0.9285,-0.173,2026-05-31 16:00
趋势状态,强趋势下行,10,641,强,27.93,36.04,63.96,18.72,37.75,35.57,-1.9899,-6.1458,0.9442,-0.1528,2026-05-30 00:00
趋势状态,趋势不明,1,177,强,32.2,33.9,66.1,3.95,0.0,37.85,-0.1821,-1.603,0.9584,-0.146,2026-05-26 08:00
趋势状态,趋势不明,3,177,弱,6.21,46.89,53.11,13.56,7.91,46.89,0.7632,-0.4264,1.0401,-0.0381,2026-05-26 08:00
趋势状态,趋势不明,5,177,弱,7.34,46.33,53.67,19.77,18.08,40.11,0.9336,-1.0616,0.9715,-0.0975,2026-05-26 08:00
趋势状态,趋势不明,10,177,弱,3.95,48.02,51.98,26.55,30.51,41.24,5.7226,-0.6512,1.002,-0.1047,2026-05-26 08:00
趋势状态,弱趋势混合,1,130,强,32.31,33.85,66.15,3.08,0.0,37.69,-0.4145,-1.1004,0.9173,-0.1468,2026-05-24 00:00
趋势状态,弱趋势混合,3,130,强,33.85,33.08,66.92,8.46,6.15,26.15,-1.0387,-3.1466,0.8702,-0.2064,2026-05-24 00:00
趋势状态,弱趋势混合,5,130,强,30.77,34.62,65.38,11.54,23.85,36.92,-1.5509,-4.0727,0.9536,-0.109,2026-05-24 00:00
趋势状态,弱趋势混合,10,130,强,47.69,26.15,73.85,13.08,38.46,39.23,-2.8523,-6.7439,0.9412,-0.0894,2026-05-24 00:00
趋势状态,弱趋势上行,1,77,样本偏少,37.66,31.17,68.83,2.6,0.0,31.17,-0.7424,-1.453,0.9041,-0.1531,2026-05-26 00:00
趋势状态,弱趋势上行,3,77,样本偏少,22.08,38.96,61.04,7.79,6.49,42.86,-0.9853,-2.634,0.9858,-0.0902,2026-05-26 00:00
趋势状态,弱趋势上行,5,77,样本偏少,3.9,48.05,51.95,16.88,16.88,46.75,0.8327,-1.6124,1.0435,-0.0295,2026-05-26 00:00
趋势状态,弱趋势上行,10,77,样本偏少,1.3,50.65,49.35,31.17,19.48,49.35,7.8484,0.0881,1.1264,-0.0057,2026-05-26 00:00
趋势状态,弱趋势下行,1,92,样本偏少,39.13,30.43,69.57,3.26,0.0,30.43,-0.7793,-2.1742,0.8776,-0.2031,2026-05-24 08:00
趋势状态,弱趋势下行,3,92,样本偏少,36.96,31.52,68.48,4.35,17.39,33.7,-2.4714,-3.2807,0.9431,-0.1356,2026-05-24 08:00
趋势状态,弱趋势下行,5,92,样本偏少,23.91,38.04,61.96,8.7,26.09,43.48,-2.8104,-3.0323,0.9892,-0.1003,2026-05-24 08:00
趋势状态,弱趋势下行,10,92,样本偏少,23.91,38.04,61.96,22.83,33.7,44.57,-1.6057,-5.4578,1.0502,-0.0768,2026-05-24 08:00
