component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,223,中强,16.59,41.7,58.3,2.24,0,32.74,-0.3882,-0.8486,0.9099,-0.2134,2026-05-28
波动状态,波动压缩,3,222,中强,21.62,39.19,60.81,15.77,9.01,35.14,0.3074,-2.0768,0.9956,-0.1431,2026-05-25
波动状态,波动压缩,5,221,中强,18.55,40.72,59.28,17.19,17.65,33.03,-0.1175,-2.902,0.9626,-0.1658,2026-05-24
波动状态,波动压缩,10,218,中,11.93,44.04,55.96,23.39,28.9,37.16,1.1719,-1.9716,1.0154,-0.1114,2026-05-19
波动状态,常态波动,1,168,弱,4.76,47.62,52.38,5.95,1.79,26.19,0.1242,-0.2426,0.8926,-0.241,2026-03-24
波动状态,常态波动,3,168,中强,22.62,38.69,61.31,12.5,16.67,31.55,-0.0429,-2.6446,0.9122,-0.2034,2026-03-24
波动状态,常态波动,5,168,中强,20.24,39.88,60.12,20.83,26.19,32.14,0.1497,-2.7718,0.9121,-0.209,2026-03-24
波动状态,常态波动,10,168,强,27.38,36.31,63.69,22.62,37.5,30.95,-2.2546,-4.6044,0.9147,-0.2526,2026-03-24
波动状态,低波动启动,1,268,中强,20.9,60.45,39.55,12.31,3.36,50.75,1.9578,1.1938,1.1904,0.0107,2026-05-27
波动状态,低波动启动,3,267,弱,4.87,52.43,47.57,20.97,5.99,44.19,3.695,0.5477,1.0994,-0.0659,2026-05-26
波动状态,低波动启动,5,266,中强,18.8,59.4,40.6,26.69,10.53,46.99,5.5825,2.496,1.1448,-0.0347,2026-05-23
波动状态,低波动启动,10,264,中强,23.48,61.74,38.26,40.91,16.67,42.8,9.8991,6.1619,1.113,-0.0689,2026-05-17
波动状态,高波动扩张,1,114,样本偏少,14.04,42.98,57.02,19.3,20.18,42.11,-0.6411,-2.7183,1.1094,-0.0504,2026-02-05
波动状态,高波动扩张,3,114,样本偏少,8.77,45.61,54.39,15.79,29.82,30.7,-1.544,-2.039,0.9747,-0.1284,2026-02-05
波动状态,高波动扩张,5,114,样本偏少,17.54,41.23,58.77,21.05,35.96,25.44,-2.1963,-3.2169,0.9327,-0.1566,2026-02-05
波动状态,高波动扩张,10,114,样本偏少,29.82,35.09,64.91,22.81,47.37,30.7,-4.5579,-7.8805,0.9085,-0.1476,2026-02-05
波动状态,高波动冷却,1,120,强,50,25,75,0.83,0.83,9.17,-2.065,-2.4145,0.6965,-0.3477,2026-02-09
波动状态,高波动冷却,3,120,强,53.33,23.33,76.67,9.17,30.83,23.33,-4.1343,-5.9414,0.8494,-0.286,2026-02-09
波动状态,高波动冷却,5,120,强,51.67,24.17,75.83,12.5,45,25,-5.5997,-9.0318,0.8415,-0.2626,2026-02-09
波动状态,高波动冷却,10,120,强,51.67,24.17,75.83,17.5,55.83,23.33,-8.1551,-11.7309,0.8371,-0.2287,2026-02-09
短ATR状态,短ATR降温,1,397,中强,18.89,40.55,59.45,3.53,0.76,25.44,-0.5796,-1.0685,0.8754,-0.2555,2026-05-26
短ATR状态,短ATR降温,3,397,强,33,33.5,66.5,13.1,18.39,31.99,-1.5973,-3.5249,0.9363,-0.1988,2026-05-26
短ATR状态,短ATR降温,5,395,中强,24.56,37.72,62.28,16.2,30.89,33.42,-2.132,-4.5119,0.9629,-0.1582,2026-05-21
短ATR状态,短ATR降温,10,393,强,25.19,37.4,62.6,24.17,40.97,35.62,-1.7837,-5.0557,0.9735,-0.1519,2026-05-19
短ATR状态,短ATR升温,1,195,中,12.82,56.41,43.59,15.9,10.26,57.95,1.2921,1.1192,1.2828,0.1006,2026-05-15
短ATR状态,短ATR升温,3,195,中,14.87,57.44,42.56,20,12.82,48.21,2.7171,1.41,1.1701,-0.0249,2026-05-15
短ATR状态,短ATR升温,5,195,中强,16.92,58.46,41.54,27.18,15.38,46.67,3.5383,1.6972,1.1643,-0.0348,2026-05-15
短ATR状态,短ATR升温,10,195,中强,16.92,58.46,41.54,37.44,21.03,41.54,5.5199,6.2174,1.0395,-0.0702,2026-05-15
短ATR状态,短ATR中性,1,301,弱,4.98,47.51,52.49,8.64,4.32,32.56,0.3863,-0.4132,0.9444,-0.1549,2026-05-28
短ATR状态,短ATR中性,3,299,中强,15.05,42.47,57.53,16.72,12.37,30.43,1.6046,-1.8158,0.9397,-0.1819,2026-05-24
短ATR状态,短ATR中性,5,299,中,14.38,42.81,57.19,22.07,18.06,29.43,2.3878,-1.7561,0.9044,-0.2268,2026-05-24
短ATR状态,短ATR中性,10,296,中,13.51,43.24,56.76,25.68,30.07,29.73,2.0827,-1.9545,0.9717,-0.216,2026-05-17
量能状态,放量,1,136,中强,16.18,58.09,41.91,17.65,13.24,65.44,0.9916,0.7854,1.4608,0.247,2026-04-28
量能状态,放量,3,136,中强,19.12,59.56,40.44,20.59,13.97,47.06,2.7478,2.174,1.2547,-0.0219,2026-04-28
量能状态,放量,5,136,中,10.29,55.15,44.85,25.74,16.18,47.79,3.7245,0.8306,1.1772,-0.0305,2026-04-28
量能状态,放量,10,136,中强,16.18,58.09,41.91,41.91,23.53,44.85,6.7401,6.3206,1.0731,-0.0364,2026-04-28
量能状态,量能正常,1,368,弱,4.89,47.55,52.45,8.7,2.45,35.33,0.5585,-0.3062,0.9768,-0.1157,2026-05-27
量能状态,量能正常,3,367,中强,18.8,40.6,59.4,16.35,13.62,35.15,0.8341,-2.0098,0.9699,-0.1803,2026-05-14
量能状态,量能正常,5,367,中,11.17,44.41,55.59,22.34,22.89,34.06,1.134,-1.9525,0.9807,-0.1658,2026-05-14
量能状态,量能正常,10,367,中,14.44,42.78,57.22,25.61,33.51,34.06,0.8996,-2.9041,0.9846,-0.1837,2026-05-14
量能状态,缩量,1,389,中强,17.74,41.13,58.87,3.86,2.31,23.91,-0.52,-0.9907,0.8325,-0.2756,2026-05-28
