date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0,波动状态,波动压缩,82.29,1,223,中强,16.59,41.7,58.3,2.24,0,32.74,-0.3882,-0.8486,0.9099,-0.2134
2026-05-29,0,波动状态,波动压缩,82.29,3,222,中强,21.62,39.19,60.81,15.77,9.01,35.14,0.3074,-2.0768,0.9956,-0.1431
2026-05-29,0,波动状态,波动压缩,82.29,5,221,中强,18.55,40.72,59.28,17.19,17.65,33.03,-0.1175,-2.902,0.9626,-0.1658
2026-05-29,0,波动状态,波动压缩,82.29,10,218,中,11.93,44.04,55.96,23.39,28.9,37.16,1.1719,-1.9716,1.0154,-0.1114
2026-05-29,0,短ATR状态,短ATR降温,81.7,1,397,中强,18.89,40.55,59.45,3.53,0.76,25.44,-0.5796,-1.0685,0.8754,-0.2555
2026-05-29,0,短ATR状态,短ATR降温,81.7,3,397,强,33,33.5,66.5,13.1,18.39,31.99,-1.5973,-3.5249,0.9363,-0.1988
2026-05-29,0,短ATR状态,短ATR降温,81.7,5,395,中强,24.56,37.72,62.28,16.2,30.89,33.42,-2.132,-4.5119,0.9629,-0.1582
2026-05-29,0,短ATR状态,短ATR降温,81.7,10,393,强,25.19,37.4,62.6,24.17,40.97,35.62,-1.7837,-5.0557,0.9735,-0.1519
2026-05-29,0,余动能状态,余动能不足,43.37,1,413,中强,23.49,38.26,61.74,1.94,0.24,24.21,-0.7953,-1.1789,0.8362,-0.2715
2026-05-29,0,余动能状态,余动能不足,43.37,3,412,强,31.55,34.22,65.78,12.14,16.02,32.04,-1.1888,-3.0389,0.9433,-0.2037
2026-05-29,0,余动能状态,余动能不足,43.37,5,411,强,26.03,36.98,63.02,16.79,27.25,29.93,-1.4909,-4.0228,0.9106,-0.2061
2026-05-29,0,余动能状态,余动能不足,43.37,10,408,强,25.98,37.01,62.99,21.81,38.24,31.62,-2.494,-5.1048,0.9347,-0.19
2026-05-29,0,趋势状态,强趋势下行,100,1,430,中,9.3,45.35,54.65,8.37,1.63,21.86,0.4699,-0.5743,0.8327,-0.2798
2026-05-29,0,趋势状态,强趋势下行,100,3,428,强,32.24,33.88,66.12,13.08,20.56,24.3,-1.0216,-3.4299,0.8436,-0.2616
2026-05-29,0,趋势状态,强趋势下行,100,5,426,强,32.39,33.8,66.2,16.43,33.57,24.41,-2.4203,-5.1734,0.8526,-0.2517
2026-05-29,0,趋势状态,强趋势下行,100,10,421,强,42.99,28.5,71.5,18.05,48.46,28.98,-5.2304,-9.4765,0.9314,-0.2143
2026-05-29,0,量能状态,缩量,40.54,1,389,中强,17.74,41.13,58.87,3.86,2.31,23.91,-0.52,-0.9907,0.8325,-0.2756
2026-05-29,0,量能状态,缩量,40.54,3,388,强,26.8,36.6,63.4,13.66,17.01,30.67,-0.7845,-2.9597,0.9131,-0.1971
2026-05-29,0,量能状态,缩量,40.54,5,386,中强,20.73,39.64,60.36,17.1,25.91,31.35,-0.9351,-3.5389,0.9268,-0.1867
2026-05-29,0,量能状态,缩量,40.54,10,381,中强,19.69,40.16,59.84,24.41,35.7,32.28,-0.6691,-3.8965,0.9596,-0.1811
