component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2099,中强,24.63,37.68,62.32,3.91,0.0,38.59,0.0642,-1.222,0.9878,-0.1298,2026-06-01 20:00
波动超额状态,接近一倍ATR,3,2099,中,13.96,43.02,56.98,11.72,5.86,39.54,0.713,-1.2418,1.0232,-0.1099,2026-06-01 20:00
波动超额状态,接近一倍ATR,5,2098,中,11.34,44.33,55.67,17.16,15.82,37.37,1.2188,-1.4924,0.9854,-0.1362,2026-06-01 12:00
波动超额状态,接近一倍ATR,10,2096,弱,7.54,46.23,53.77,26.38,28.63,35.54,2.2646,-1.8654,0.9686,-0.1553,2026-05-31 04:00
波动超额状态,振幅未满ATR,1,2856,强,39.85,30.08,69.92,2.45,0.07,29.13,-0.7201,-1.8745,0.8794,-0.2218,2026-06-02 08:00
波动超额状态,振幅未满ATR,3,2855,强,32.75,33.63,66.37,8.34,9.0,33.03,-1.2165,-3.3852,0.9282,-0.1922,2026-06-01 08:00
波动超额状态,振幅未满ATR,5,2855,强,29.67,35.17,64.83,14.12,23.85,35.31,-1.2293,-3.9623,0.9602,-0.1722,2026-06-01 08:00
波动超额状态,振幅未满ATR,10,2854,中强,24.88,37.56,62.44,21.37,37.46,39.77,-0.7857,-5.5985,1.0089,-0.1203,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1582,弱,4.42,47.79,52.21,8.09,0.13,51.14,1.7399,-0.2291,1.1859,0.0151,2026-06-02 04:00
波动超额状态,振幅已超ATR,3,1581,弱,3.86,51.93,48.07,19.48,4.62,42.82,3.2131,0.5118,1.0507,-0.0769,2026-06-02 00:00
波动超额状态,振幅已超ATR,5,1580,弱,4.94,52.47,47.53,26.27,13.86,41.65,4.1257,0.6914,1.0433,-0.0857,2026-06-01 16:00
波动超额状态,振幅已超ATR,10,1578,弱,6.21,53.11,46.89,32.76,25.6,35.99,6.102,1.3912,0.9762,-0.1564,2026-05-31 20:00
波动状态,波动压缩,1,1734,强,35.99,32.01,67.99,2.42,0.0,32.41,-0.5331,-1.5801,0.9027,-0.1941,2026-06-02 08:00
波动状态,波动压缩,3,1733,中强,23.37,38.32,61.68,10.27,5.83,36.81,-0.2068,-2.3626,0.9823,-0.1513,2026-06-01 08:00
波动状态,波动压缩,5,1733,中强,17.25,41.37,58.63,17.48,17.08,39.3,0.9026,-2.4977,1.0182,-0.1338,2026-06-01 08:00
波动状态,波动压缩,10,1732,弱,4.5,47.75,52.25,28.18,26.5,43.71,3.6162,-1.1278,1.0654,-0.0822,2026-05-31 16:00
波动状态,常态波动,1,1110,强,27.39,36.31,63.69,3.69,0.0,34.32,-0.143,-1.4785,0.951,-0.1649,2026-04-20 20:00
波动状态,常态波动,3,1110,中强,21.26,39.37,60.63,10.18,7.57,37.39,-0.1574,-2.1302,0.968,-0.1343,2026-04-20 20:00
波动状态,常态波动,5,1110,中强,21.44,39.28,60.72,14.41,17.39,36.4,-0.0072,-2.6982,0.9726,-0.142,2026-04-20 20:00
波动状态,常态波动,10,1110,中强,17.3,41.35,58.65,21.53,31.98,34.95,0.3635,-3.2076,0.9618,-0.1523,2026-04-20 20:00
波动状态,低波动启动,1,1958,中,8.27,45.86,54.14,6.18,0.0,47.19,1.3407,-0.4106,1.1289,-0.0291,2026-06-02 04:00
波动状态,低波动启动,3,1957,弱,4.85,52.43,47.57,17.48,2.91,43.54,3.136,0.54,1.0696,-0.0769,2026-06-02 00:00
波动状态,低波动启动,5,1955,中,8.54,54.27,45.73,24.81,10.43,41.79,4.2973,1.204,1.04,-0.0906,2026-06-01 16:00
波动状态,低波动启动,10,1951,中,12.25,56.13,43.87,35.16,20.25,37.67,7.366,3.0927,0.9944,-0.1362,2026-05-31 20:00
波动状态,高波动扩张,1,835,强,25.27,37.37,62.63,6.59,0.24,43.83,0.4097,-1.4341,1.0626,-0.0711,2026-02-16 12:00
波动状态,高波动扩张,3,835,中强,19.28,40.36,59.64,14.37,9.1,37.96,0.5281,-2.0113,1.0004,-0.1307,2026-02-16 12:00
波动状态,高波动扩张,5,835,中强,18.08,40.96,59.04,19.76,24.55,36.29,0.406,-3.1754,0.9829,-0.1435,2026-02-16 12:00
波动状态,高波动扩张,10,835,中强,23.35,38.32,61.68,22.63,40.6,33.29,-0.834,-6.0978,0.9449,-0.1903,2026-02-16 12:00
波动状态,高波动冷却,1,900,强,47.11,26.44,73.56,2.33,0.22,24.22,-1.1705,-2.4078,0.825,-0.2618,2026-02-17 04:00
波动状态,高波动冷却,3,900,强,51.11,24.44,75.56,4.33,15.0,25.33,-3.2685,-5.0924,0.8373,-0.271,2026-02-17 04:00
波动状态,高波动冷却,5,900,强,54.0,23.0,77.0,7.22,37.11,27.22,-5.256,-6.8651,0.8433,-0.2517,2026-02-17 04:00
波动状态,高波动冷却,10,900,强,60.44,19.78,80.22,8.67,58.33,32.22,-9.1203,-12.1081,0.8976,-0.1853,2026-02-17 04:00
短ATR状态,短ATR降温,1,2369,强,39.38,30.31,69.69,2.91,0.0,29.89,-0.6086,-1.8638,0.8897,-0.2267,2026-05-31 16:00
短ATR状态,短ATR降温,3,2369,强,29.17,35.42,64.58,9.24,8.53,35.42,-0.7447,-2.9196,0.9556,-0.1776,2026-05-31 16:00
短ATR状态,短ATR降温,5,2369,强,25.37,37.32,62.68,14.9,21.61,36.94,-0.4556,-3.3765,0.9729,-0.1555,2026-05-31 16:00
短ATR状态,短ATR降温,10,2369,中强,15.15,42.42,57.58,24.61,30.9,40.14,1.177,-3.102,1.0154,-0.1118,2026-05-31 16:00
短ATR状态,短ATR升温,1,1697,弱,5.6,47.2,52.8,7.31,0.18,49.5,1.496,-0.3062,1.1601,-0.005,2026-06-02 04:00
短ATR状态,短ATR升温,3,1696,弱,6.84,53.42,46.58,19.4,4.72,44.16,3.3046,0.6757,1.074,-0.0562,2026-06-02 00:00
短ATR状态,短ATR升温,5,1694,中,9.92,54.96,45.04,26.92,13.16,42.15,4.6182,1.2537,1.0568,-0.0801,2026-06-01 16:00
短ATR状态,短ATR升温,10,1693,弱,5.38,52.69,47.31,32.84,26.88,35.09,5.1232,1.1076,0.963,-0.1625,2026-05-29 16:00
短ATR状态,短ATR中性,1,2471,强,28.21,35.9,64.1,3.52,0.04,36.54,-0.1077,-1.3609,0.9651,-0.1447,2026-06-02 08:00
短ATR状态,短ATR中性,3,2470,中强,23.97,38.02,61.98,9.88,6.92,34.9,-0.2984,-2.2851,0.961,-0.158,2026-06-01 12:00
短ATR状态,短ATR中性,5,2470,中强,23.24,38.38,61.62,14.94,20.12,34.86,-0.4768,-3.2545,0.9563,-0.1645,2026-06-01 12:00
短ATR状态,短ATR中性,10,2466,中强,20.36,39.82,60.18,21.94,35.93,36.62,0.2723,-4.6796,0.9789,-0.1488,2026-05-31 20:00
量能状态,放量,1,1158,弱,5.35,52.68,47.32,9.15,0.09,57.25,2.3828,0.3756,1.258,0.0809,2026-06-02 04:00
量能状态,放量,3,1157,中强,18.41,59.2,40.8,22.3,3.46,46.67,4.7136,1.686,1.1008,-0.0325,2026-06-02 00:00
量能状态,放量,5,1156,中强,18.34,59.17,40.83,30.45,11.07,42.21,6.1844,2.6873,1.0677,-0.0745,2026-06-01 16:00
量能状态,放量,10,1154,中强,15.94,57.97,42.03,38.56,20.97,34.75,8.992,3.8227,0.9667,-0.1679,2026-05-29 12:00
量能状态,量能正常,1,2488,中强,23.79,38.1,61.9,4.5,0.04,39.35,0.1907,-1.1464,1.0073,-0.1202,2026-06-02 08:00
量能状态,量能正常,3,2487,中,14.6,42.7,57.3,12.99,5.07,38.6,0.8077,-1.4329,1.0084,-0.1338,2026-06-01 20:00
量能状态,量能正常,5,2486,中,13.68,43.16,56.84,18.34,16.17,37.93,1.0905,-1.7772,0.9891,-0.1357,2026-06-01 08:00
量能状态,量能正常,10,2483,弱,6.89,46.56,53.44,26.26,29.64,36.61,1.9901,-1.7192,0.9732,-0.1575,2026-05-31 16:00
量能状态,缩量,1,2891,强,41.34,29.33,70.67,2.14,0.07,27.98,-0.8312,-1.9931,0.8641,-0.2318,2026-05-31 20:00
量能状态,缩量,3,2891,强,35.18,32.41,67.59,7.3,9.93,32.86,-1.5079,-3.4052,0.9261,-0.1928,2026-05-31 20:00
量能状态,缩量,5,2891,强,30.4,34.8,65.2,12.8,24.28,35.25,-1.4853,-4.1722,0.956,-0.1735,2026-05-31 20:00
量能状态,缩量,10,2891,强,27.08,36.46,63.54,20.17,37.88,39.36,-1.1017,-5.8207,1.0093,-0.118,2026-05-31 20:00
趋势状态,强趋势上行,1,1821,弱,2.69,48.65,51.35,5.66,0.16,49.59,1.2209,-0.1567,1.1391,-0.0055,2026-05-21 20:00
趋势状态,强趋势上行,3,1821,中,12.69,56.34,43.66,17.63,2.8,45.58,3.1953,1.2748,1.092,-0.0448,2026-05-21 20:00
趋势状态,强趋势上行,5,1821,中强,16.64,58.32,41.68,26.19,8.13,43.44,4.7834,2.1259,1.0725,-0.075,2026-05-21 20:00
趋势状态,强趋势上行,10,1821,中,14.88,57.44,42.56,36.68,19.88,39.87,7.5281,3.4716,1.0279,-0.1168,2026-05-21 20:00
趋势状态,强趋势下行,1,2201,强,37.66,31.17,68.83,4.5,0.0,33.71,-0.2068,-1.8581,0.9351,-0.1822,2026-06-02 08:00
趋势状态,强趋势下行,3,2199,强,31.15,34.42,65.58,10.28,11.28,33.88,-0.8004,-3.2825,0.9244,-0.1854,2026-05-29 08:00
趋势状态,强趋势下行,5,2199,强,31.51,34.24,65.76,13.55,26.42,33.56,-1.3146,-4.2581,0.9303,-0.1867,2026-05-29 08:00
趋势状态,强趋势下行,10,2199,强,33.52,33.24,66.76,16.83,43.02,32.79,-2.7909,-7.345,0.9259,-0.1934,2026-05-29 08:00
趋势状态,趋势不明,1,959,强,31.39,34.31,65.69,2.19,0.0,33.68,-0.3193,-1.3287,0.9337,-0.1701,2026-06-02 00:00
趋势状态,趋势不明,3,959,强,25.34,37.33,62.67,9.91,5.32,36.18,-0.3158,-2.4128,0.9749,-0.1477,2026-06-02 00:00
趋势状态,趋势不明,5,957,强,26.85,36.57,63.43,15.99,18.18,37.2,0.0306,-3.1143,0.9886,-0.1369,2026-06-01 16:00
趋势状态,趋势不明,10,955,中,8.27,45.86,54.14,27.54,29.53,42.2,2.4253,-1.5842,1.0393,-0.0808,2026-05-31 20:00
趋势状态,弱趋势混合,1,502,强,43.43,28.29,71.71,2.39,0.2,24.5,-1.1401,-2.0119,0.8347,-0.2687,2026-05-12 00:00
趋势状态,弱趋势混合,3,502,强,45.42,27.29,72.71,6.77,9.16,29.08,-2.3597,-3.9582,0.8824,-0.2155,2026-05-12 00:00
趋势状态,弱趋势混合,5,502,强,37.05,31.47,68.53,11.35,25.3,33.07,-2.9794,-4.5424,0.9335,-0.1843,2026-05-12 00:00
趋势状态,弱趋势混合,10,502,强,36.25,31.87,68.13,15.54,42.83,36.65,-4.2057,-7.6556,0.96,-0.1674,2026-05-12 00:00
趋势状态,弱趋势上行,1,417,中强,24.7,37.65,62.35,4.56,0.0,35.73,0.0204,-1.0851,1.0021,-0.1312,2026-05-22 08:00
趋势状态,弱趋势上行,3,417,中,11.27,44.36,55.64,9.83,4.8,39.57,0.7062,-1.4063,1.0421,-0.1263,2026-05-22 08:00
趋势状态,弱趋势上行,5,417,弱,5.52,47.24,52.76,18.71,15.59,36.69,1.5931,-0.8469,0.9878,-0.1232,2026-05-22 08:00
趋势状态,弱趋势上行,10,417,弱,6.47,53.24,46.76,29.98,20.62,43.41,4.8223,1.0923,1.0359,-0.0769,2026-05-22 08:00
趋势状态,弱趋势下行,1,637,强,35.32,32.34,67.66,4.08,0.0,33.12,-0.1055,-1.6929,0.9361,-0.2094,2026-06-01 12:00
趋势状态,弱趋势下行,3,637,强,30.61,34.69,65.31,11.77,5.81,34.07,0.3734,-2.9498,0.9815,-0.1769,2026-06-01 12:00
趋势状态,弱趋势下行,5,637,中强,23.7,38.15,61.85,18.05,21.51,38.62,0.8611,-3.3904,0.9915,-0.1491,2026-06-01 12:00
趋势状态,弱趋势下行,10,634,中,11.04,44.48,55.52,27.76,28.71,36.75,3.7004,-2.1427,1.0023,-0.143,2026-05-31 16:00
