date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-30 16:00,0,波动状态,波动压缩,70.87,1,829,强,39.2,30.4,69.6,1.57,0,28.95,-0.6924,-1.403,0.8904,-0.1938
2026-05-30 16:00,0,波动状态,波动压缩,70.87,3,827,中强,23.58,38.21,61.79,8.95,6.89,35.91,-0.2993,-2.1871,0.9679,-0.1612
2026-05-30 16:00,0,波动状态,波动压缩,70.87,5,826,中强,15.5,42.25,57.75,16.46,16.71,42.01,0.6387,-2.0738,1.0215,-0.1039
2026-05-30 16:00,0,波动状态,波动压缩,70.87,10,824,弱,1.46,49.27,50.73,25.36,25.97,41.38,3.0941,-0.1679,1.0258,-0.0953
2026-05-30 16:00,0,短ATR状态,短ATR降温,100,1,1253,强,31.68,34.16,65.84,1.92,0.16,28.89,-0.7314,-1.3172,0.8755,-0.2298
2026-05-30 16:00,0,短ATR状态,短ATR降温,100,3,1252,强,30.67,34.66,65.34,9.11,9.19,35.86,-1.1235,-3.0139,0.9505,-0.1654
2026-05-30 16:00,0,短ATR状态,短ATR降温,100,5,1252,中强,24.76,37.62,62.38,15.65,22.28,38.74,-0.6203,-3.3034,0.9921,-0.1353
2026-05-30 16:00,0,短ATR状态,短ATR降温,100,10,1252,中,13.58,43.21,56.79,24.68,33.39,39.38,0.9812,-3.2624,1.0102,-0.1201
2026-05-30 16:00,0,余动能状态,余动能不足,35.44,1,1345,强,41.12,29.44,70.56,1.26,0,27.36,-0.938,-1.5028,0.8584,-0.23
2026-05-30 16:00,0,余动能状态,余动能不足,35.44,3,1343,强,34.48,32.76,67.24,7.82,10.13,32.09,-1.5769,-3.2758,0.9135,-0.1945
2026-05-30 16:00,0,余动能状态,余动能不足,35.44,5,1342,强,32.04,33.98,66.02,13.56,23.85,37.26,-1.5322,-4.1238,0.9606,-0.1438
2026-05-30 16:00,0,余动能状态,余动能不足,35.44,10,1341,中强,24.53,37.73,62.27,19.61,37.58,38.03,-1.176,-5.4076,0.9826,-0.1267
2026-05-30 16:00,0,趋势状态,强趋势下行,90.65,1,1304,中,9.97,45.02,54.98,4.98,0.61,31.29,0.3975,-0.5838,0.9086,-0.1977
2026-05-30 16:00,0,趋势状态,强趋势下行,90.65,3,1302,强,25.35,37.33,62.67,12.75,12.44,32.87,-0.2442,-2.7952,0.9135,-0.1859
2026-05-30 16:00,0,趋势状态,强趋势下行,90.65,5,1300,强,31.85,34.08,65.92,15.46,26.85,32.69,-0.8283,-4.5951,0.9155,-0.189
2026-05-30 16:00,0,趋势状态,强趋势下行,90.65,10,1295,强,29.58,35.21,64.79,18.15,41.78,34.9,-2.0822,-7.0413,0.9409,-0.1657
2026-05-30 16:00,0,量能状态,缩量,29.6,1,1355,强,35.65,32.18,67.82,1.55,0.22,25.61,-0.9147,-1.4934,0.844,-0.2412
2026-05-30 16:00,0,量能状态,缩量,29.6,3,1354,强,36.04,31.98,68.02,7.46,10.19,31.98,-1.6311,-3.3281,0.9121,-0.1973
2026-05-30 16:00,0,量能状态,缩量,29.6,5,1353,强,34.07,32.96,67.04,12.56,24.24,37.25,-1.6668,-4.3954,0.9667,-0.1403
2026-05-30 16:00,0,量能状态,缩量,29.6,10,1351,强,25.83,37.08,62.92,19.02,37.45,37.97,-1.3407,-5.5218,0.9799,-0.1244
