component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,908,强,26.43,36.78,63.22,4.19,0.0,37.89,0.1743,-1.2622,0.9792,-0.1146,2026-06-02 00:00
波动超额状态,接近一倍ATR,3,907,中强,16.87,41.57,58.43,13.45,6.84,38.37,1.1286,-1.488,0.9898,-0.1126,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,905,中,13.81,43.09,56.91,19.67,18.45,38.67,1.5784,-1.9508,0.9776,-0.1361,2026-05-31 16:00
波动超额状态,接近一倍ATR,10,903,中,9.41,45.29,54.71,27.91,29.79,39.53,2.517,-1.9623,0.987,-0.122,2026-05-28 16:00
波动超额状态,振幅未满ATR,1,1044,强,39.08,30.46,69.54,2.01,0.0,28.16,-0.8002,-1.905,0.8689,-0.1987,2026-05-31 08:00
波动超额状态,振幅未满ATR,3,1044,强,31.8,34.1,65.9,8.24,9.87,30.17,-1.5541,-3.245,0.9154,-0.1864,2026-05-31 08:00
波动超额状态,振幅未满ATR,5,1044,强,28.54,35.73,64.27,13.22,22.89,35.82,-1.3849,-3.9449,0.9696,-0.1336,2026-05-31 08:00
波动超额状态,振幅未满ATR,10,1041,中强,23.73,38.14,61.86,20.56,34.97,34.77,-0.7148,-5.3127,0.9556,-0.1414,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,590,弱,1.02,49.49,50.51,7.46,0.0,51.36,1.7141,-0.119,1.1513,0.0187,2026-06-01 16:00
波动超额状态,振幅已超ATR,3,589,弱,4.92,52.46,47.54,19.52,4.07,47.2,3.0712,0.4271,1.0535,-0.0394,2026-05-29 08:00
波动超额状态,振幅已超ATR,5,589,弱,7.98,53.99,46.01,27.16,14.94,36.84,3.7906,1.061,0.9772,-0.1252,2026-05-29 08:00
波动超额状态,振幅已超ATR,10,589,弱,6.28,53.14,46.86,32.77,24.45,37.52,4.8542,1.3447,0.987,-0.1344,2026-05-29 08:00
波动状态,波动压缩,1,798,强,31.58,34.21,65.79,2.13,0.0,32.83,-0.4228,-1.5923,0.9191,-0.1641,2026-05-31 08:00
波动状态,波动压缩,3,798,中强,20.05,39.97,60.03,9.77,5.39,33.08,-0.1614,-1.7513,0.9583,-0.1602,2026-05-31 08:00
波动状态,波动压缩,5,798,中,12.53,43.73,56.27,16.79,14.29,41.6,1.0173,-1.721,1.0395,-0.0835,2026-05-31 08:00
波动状态,波动压缩,10,796,弱,5.28,47.36,52.64,26.38,25.13,39.95,3.4972,-1.3075,1.0256,-0.1035,2026-05-26 16:00
波动状态,常态波动,1,372,强,39.25,30.38,69.62,2.42,0.0,34.41,-0.5054,-1.8877,0.9197,-0.1512,2026-06-01 08:00
波动状态,常态波动,3,372,强,30.65,34.68,65.32,12.1,10.48,34.41,-0.5519,-3.2892,0.9258,-0.1627,2026-06-01 08:00
波动状态,常态波动,5,371,强,27.22,36.39,63.61,16.44,25.61,35.58,-0.812,-4.3235,0.9461,-0.1691,2026-05-31 16:00
波动状态,常态波动,10,368,强,29.89,35.05,64.95,20.38,37.77,35.05,-1.8656,-5.0268,0.941,-0.1463,2026-05-30 00:00
波动状态,低波动启动,1,852,中,8.92,45.54,54.46,6.46,0.0,47.18,1.3635,-0.5118,1.1138,-0.0316,2026-06-02 00:00
波动状态,低波动启动,3,850,弱,3.53,51.76,48.24,18.0,2.94,48.59,3.2967,0.1718,1.0858,-0.0159,2026-06-01 00:00
波动状态,低波动启动,5,849,中,8.36,54.18,45.82,27.33,11.54,41.46,4.6754,1.0398,1.0177,-0.0987,2026-05-29 08:00
波动状态,低波动启动,10,849,中强,15.19,57.6,42.4,36.16,18.61,41.7,7.7598,3.547,1.0144,-0.1094,2026-05-29 08:00
波动状态,高波动扩张,1,213,中强,16.43,41.78,58.22,6.57,0.0,38.97,0.2609,-1.3449,0.9863,-0.1122,2026-05-19 08:00
波动状态,高波动扩张,3,213,中强,23.94,38.03,61.97,13.15,11.27,30.52,-0.3422,-3.4192,0.8795,-0.1864,2026-05-19 08:00
波动状态,高波动扩张,5,213,强,33.33,33.33,66.67,13.62,29.11,22.07,-2.1591,-5.6244,0.819,-0.2171,2026-05-19 08:00
