kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,73.68,38,-86.7323,-18.0823,0,13.16,86.84,0,42.11,52.63,47.37,0.7444,-3.1265
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,77.78,36,-86.2629,-17.8286,0,11.11,88.89,0,22.22,47.22,52.78,2.1862,-9.7188
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,100,34,-85.5172,-17.1199,0,0,100,0,14.71,58.82,41.18,3.3001,-16.4174
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,100,29,-84.0654,-14.8599,0,0,100,0,0,75.86,24.14,6.1574,-32.4882
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,50,4,-54.2459,-2.6048,17.16,75,25,0,50,75,25,-0.0889,-4.0724
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,28,25,-41.252,-1.9418,27,36,64,0,40,56,44,0.0927,-3.1792
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,11.12,9,-4.7425,-0.159,53.47,44.44,55.56,22.22,55.56,33.33,66.67,0.0273,-2.5596
中值,middle,短期拉伸/回归,中值下侧极端,3,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,0,4,-54.2459,-2.6048,17.16,50,50,0,25,50,50,-0.2018,-6.9318
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,30.44,23,-41.3391,-1.9418,27,34.78,65.22,0,26.09,43.48,56.52,0.2079,-8.9962
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,55.56,9,-4.7425,-0.159,53.47,22.22,77.78,11.11,22.22,55.56,44.44,0.3454,-12.8041
中值,middle,短期拉伸/回归,中值下侧极端,5,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,100,4,-54.2459,-2.6048,17.16,100,0,0,0,50,50,-0.3495,-12.1128
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,4.76,21,-41.3391,-1.9418,27,47.62,52.38,0,19.05,47.62,52.38,0.1783,-13.5726
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,55.56,9,-4.7425,-0.159,53.47,22.22,77.78,11.11,22.22,88.89,11.11,0.6127,-24.9684
中值,middle,短期拉伸/回归,中值下侧极端,10,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,100,4,-54.2459,-2.6048,17.16,100,0,0,0,25,75,-0.7409,-11.6261
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,62.5,16,-38.6912,-1.8076,28.99,18.75,81.25,0,0,75,25,0.7279,-32.932
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,77.78,9,-4.7425,-0.159,53.47,11.11,88.89,11.11,11.11,100,0,1.2768,-40.9712
