component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,643,强,30.95,34.53,65.47,1.87,0,31.26,-0.4147,-1.4056,0.9228,-0.1756,2026-05-30 08:00
波动状态,波动压缩,3,642,中强,19,40.5,59.5,10.75,5.14,38.94,-0.0523,-1.888,0.9985,-0.1207,2026-05-29 16:00
波动状态,波动压缩,5,641,弱,7.64,46.18,53.82,16.38,13.26,43.84,1.6885,-0.6773,1.0554,-0.0593,2026-05-29 00:00
波动状态,波动压缩,10,639,弱,6.42,53.21,46.79,26.92,20.03,40.69,4.9304,1.1008,1.0245,-0.0932,2026-05-26 16:00
波动状态,常态波动,1,767,强,27.25,36.38,63.62,2.48,0,33.77,-0.2542,-0.9331,0.9462,-0.1635,2026-05-28 16:00
波动状态,常态波动,3,767,中强,19.43,40.29,59.71,10.43,6.52,36.77,0.1206,-1.8096,0.9599,-0.1498,2026-05-28 16:00
波动状态,常态波动,5,767,中强,20.99,39.5,60.5,15.78,18.51,35.2,0.0644,-2.2339,0.9662,-0.1562,2026-05-28 16:00
波动状态,常态波动,10,766,中强,19.58,40.21,59.79,21.28,28.07,37.21,0.8943,-3.0669,0.9803,-0.1242,2026-05-20 08:00
波动状态,低波动启动,1,866,中,12.01,56,44,5.66,0,49.19,1.4572,0.584,1.1257,-0.0112,2026-05-30 00:00
波动状态,低波动启动,3,865,中,8.67,54.34,45.66,16.88,2.43,44.05,3.4295,1.0068,1.0783,-0.0575,2026-05-29 08:00
波动状态,低波动启动,5,864,中,12.96,56.48,43.52,24.88,9.38,41.78,5.1084,1.6181,1.0436,-0.0853,2026-05-28 00:00
波动状态,低波动启动,10,862,中强,17.4,58.7,41.3,34.45,15.2,41.53,8.4805,3.3179,1.05,-0.0923,2026-05-27 08:00
波动状态,高波动扩张,1,647,弱,6.34,53.17,46.83,7.26,2.32,44.98,1.0945,0.5071,1.0782,-0.0655,2026-04-29 16:00
波动状态,高波动扩张,3,647,弱,2.63,48.69,51.31,19.78,11.13,35.55,2.1542,-0.4138,1.0071,-0.1446,2026-04-29 16:00
波动状态,高波动扩张,5,647,中,13.76,43.12,56.88,21.79,21.02,31.22,1.6465,-2.1157,0.9349,-0.1965,2026-04-29 16:00
波动状态,高波动扩张,10,647,中强,22.1,38.95,61.05,24.57,37.4,33.08,0.1158,-5.0715,0.9495,-0.1683,2026-04-29 16:00
波动状态,高波动冷却,1,843,强,44.72,27.64,72.36,1.54,0,23.49,-1.1939,-1.9911,0.8307,-0.2694,2026-04-30 00:00
