component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,187,中,12.3,43.85,56.15,9.63,0.53,31.55,0.8551,-1.049,0.9515,-0.16,2026-05-24
波动超额状态,接近一倍ATR,3,187,中强,18.72,40.64,59.36,17.11,19.25,29.95,1.0769,-3.5631,0.8891,-0.2375,2026-05-24
波动超额状态,接近一倍ATR,5,187,中强,18.72,40.64,59.36,22.46,28.88,27.27,2.371,-2.6714,0.882,-0.2307,2026-05-24
波动超额状态,接近一倍ATR,10,185,中强,16.76,41.62,58.38,27.03,38.38,28.65,3.5714,-4.1121,0.9223,-0.2576,2026-05-17
波动超额状态,振幅未满ATR,1,362,强,45.3,27.35,72.65,4.7,1.1,18.78,-1.4331,-3.01,0.74,-0.3535,2026-05-31
波动超额状态,振幅未满ATR,3,360,强,41.67,29.17,70.83,10.56,27.5,25.56,-2.8156,-5.3826,0.8686,-0.2835,2026-05-29
波动超额状态,振幅未满ATR,5,358,强,39.11,30.45,69.55,15.36,39.66,29.05,-2.6811,-6.2831,0.9055,-0.2609,2026-05-26
波动超额状态,振幅未满ATR,10,356,强,29.78,35.11,64.89,19.94,44.66,29.49,0.6893,-7.359,0.9047,-0.2618,2026-05-21
波动超额状态,振幅已超ATR,1,116,样本偏少,8.62,54.31,45.69,18.97,3.45,57.76,5.199,0.6633,1.3731,0.1166,2026-05-27
波动超额状态,振幅已超ATR,3,116,样本偏少,12.07,56.03,43.97,31.9,13.79,37.93,14.6866,2.3341,1.0686,-0.1384,2026-05-27
波动超额状态,振幅已超ATR,5,116,样本偏少,10.34,55.17,44.83,37.93,24.14,31.9,17.8502,2.3677,0.9695,-0.2003,2026-05-27
波动超额状态,振幅已超ATR,10,115,样本偏少,9.57,54.78,45.22,37.39,29.57,26.09,22.0444,0.9578,0.8984,-0.2028,2026-05-22
波动状态,波动压缩,1,212,强,42.45,28.77,71.23,4.72,0.0,21.23,-1.2306,-3.0591,0.7747,-0.306,2026-05-30
波动状态,波动压缩,3,211,强,37.44,31.28,68.72,9.95,22.75,30.33,-2.2193,-4.4984,0.9554,-0.2342,2026-05-29
波动状态,波动压缩,5,209,强,35.89,32.06,67.94,16.27,33.01,36.36,-1.483,-5.7072,1.0208,-0.1659,2026-05-26
波动状态,波动压缩,10,207,中,8.21,45.89,54.11,26.57,33.33,39.13,8.3355,-2.7258,1.0117,-0.1659,2026-05-21
波动状态,常态波动,1,90,样本偏少,37.78,31.11,68.89,6.67,1.11,23.33,-1.0242,-3.0106,0.8188,-0.2427,2026-05-31
波动状态,常态波动,3,89,样本偏少,41.57,29.21,70.79,10.11,23.6,25.84,-2.5048,-4.0609,0.8157,-0.2504,2026-05-15
波动状态,常态波动,5,89,样本偏少,50.56,24.72,75.28,10.11,41.57,21.35,-4.0181,-7.0558,0.795,-0.3126,2026-05-15
波动状态,常态波动,10,89,样本偏少,52.81,23.6,76.4,8.99,52.81,25.84,-7.8118,-12.0202,0.8447,-0.2593,2026-05-15
波动状态,低波动启动,1,207,弱,3.38,51.69,48.31,14.98,0.97,52.17,3.7727,0.2061,1.2528,0.0207,2026-05-27
波动状态,低波动启动,3,207,中强,15.94,57.97,42.03,28.02,12.08,39.61,10.5057,3.0197,1.0476,-0.1391,2026-05-27
波动状态,低波动启动,5,207,中强,15.94,57.97,42.03,36.23,16.43,33.33,14.5887,2.6408,0.9727,-0.1771,2026-05-27
波动状态,低波动启动,10,204,中,13.73,56.86,43.14,39.71,25.98,28.92,19.2504,3.7353,0.9552,-0.1883,2026-05-22
波动状态,高波动扩张,1,44,样本偏少,22.73,38.64,61.36,13.64,6.82,18.18,-0.1341,-2.2477,0.8108,-0.2358,2026-04-22
波动状态,高波动扩张,3,44,样本偏少,68.18,15.91,84.09,11.36,36.36,11.36,-4.1608,-7.7017,0.6983,-0.3492,2026-04-22
波动状态,高波动扩张,5,44,样本偏少,59.09,20.45,79.55,13.64,59.09,20.45,-6.1801,-10.8741,0.7855,-0.2887,2026-04-22
波动状态,高波动扩张,10,44,样本偏少,50.0,25.0,75.0,13.64,63.64,11.36,-7.987,-14.9488,0.6966,-0.3625,2026-04-22
波动状态,高波动冷却,1,112,样本偏少,44.64,27.68,72.32,3.57,2.68,10.71,-1.5872,-2.7662,0.6443,-0.4345,2026-04-28
波动状态,高波动冷却,3,112,样本偏少,51.79,24.11,75.89,12.5,36.61,16.07,-3.6517,-6.494,0.7246,-0.3749,2026-04-28
波动状态,高波动冷却,5,112,样本偏少,44.64,27.68,72.32,15.18,51.79,16.96,-4.6984,-10.6118,0.7282,-0.3784,2026-04-28
