component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1460,强,35.75,32.12,67.88,2.19,0,31.44,-0.5208,-1.3664,0.9119,-0.1794,2026-05-30 12:00
波动状态,波动压缩,3,1460,强,27.12,36.44,63.56,10.68,5.34,34.93,-0.1638,-2.556,0.9679,-0.1498,2026-05-30 12:00
波动状态,波动压缩,5,1458,中强,18.93,40.53,59.47,18.04,18.11,37.86,0.9681,-2.7423,1.0031,-0.1341,2026-05-29 20:00
波动状态,波动压缩,10,1457,弱,7.62,46.19,53.81,26.49,29.03,40.63,3.6908,-1.7065,1.0283,-0.1092,2026-05-29 04:00
波动状态,常态波动,1,805,中强,22.73,38.63,61.37,2.36,0,32.05,-0.3024,-1.0837,0.9246,-0.1885,2026-05-30 04:00
波动状态,常态波动,3,805,中强,24.97,37.52,62.48,7.95,7.2,32.42,-0.7832,-2.712,0.9349,-0.1758,2026-05-30 04:00
波动状态,常态波动,5,805,强,27.95,36.02,63.98,13.42,19.25,32.67,-1.1747,-3.4644,0.9289,-0.1825,2026-05-30 04:00
波动状态,常态波动,10,803,强,25.03,37.48,62.52,20.92,38.36,35.49,-1.2462,-6.1277,0.9569,-0.1676,2026-05-29 08:00
波动状态,低波动启动,1,1585,弱,5.62,52.81,47.19,5.93,0.06,45.55,1.4261,0.2562,1.1106,-0.0513,2026-05-30 20:00
波动状态,低波动启动,3,1583,弱,5.5,52.75,47.25,18,3.54,43.21,3.5783,0.4278,1.0731,-0.0782,2026-05-30 00:00
波动状态,低波动启动,5,1583,弱,6.89,53.44,46.56,24.01,10.68,40.56,5.1176,1.1122,1.043,-0.0962,2026-05-30 00:00
波动状态,低波动启动,10,1581,中,14.23,57.12,42.88,35.93,20.68,37.63,10.1636,2.4354,1.0231,-0.1331,2026-05-28 12:00
波动状态,高波动扩张,1,543,弱,3.13,51.57,48.43,8.84,2.76,44.38,1.1643,0.2058,1.0894,-0.0789,2026-04-25 04:00
波动状态,高波动扩张,3,543,中,9.02,45.49,54.51,18.05,12.15,38.31,1.8554,-1.2396,1.0005,-0.1463,2026-04-25 04:00
波动状态,高波动扩张,5,543,中,13.81,43.09,56.91,22.1,21.18,33.7,2.2079,-2.4411,0.9665,-0.1952,2026-04-25 04:00
波动状态,高波动扩张,10,543,中强,23.76,38.12,61.88,22.84,39.41,26.89,0.7223,-5.3188,0.8618,-0.2561,2026-04-25 04:00
波动状态,高波动冷却,1,742,强,54.18,22.91,77.09,1.08,0,19.41,-1.597,-2.2322,0.7743,-0.3291,2026-04-26 00:00
波动状态,高波动冷却,3,742,强,57.68,21.16,78.84,3.77,17.12,21.56,-4.0915,-5.6867,0.797,-0.2993,2026-04-26 00:00
波动状态,高波动冷却,5,742,强,58.76,20.62,79.38,7.14,41.37,24.39,-6.0803,-7.8674,0.8228,-0.2811,2026-04-26 00:00
波动状态,高波动冷却,10,742,强,62.53,18.73,81.27,9.3,61.73,26.82,-10.6885,-13.8323,0.8609,-0.2475,2026-04-26 00:00
短ATR状态,短ATR降温,1,2082,强,36.89,31.56,68.44,1.83,0,28.19,-0.7746,-1.5726,0.8751,-0.2222,2026-05-30 20:00
短ATR状态,短ATR降温,3,2080,强,35.48,32.26,67.74,9.18,8.41,31.63,-1.3255,-3.3739,0.9254,-0.181,2026-05-30 12:00
短ATR状态,短ATR降温,5,2079,强,29.39,35.31,64.69,14.72,23.23,33.57,-1.3637,-4.2939,0.9445,-0.1734,2026-05-25 08:00
