date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 08:00,0.0,波动状态,低波动启动,66.35,1,730,弱,4.66,47.67,52.33,8.9,0.0,48.63,2.2777,-0.2292,1.1823,-0.0156
2026-06-02 08:00,0.0,波动状态,低波动启动,66.35,3,728,弱,4.95,52.47,47.53,23.21,4.4,44.51,5.5266,0.541,1.1101,-0.0663
2026-06-02 08:00,0.0,波动状态,低波动启动,66.35,5,727,弱,5.09,52.54,47.46,30.54,11.69,40.17,9.1901,1.5009,1.0878,-0.1068
2026-06-02 08:00,0.0,波动状态,低波动启动,66.35,10,726,中,12.67,56.34,43.66,39.39,21.63,37.19,16.4366,3.0363,1.023,-0.1296
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,1,516,弱,0.39,49.81,50.19,10.47,0.0,46.9,2.4097,-0.0239,1.1851,-0.0275
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,3,516,弱,6.59,53.29,46.71,26.36,9.5,39.34,6.2177,0.9255,1.0983,-0.0876
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,5,516,弱,0.78,49.61,50.39,32.56,18.8,34.3,9.1051,-0.0589,1.0131,-0.1347
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,10,516,弱,2.71,48.64,51.36,34.88,31.78,29.65,16.4314,-0.5043,0.929,-0.1949
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,72.41,1,529,弱,4.73,47.64,52.36,11.15,0.0,48.39,2.7721,-0.2316,1.2088,-0.023
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,72.41,3,527,弱,6.26,53.13,46.87,25.62,5.69,44.78,6.6372,1.1631,1.148,-0.053
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,72.41,5,526,弱,5.32,52.66,47.34,30.99,14.26,38.02,9.5703,1.5374,1.0524,-0.1127
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,72.41,10,526,弱,0.38,50.19,49.81,34.98,26.81,32.7,15.6735,0.0695,0.978,-0.1684
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,1,989,强,42.16,28.92,71.08,5.56,0.1,27.3,-0.4022,-2.4803,0.8775,-0.2365
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,3,989,强,35.89,32.05,67.95,11.22,19.41,28.41,-1.1172,-4.7408,0.8949,-0.2351
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,5,988,强,36.84,31.58,68.42,15.28,35.32,29.05,-1.4961,-6.0023,0.9019,-0.2275
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,10,983,强,33.67,33.16,66.84,20.35,46.39,31.94,-1.7412,-8.2524,0.932,-0.1988
2026-06-02 08:00,0.0,量能状态,放量,36.63,1,375,弱,0.27,50.13,49.87,12.0,0.0,55.73,3.4063,0.0047,1.2922,0.0629
2026-06-02 08:00,0.0,量能状态,放量,36.63,3,374,中强,21.39,60.7,39.3,32.35,4.55,48.66,9.0108,3.3499,1.1776,-0.0127
2026-06-02 08:00,0.0,量能状态,放量,36.63,5,374,中强,19.79,59.89,40.11,37.7,12.83,38.77,12.933,4.1732,1.0918,-0.1147
2026-06-02 08:00,0.0,量能状态,放量,36.63,10,374,中,10.7,55.35,44.65,41.18,24.6,32.62,20.099,3.2785,0.9714,-0.1437
