component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,465,强,39.35,30.32,69.68,2.37,0,27.74,-0.8036,-1.7718,0.8591,-0.28,2026-05-28
波动状态,波动压缩,3,464,强,27.16,36.42,63.58,10.34,10.56,35.99,-0.4653,-3.1145,0.9727,-0.185,2026-05-26
波动状态,波动压缩,5,462,强,25.11,37.45,62.55,14.5,24.03,36.15,-0.3688,-3.3184,0.9604,-0.1457,2026-05-24
波动状态,波动压缩,10,459,中强,17.65,41.18,58.82,24.18,32.9,40.96,2.7109,-3.417,1.0384,-0.128,2026-05-19
波动状态,常态波动,1,315,中强,19.37,40.32,59.68,1.59,0,29.21,-0.6101,-0.9377,0.85,-0.2608,2026-04-04
波动状态,常态波动,3,315,强,34.6,32.7,67.3,10.16,10.48,32.7,-1.1998,-3.9972,0.907,-0.211,2026-04-04
波动状态,常态波动,5,315,强,31.43,34.29,65.71,13.97,31.11,32.7,-1.9011,-4.7685,0.8913,-0.2199,2026-04-04
波动状态,常态波动,10,315,强,37.14,31.43,68.57,18.1,43.49,29.52,-4.8022,-7.5386,0.8838,-0.2248,2026-04-04
波动状态,低波动启动,1,621,中,9.18,54.59,45.41,8.7,1.61,45.73,1.5082,0.5357,1.1148,-0.0399,2026-05-27
波动状态,低波动启动,3,620,弱,5.48,52.74,47.26,17.1,5.65,40.48,3.2744,0.4861,1.0347,-0.1128,2026-05-23
波动状态,低波动启动,5,620,中,8.39,54.19,45.81,25.81,13.23,40.32,5.4293,1.1566,1.0616,-0.1224,2026-05-23
波动状态,低波动启动,10,618,中,10.36,55.18,44.82,34.79,21.52,38.19,9.3072,2.4754,1.0016,-0.1338,2026-05-17
波动状态,高波动扩张,1,100,样本偏少,2,51,49,15,13,45,1.3501,0.2325,1.1699,-0.1143,2026-02-05
波动状态,高波动扩张,3,100,样本偏少,18,41,59,17,19,22,0.047,-2.6527,0.8594,-0.2446,2026-02-05
波动状态,高波动扩张,5,100,样本偏少,36,32,68,18,38,18,-2.4561,-5.4555,0.8012,-0.2617,2026-02-05
波动状态,高波动扩张,10,100,样本偏少,38,31,69,20,55,20,-7.4574,-12.7524,0.7952,-0.2623,2026-02-05
波动状态,高波动冷却,1,115,样本偏少,60,20,80,0,0,9.57,-2.3944,-2.4138,0.6718,-0.3935,2026-02-09
波动状态,高波动冷却,3,115,样本偏少,63.48,18.26,81.74,5.22,34.78,14.78,-5.2728,-7.3721,0.7649,-0.3375,2026-02-09
波动状态,高波动冷却,5,115,样本偏少,58.26,20.87,79.13,8.7,56.52,19.13,-7.1246,-11.0011,0.7684,-0.3264,2026-02-09
波动状态,高波动冷却,10,115,样本偏少,56.52,21.74,78.26,14.78,70.43,20,-11.4008,-16.3043,0.8307,-0.305,2026-02-09
短ATR状态,短ATR降温,1,750,强,32.8,33.6,66.4,2.8,0.4,26.8,-0.6261,-1.5932,0.856,-0.2788,2026-05-28
短ATR状态,短ATR降温,3,749,强,28.44,35.78,64.22,10.95,12.95,32.84,-0.7925,-3.6025,0.9323,-0.2098,2026-05-26
短ATR状态,短ATR降温,5,747,强,26.64,36.68,63.32,14.99,28.92,35.07,-0.6547,-4.197,0.9471,-0.1688,2026-05-21
短ATR状态,短ATR降温,10,745,中强,19.46,40.27,59.73,23.22,37.05,37.99,0.3185,-4.0532,0.9885,-0.1613,2026-05-19
短ATR状态,短ATR升温,1,309,中,11.97,55.99,44.01,13.27,3.24,51.46,2.0923,0.6974,1.2203,0.0093,2026-05-15
短ATR状态,短ATR升温,3,309,中,11.97,55.99,44.01,22.33,6.15,43.04,4.3308,1.5105,1.0669,-0.0885,2026-05-15
短ATR状态,短ATR升温,5,309,中,11.33,55.66,44.34,29.77,13.59,40.13,5.9286,2.3839,1.0413,-0.1038,2026-05-15
短ATR状态,短ATR升温,10,309,中,8.74,54.37,45.63,38.51,24.6,32.69,6.732,2.4634,0.9078,-0.1966,2026-05-15
短ATR状态,短ATR中性,1,557,中,8.08,45.96,54.04,4.13,1.8,36.09,0.0958,-0.4597,0.9599,-0.1587,2026-05-27
短ATR状态,短ATR中性,3,556,中强,20.86,39.57,60.43,10.43,10.79,32.55,0.1618,-2.3908,0.9434,-0.2078,2026-05-24
短ATR状态,短ATR中性,5,556,中强,18.35,40.83,59.17,17.09,24.46,31.29,0.3401,-2.7038,0.9387,-0.2237,2026-05-24
短ATR状态,短ATR中性,10,553,中强,21.52,39.24,60.76,23.15,37.07,31.83,2.0056,-5.3993,0.9622,-0.1973,2026-05-18
量能状态,放量,1,258,中强,16.28,58.14,41.86,14.34,4.65,67.05,2.4355,1.3651,1.3911,0.1696,2026-05-11
量能状态,放量,3,258,中强,16.28,58.14,41.86,24.42,5.04,44.57,5.2602,1.8908,1.1045,-0.0676,2026-05-11
量能状态,放量,5,258,中强,24.81,62.4,37.6,31.78,11.63,43.02,7.7645,3.7153,1.094,-0.0889,2026-05-11
量能状态,放量,10,258,强,27.13,63.57,36.43,41.47,20.16,37.6,10.829,5.5196,0.9625,-0.1217,2026-05-11
量能状态,量能正常,1,588,弱,4.76,47.62,52.38,5.44,1.7,35.37,0.4175,-0.2487,0.9611,-0.1557,2026-05-28
量能状态,量能正常,3,586,中,10.58,44.71,55.29,11.95,8.36,37.03,1.1341,-1.4991,0.9859,-0.162,2026-05-22
量能状态,量能正常,5,586,中,11.26,44.37,55.63,18.6,20.14,36.52,1.7305,-1.7329,0.9861,-0.1761,2026-05-22
量能状态,量能正常,10,585,中,9.74,45.13,54.87,27.18,30.6,36.07,4.7791,-2.6589,1.0051,-0.162,2026-05-17
