kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,60.0,30,-57.1227,-5.2248,0.0,20.0,80.0,0.0,33.33,40.0,60.0,0.2283,-1.7638
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,0.0,2,-33.5851,-2.1467,75.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0883,-0.1666
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,64.28,28,-55.5838,-5.1224,0.0,17.86,82.14,0.0,39.29,46.43,53.57,0.6589,-4.877
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100.0,2,-33.5851,-2.1467,75.0,0.0,100.0,0.0,0.0,50.0,50.0,0.5624,-8.4396
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,100.0,26,-55.2563,-4.8042,0.0,0.0,100.0,0.0,42.31,34.62,65.38,1.0139,-7.0196
233MA,ma233,大周期天气过滤,233MA下侧偏离,5,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100.0,2,-33.5851,-2.1467,75.0,0.0,100.0,0.0,0.0,100.0,0.0,1.2193,-19.6549
233MA,ma233,大周期天气过滤,233MA下侧极端,10,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,100.0,21,-50.2928,-4.2367,0.0,0.0,100.0,0.0,14.29,42.86,57.14,1.878,-14.7672
233MA,ma233,大周期天气过滤,233MA下侧偏离,10,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,样本偏少,100.0,2,-33.5851,-2.1467,75.0,0.0,100.0,0.0,0.0,50.0,50.0,1.8337,-21.3238
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,22.58,31,-24.9376,-1.3841,31.16,38.71,61.29,0.0,35.48,38.71,61.29,0.0485,-1.5866
中值,middle,短期拉伸/回归,中值贴近中轴,1,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100.0,1,-6.5353,-0.3092,48.22,0.0,100.0,0.0,0.0,100.0,0.0,0.1955,-4.0637
中值,middle,短期拉伸/回归,中值下侧偏离,3,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,10.34,29,-24.9376,-1.3744,31.32,44.83,55.17,0.0,37.93,44.83,55.17,0.0899,-4.7587
中值,middle,短期拉伸/回归,中值贴近中轴,3,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100.0,1,-6.5353,-0.3092,48.22,0.0,100.0,0.0,0.0,100.0,0.0,0.7532,-15.4345
中值,middle,短期拉伸/回归,中值下侧偏离,5,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,3.7,27,-25.1135,-1.3841,31.16,48.15,51.85,0.0,40.74,37.04,62.96,0.0305,-7.5244
中值,middle,短期拉伸/回归,中值贴近中轴,5,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100.0,1,-6.5353,-0.3092,48.22,0.0,100.0,0.0,0.0,100.0,0.0,0.9636,-18.6588
中值,middle,短期拉伸/回归,中值下侧偏离,10,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,36.36,22,-26.8019,-1.4239,30.53,31.82,68.18,0.0,13.64,45.45,54.55,0.2356,-15.3346
中值,middle,短期拉伸/回归,中值贴近中轴,10,短期贴近中轴,方向信息弱,不做均值回归依据，更多看波动是否扩张,贴近中轴时继续拉伸概率通常更高,样本偏少,100.0,1,-6.5353,-0.3092,48.22,0.0,100.0,0.0,0.0,0.0,100.0,0.6404,-15.3964
