date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-24,0.0,波动状态,波动压缩,42.18,1,7,样本偏少,42.86,28.57,71.43,14.29,0.0,0.0,-1.9561,-3.7399,0.5414,-0.4964
2026-05-24,0.0,波动状态,波动压缩,42.18,3,6,样本偏少,0.0,50.0,50.0,16.67,33.33,0.0,-2.7235,-0.7698,0.5382,-0.5241
2026-05-24,0.0,波动状态,波动压缩,42.18,5,4,样本偏少,50.0,25.0,75.0,0.0,50.0,0.0,-9.6167,-10.2662,0.6006,-0.4555
2026-05-24,0.0,波动状态,波动压缩,42.18,10,1,样本偏少,100.0,0.0,100.0,0.0,0.0,100.0,-6.69,-6.69,1.2035,0.2035
2026-05-24,0.0,短ATR状态,短ATR降温,100.0,1,31,样本偏少,16.13,41.94,58.06,6.45,6.45,9.68,-0.4565,-0.3588,0.625,-0.4082
2026-05-24,0.0,短ATR状态,短ATR降温,100.0,3,29,样本偏少,3.45,48.28,51.72,20.69,37.93,10.34,-1.3005,-1.0499,0.6181,-0.4082
2026-05-24,0.0,短ATR状态,短ATR降温,100.0,5,27,样本偏少,25.93,37.04,62.96,18.52,40.74,11.11,-3.7901,-8.6267,0.612,-0.4456
2026-05-24,0.0,短ATR状态,短ATR降温,100.0,10,22,样本偏少,18.18,40.91,59.09,22.73,36.36,13.64,-7.5462,-5.724,0.6232,-0.4513
2026-05-24,0.0,波动超额状态,振幅未满ATR,45.99,1,24,样本偏少,25.0,37.5,62.5,8.33,8.33,8.33,-1.1243,-2.1723,0.6075,-0.4136
2026-05-24,0.0,波动超额状态,振幅未满ATR,45.99,3,23,样本偏少,30.43,34.78,65.22,17.39,47.83,8.7,-3.81,-8.659,0.6203,-0.4456
2026-05-24,0.0,波动超额状态,振幅未满ATR,45.99,5,21,样本偏少,42.86,28.57,71.43,9.52,52.38,9.52,-7.8512,-12.224,0.5894,-0.457
2026-05-24,0.0,波动超额状态,振幅未满ATR,45.99,10,16,样本偏少,12.5,43.75,56.25,18.75,31.25,18.75,-7.8952,-4.2513,0.6625,-0.4523
2026-05-24,0.0,趋势状态,强趋势下行,100.0,1,31,样本偏少,22.58,38.71,61.29,3.23,6.45,9.68,-1.0761,-1.4703,0.6102,-0.4191
2026-05-24,0.0,趋势状态,强趋势下行,100.0,3,29,样本偏少,10.34,44.83,55.17,20.69,37.93,10.34,-1.8529,-2.4825,0.6326,-0.3917
2026-05-24,0.0,趋势状态,强趋势下行,100.0,5,28,样本偏少,21.43,39.29,60.71,21.43,39.29,10.71,-3.2816,-8.0662,0.6172,-0.4269
2026-05-24,0.0,趋势状态,强趋势下行,100.0,10,23,样本偏少,13.04,43.48,56.52,21.74,34.78,13.04,-7.1243,-5.0453,0.6067,-0.457
2026-05-24,0.0,量能状态,缩量,42.66,1,25,样本偏少,12.0,44.0,56.0,4.0,8.0,12.0,-0.7079,-0.3588,0.5981,-0.4456
2026-05-24,0.0,量能状态,缩量,42.66,3,23,样本偏少,21.74,39.13,60.87,17.39,47.83,8.7,-3.7805,-3.0074,0.6047,-0.4456
2026-05-24,0.0,量能状态,缩量,42.66,5,22,样本偏少,36.36,31.82,68.18,18.18,50.0,13.64,-5.6326,-10.7783,0.6097,-0.4513
2026-05-24,0.0,量能状态,缩量,42.66,10,17,样本偏少,5.88,47.06,52.94,23.53,41.18,11.76,-8.1768,-6.69,0.5959,-0.5452
