component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,698,强,44.99,27.51,72.49,2.01,0,28.08,-0.8345,-1.7136,0.8708,-0.2319,2026-05-30 08:00
波动状态,波动压缩,3,697,强,26.26,36.87,63.13,9.61,6.6,38.59,-0.5213,-2.4691,0.9738,-0.172,2026-05-29 00:00
波动状态,波动压缩,5,697,中强,18.79,40.6,59.4,15.21,18.36,40.03,0.7847,-2.3215,1.0354,-0.1365,2026-05-29 00:00
波动状态,波动压缩,10,695,弱,5.32,47.34,52.66,29.21,25.32,43.17,5.2903,-0.9021,1.0633,-0.0973,2026-05-27 08:00
波动状态,常态波动,1,762,强,26.51,36.75,63.25,2.23,0,33.33,-0.1361,-1.0328,0.9405,-0.1727,2026-05-18 16:00
波动状态,常态波动,3,762,中强,23.88,38.06,61.94,10.76,7.74,32.55,-0.0463,-2.14,0.9467,-0.1747,2026-05-18 16:00
波动状态,常态波动,5,762,中强,17.59,41.21,58.79,18.5,19.95,36.48,0.8584,-2.3506,1.0089,-0.1411,2026-05-18 16:00
波动状态,常态波动,10,762,中强,17.06,41.47,58.53,24.41,34.12,37.8,2.0741,-4.1924,0.9843,-0.1275,2026-05-18 16:00
波动状态,低波动启动,1,841,中,10.11,55.05,44.95,6.78,0,51.61,1.6817,0.4751,1.1659,0.0238,2026-05-30 00:00
波动状态,低波动启动,3,840,中,14.05,57.02,42.98,20.71,1.79,46.67,4.2369,1.2998,1.1231,-0.0307,2026-05-29 16:00
波动状态,低波动启动,5,838,中,12.17,56.09,43.91,28.16,10.14,42,5.7058,1.3758,1.0276,-0.0958,2026-05-28 16:00
波动状态,低波动启动,10,835,中强,16.41,58.2,41.8,38.08,21.32,40.72,9.5796,3.7096,1.0366,-0.1246,2026-05-26 08:00
波动状态,高波动扩张,1,691,弱,2.75,51.37,48.63,7.09,1.01,43.56,1.1672,0.2094,1.1151,-0.0436,2026-03-04 08:00
波动状态,高波动扩张,3,691,弱,7.38,46.31,53.69,18.09,8.1,37.77,2.1333,-0.8839,1.0103,-0.133,2026-03-04 08:00
波动状态,高波动扩张,5,691,中,14.33,42.84,57.16,22.72,21.27,33.43,2.1131,-2.1109,0.9567,-0.1801,2026-03-04 08:00
波动状态,高波动扩张,10,691,中强,23.59,38.21,61.79,24.75,37.34,29.67,0.7023,-5.0003,0.9188,-0.21,2026-03-04 08:00
波动状态,高波动冷却,1,774,强,49.35,25.32,74.68,1.16,0,24.55,-1.3454,-1.9914,0.8139,-0.2878,2026-03-11 00:00
