date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 08:00,0.0,波动状态,低波动启动,90.61,1,1822,弱,5.38,47.31,52.69,8.29,0.0,48.08,1.6943,-0.2983,1.1536,-0.021
2026-06-02 08:00,0.0,波动状态,低波动启动,90.61,3,1820,弱,2.97,51.48,48.52,21.15,4.18,42.86,3.8966,0.3237,1.0894,-0.0756
2026-06-02 08:00,0.0,波动状态,低波动启动,90.61,5,1819,弱,5.99,53.0,47.0,27.27,14.4,40.35,5.5226,0.7673,1.0412,-0.1196
2026-06-02 08:00,0.0,波动状态,低波动启动,90.61,10,1818,弱,7.04,53.52,46.48,34.71,23.98,38.78,9.3516,1.9537,1.0328,-0.1321
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,1,1322,弱,2.27,48.87,51.13,9.53,0.0,50.68,1.829,-0.1353,1.2005,0.006
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,3,1322,弱,0.61,50.3,49.7,20.95,5.45,42.44,3.773,0.089,1.0738,-0.0849
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,5,1322,弱,0.3,50.15,49.85,25.34,16.19,37.97,4.6973,0.0336,1.0127,-0.1339
2026-06-02 08:00,0.0,短ATR状态,短ATR升温,100.0,10,1322,弱,6.05,46.97,53.03,30.79,32.9,32.83,5.8898,-2.1592,0.9633,-0.1988
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,84.51,1,1247,弱,2.97,51.48,48.52,11.39,0.0,53.81,2.3216,0.2077,1.2538,0.0434
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,84.51,3,1246,中,11.24,55.62,44.38,25.84,3.37,46.23,5.5101,1.6387,1.146,-0.0401
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,84.51,5,1245,中,8.59,54.3,45.7,29.56,13.98,40.0,6.6524,1.2031,1.0302,-0.1143
2026-06-02 08:00,0.0,波动超额状态,振幅已超ATR,84.51,10,1245,弱,3.29,51.65,48.35,34.54,26.75,35.1,9.4379,1.1363,0.9924,-0.1762
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,1,1837,强,38.05,30.97,69.03,5.01,0.11,32.23,-0.2023,-2.0042,0.9276,-0.2094
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,3,1837,强,33.26,33.37,66.63,12.36,14.26,32.06,-0.4162,-4.0121,0.9245,-0.209
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,5,1837,强,33.15,33.42,66.58,15.9,31.03,32.06,-0.5266,-5.3672,0.9203,-0.22
2026-06-02 08:00,0.0,趋势状态,强趋势下行,100.0,10,1837,强,34.24,32.88,67.12,19.71,44.58,32.88,-1.2572,-7.6219,0.9372,-0.1954
2026-06-02 08:00,0.0,量能状态,放量,13.95,1,922,中,10.41,55.21,44.79,12.69,0.0,59.0,2.7078,0.5756,1.326,0.1149
2026-06-02 08:00,0.0,量能状态,放量,13.95,3,922,中强,22.56,61.28,38.72,30.48,2.39,50.87,7.1285,3.1513,1.2105,0.0086
2026-06-02 08:00,0.0,量能状态,放量,13.95,5,922,中强,19.74,59.87,40.13,35.03,10.2,43.6,9.0538,3.6006,1.0864,-0.0769
2026-06-02 08:00,0.0,量能状态,放量,13.95,10,922,中强,15.18,57.59,42.41,39.8,23.21,35.9,12.7368,4.5361,1.0052,-0.1835
