component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,687,中强,17.9,41.05,58.95,2.18,0,31.15,-0.3015,-0.8542,0.9089,-0.1729,2026-05-28
波动状态,波动压缩,3,686,中强,20.12,39.94,60.06,12.24,6.56,38.19,0.3955,-2.0124,0.9956,-0.119,2026-05-26
波动状态,波动压缩,5,684,中强,19.88,40.06,59.94,18.13,19.15,40.2,1.1034,-2.6993,1.0164,-0.1069,2026-05-24
波动状态,波动压缩,10,681,中,10.13,44.93,55.07,27.46,31.57,42.73,3.8158,-2.1735,1.0227,-0.0908,2026-05-19
波动状态,常态波动,1,225,中,11.11,44.44,55.56,3.11,1.78,30.22,-0.4756,-0.5376,0.8786,-0.2163,2026-04-05
波动状态,常态波动,3,225,强,32.44,33.78,66.22,8.89,16,32.44,-1.8264,-3.2879,0.9043,-0.1893,2026-04-05
波动状态,常态波动,5,225,强,40.44,29.78,70.22,12.89,29.33,29.78,-2.6947,-4.6498,0.9175,-0.1729,2026-04-05
波动状态,常态波动,10,225,强,55.56,22.22,77.78,13.33,54.22,28.44,-7.525,-11.7683,0.8959,-0.1683,2026-04-05
波动状态,低波动启动,1,661,中,8.02,54.01,45.99,10.29,3.78,51.89,1.2846,0.7372,1.166,0.0134,2026-05-27
波动状态,低波动启动,3,660,弱,0.3,49.85,50.15,19.39,9.7,45,3.2205,-0.0476,1.078,-0.0596,2026-05-23
波动状态,低波动启动,5,660,弱,2.73,51.36,48.64,24.09,15.76,43.48,4.959,0.5029,1.0596,-0.0808,2026-05-23
波动状态,低波动启动,10,658,中强,17.33,58.66,41.34,36.02,18.84,41.34,9.3348,3.005,1.0548,-0.0912,2026-05-17
波动状态,高波动扩张,1,79,样本偏少,13.92,43.04,56.96,17.72,18.99,34.18,0.9193,-3.4164,0.9578,-0.1137,2026-02-12
波动状态,高波动扩张,3,79,样本偏少,29.11,35.44,64.56,21.52,30.38,26.58,-0.0571,-3.6523,0.8655,-0.2003,2026-02-12
波动状态,高波动扩张,5,79,样本偏少,29.11,35.44,64.56,16.46,39.24,22.78,-2.6007,-4.6383,0.8354,-0.2399,2026-02-12
波动状态,高波动扩张,10,79,样本偏少,51.9,24.05,75.95,17.72,59.49,15.19,-9.7296,-15.8118,0.7481,-0.3086,2026-02-12
波动状态,高波动冷却,1,184,强,39.13,30.43,69.57,1.09,4.35,14.67,-2.0119,-2.6391,0.7387,-0.3073,2026-02-13
波动状态,高波动冷却,3,184,强,56.52,21.74,78.26,8.7,37.5,13.59,-5.7382,-7.6142,0.7364,-0.3123,2026-02-13
波动状态,高波动冷却,5,184,强,58.7,20.65,79.35,8.7,54.35,15.76,-8.9081,-11.0012,0.7172,-0.3391,2026-02-13
