component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,7,样本偏少,14.29,42.86,57.14,0,0,28.57,-1.178,-2.6359,0.9202,-0.2565,2026-04-26
波动状态,波动压缩,3,7,样本偏少,14.29,57.14,42.86,42.86,14.29,85.71,7.6214,2.9789,1.3321,0.2528,2026-04-26
波动状态,波动压缩,5,6,样本偏少,66.67,83.33,16.67,66.67,0,16.67,30.7464,41.5451,0.9174,-0.3876,2026-01-11
波动状态,波动压缩,10,6,样本偏少,66.67,83.33,16.67,83.33,16.67,33.33,33.8477,26.6951,0.7767,-0.4431,2026-01-11
波动状态,常态波动,1,19,样本偏少,5.26,52.63,47.37,21.05,26.32,26.32,-0.8226,0.3234,0.8304,-0.1187,2026-05-10
波动状态,常态波动,3,17,样本偏少,5.88,52.94,47.06,29.41,29.41,23.53,3.3035,1.3476,0.8332,-0.1286,2026-01-18
波动状态,常态波动,5,17,样本偏少,17.65,41.18,58.82,23.53,47.06,35.29,0.9659,-9.0897,0.9109,-0.0992,2026-01-18
波动状态,常态波动,10,17,样本偏少,41.18,29.41,70.59,23.53,64.71,41.18,-9.0065,-17.8633,0.8686,-0.1286,2026-01-18
波动状态,低波动启动,1,11,样本偏少,27.27,63.64,36.36,45.45,9.09,72.73,5.8852,0.5825,1.1875,0.0706,2026-01-25
波动状态,低波动启动,3,11,样本偏少,27.27,63.64,36.36,45.45,18.18,45.45,10.3924,3.7639,0.8868,-0.2288,2026-01-25
波动状态,低波动启动,5,11,样本偏少,27.27,63.64,36.36,54.55,18.18,54.55,11.5275,22.9701,0.9259,0.0244,2026-01-25
波动状态,低波动启动,10,11,样本偏少,45.45,72.73,27.27,72.73,0,27.27,28.4464,19.1322,0.8837,-0.3195,2026-01-25
波动状态,高波动扩张,1,2,样本偏少,0,50,50,50,50,0,-0.7655,-0.7655,0.5553,-0.4447,2026-02-01
波动状态,高波动扩张,3,2,样本偏少,0,50,50,0,50,0,-10.3171,-10.3171,0.5596,-0.4404,2026-02-01
波动状态,高波动扩张,5,2,样本偏少,0,50,50,0,50,0,-17.6228,-17.6228,0.6145,-0.3856,2026-02-01
波动状态,高波动扩张,10,2,样本偏少,100,0,100,0,100,50,-23.5201,-23.5201,0.7812,-0.2188,2026-02-01
波动状态,高波动冷却,1,22,样本偏少,45.45,27.27,72.73,0,4.55,9.09,-2.686,-3.0898,0.5854,-0.4548,2026-04-19
波动状态,高波动冷却,3,22,样本偏少,90.91,4.55,95.45,0,54.55,9.09,-10.5954,-12.0619,0.6154,-0.4514,2026-04-19
波动状态,高波动冷却,5,21,样本偏少,90.48,4.76,95.24,4.76,85.71,14.29,-15.8781,-16.3084,0.6604,-0.4701,2026-04-12
波动状态,高波动冷却,10,16,样本偏少,37.5,31.25,68.75,25,68.75,12.5,-13.3852,-23.1031,0.7315,-0.2908,2026-03-08
短ATR状态,短ATR降温,1,33,样本偏少,27.27,36.36,63.64,6.06,15.15,15.15,-2.0495,-2.7365,0.6862,-0.3867,2026-05-10
