date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-24,81.89,波动状态,波动压缩,34.38,1,8,样本偏少,25.0,37.5,62.5,25.0,25.0,25.0,-0.1212,-3.3491,0.8597,-0.2699
2026-05-24,81.89,波动状态,波动压缩,34.38,3,7,样本偏少,42.86,71.43,28.57,57.14,14.29,85.71,24.3239,30.5099,1.3321,0.2528
2026-05-24,81.89,波动状态,波动压缩,34.38,5,6,样本偏少,66.67,83.33,16.67,83.33,16.67,16.67,33.9671,37.1685,0.9174,-0.3876
2026-05-24,81.89,波动状态,波动压缩,34.38,10,6,样本偏少,66.67,83.33,16.67,83.33,16.67,33.33,36.4289,34.8877,0.7767,-0.4431
2026-05-24,81.89,短ATR状态,短ATR降温,100.0,1,34,样本偏少,35.29,32.35,67.65,11.76,11.76,14.71,-0.838,-2.3327,0.6789,-0.4014
2026-05-24,81.89,短ATR状态,短ATR降温,100.0,3,32,样本偏少,31.25,34.38,65.63,18.75,37.5,15.63,-1.0612,-4.3392,0.6979,-0.4213
2026-05-24,81.89,短ATR状态,短ATR降温,100.0,5,30,样本偏少,40.0,30.0,70.0,20.0,53.33,16.67,-1.8618,-11.7414,0.7243,-0.302
2026-05-24,81.89,短ATR状态,短ATR降温,100.0,10,25,样本偏少,44.0,28.0,72.0,28.0,60.0,24.0,-8.8434,-18.127,0.7637,-0.3057
2026-05-24,81.89,波动超额状态,振幅未满ATR,46.95,1,40,样本偏少,35.0,32.5,67.5,10.0,17.5,15.0,-1.5838,-2.8687,0.6884,-0.4014
2026-05-24,81.89,波动超额状态,振幅未满ATR,46.95,3,38,样本偏少,36.84,31.58,68.42,18.42,39.47,23.68,-0.4286,-6.581,0.7676,-0.3649
2026-05-24,81.89,波动超额状态,振幅未满ATR,46.95,5,36,样本偏少,44.44,27.78,72.22,25.0,63.89,16.67,-2.295,-14.027,0.725,-0.3824
2026-05-24,81.89,波动超额状态,振幅未满ATR,46.95,10,31,样本偏少,16.13,41.94,58.06,38.71,54.84,19.35,-2.2572,-14.7372,0.7342,-0.3057
2026-05-24,81.89,趋势状态,强趋势下行,100.0,1,34,样本偏少,47.06,26.47,73.53,8.82,14.71,8.82,-2.5577,-3.777,0.6102,-0.4514
2026-05-24,81.89,趋势状态,强趋势下行,100.0,3,33,样本偏少,63.64,18.18,81.82,12.12,48.48,15.15,-5.9601,-9.1977,0.6449,-0.4279
2026-05-24,81.89,趋势状态,强趋势下行,100.0,5,32,样本偏少,62.5,18.75,81.25,15.63,75.0,12.5,-9.0773,-16.0235,0.6496,-0.4337
2026-05-24,81.89,趋势状态,强趋势下行,100.0,10,27,样本偏少,33.33,33.33,66.67,33.33,59.26,18.52,-9.4037,-20.4802,0.7284,-0.4161
2026-05-24,81.89,量能状态,缩量,42.43,1,31,样本偏少,41.94,29.03,70.97,6.45,16.13,9.68,-2.3891,-2.943,0.6149,-0.4396
2026-05-24,81.89,量能状态,缩量,42.43,3,29,样本偏少,58.62,20.69,79.31,13.79,44.83,17.24,-3.9311,-9.1114,0.6882,-0.4264
2026-05-24,81.89,量能状态,缩量,42.43,5,28,样本偏少,64.29,17.86,82.14,14.29,67.86,14.29,-7.1309,-15.6007,0.6669,-0.4447
2026-05-24,81.89,量能状态,缩量,42.43,10,24,样本偏少,25.0,37.5,62.5,37.5,62.5,8.33,-8.7394,-23.2151,0.6959,-0.3346
