component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1754,强,33.3,33.35,66.65,2.22,0,33.35,-0.393,-1.3843,0.9291,-0.1843,2026-05-30 16:00
波动状态,波动压缩,3,1752,中强,19.86,40.07,59.93,11.64,6.05,37.56,0.0328,-1.8472,0.9859,-0.1312,2026-05-30 08:00
波动状态,波动压缩,5,1750,中,8.46,45.77,54.23,18.8,16.86,38.74,1.1781,-1.0263,1.0196,-0.1169,2026-05-30 00:00
波动状态,波动压缩,10,1747,弱,5.09,52.55,47.45,30.05,22.55,44.71,3.8213,0.8139,1.0693,-0.0635,2026-05-29 04:00
波动状态,常态波动,1,1463,强,26.45,36.77,63.23,2.6,0,34.18,-0.2409,-1.1456,0.9552,-0.1633,2026-04-08 16:00
波动状态,常态波动,3,1463,中强,16.88,41.56,58.44,9.98,5.6,37.32,0.0091,-1.6405,0.9967,-0.136,2026-04-08 16:00
波动状态,常态波动,5,1463,中,13.47,43.27,56.73,14.49,15.58,38.76,0.2584,-1.6807,0.9902,-0.1275,2026-04-08 16:00
波动状态,常态波动,10,1463,中强,15.11,42.45,57.55,21.87,28.43,36.16,1.1141,-2.3495,0.9733,-0.1534,2026-04-08 16:00
波动状态,低波动启动,1,2048,弱,1.27,50.63,49.37,4.74,0,47.12,1.116,0.0682,1.1079,-0.0334,2026-05-29 16:00
波动状态,低波动启动,3,2048,弱,5.57,52.78,47.22,16.21,2.49,43.12,2.4478,0.5227,1.0485,-0.075,2026-05-29 16:00
波动状态,低波动启动,5,2048,弱,7.13,53.56,46.44,22.36,8.94,42.14,3.386,0.7475,1.0316,-0.0794,2026-05-29 16:00
波动状态,低波动启动,10,2046,中,14.27,57.14,42.86,33.68,17.5,38.17,6.4137,2.8971,1.0001,-0.115,2026-05-28 16:00
波动状态,高波动扩张,1,1177,弱,1.27,50.64,49.36,5.86,0.59,46.56,0.8388,0.0891,1.083,-0.0433,2026-03-06 12:00
波动状态,高波动扩张,3,1177,中,12.83,43.59,56.41,13.59,8.24,38.74,1.0405,-1.2136,1.0015,-0.1192,2026-03-06 12:00
波动状态,高波动扩张,5,1177,中,14.87,42.57,57.43,17.59,20.39,37.38,1.0258,-2.0107,0.9881,-0.1325,2026-03-06 12:00
波动状态,高波动扩张,10,1177,中强,23.53,38.23,61.77,21.67,37.81,32.03,-0.4865,-5.0013,0.9152,-0.1968,2026-03-06 12:00
波动状态,高波动冷却,1,1324,强,46.22,26.89,73.11,1.21,0,24.55,-1.1973,-1.9617,0.8331,-0.2564,2026-03-07 04:00
波动状态,高波动冷却,3,1324,强,51.51,24.24,75.76,7.4,12.31,28.7,-2.7561,-4.6542,0.8771,-0.241,2026-03-07 04:00
波动状态,高波动冷却,5,1324,强,47.43,26.28,73.72,8.76,33.76,28.25,-4.2381,-6.7407,0.8773,-0.2419,2026-03-07 04:00
波动状态,高波动冷却,10,1324,强,50.3,24.85,75.15,12.24,51.96,34.29,-6.8128,-10.6474,0.9452,-0.1654,2026-03-07 04:00
短ATR状态,短ATR降温,1,2600,强,37.54,31.23,68.77,1.92,0,29.31,-0.7019,-1.6669,0.886,-0.2326,2026-05-30 16:00
短ATR状态,短ATR降温,3,2598,强,30.56,34.72,65.28,9.85,8.74,34.33,-1.0143,-2.9428,0.955,-0.1768,2026-05-30 08:00
短ATR状态,短ATR降温,5,2597,中强,24.14,37.93,62.07,13.82,23.72,35.43,-1.1345,-3.3474,0.9648,-0.1636,2026-05-27 08:00
短ATR状态,短ATR降温,10,2597,中,13.98,43.01,56.99,23.45,31.38,39.35,0.7458,-2.6323,1.0195,-0.114,2026-05-27 08:00
短ATR状态,短ATR升温,1,2159,弱,1.62,49.19,50.81,5.6,0.28,45.9,0.9242,-0.0703,1.0929,-0.044,2026-05-29 16:00
短ATR状态,短ATR升温,3,2159,弱,0.79,49.61,50.39,15.52,4.68,43.08,2.1023,-0.1087,1.0509,-0.0653,2026-05-29 16:00
短ATR状态,短ATR升温,5,2159,弱,1.99,51,49,22,11.67,43.17,3.0719,0.2146,1.038,-0.0687,2026-05-29 16:00
短ATR状态,短ATR升温,10,2157,弱,0.32,50.16,49.84,28.98,25.13,36.3,3.4723,0.1165,0.9728,-0.1356,2026-05-28 16:00
短ATR状态,短ATR中性,1,3007,中强,17.66,41.17,58.83,2.93,0.03,38.91,0.1582,-0.7955,1.0012,-0.1178,2026-05-30 04:00
短ATR状态,短ATR中性,3,3007,中强,16.73,41.64,58.36,11.61,5.69,36.61,0.2513,-1.4839,0.972,-0.1443,2026-05-30 04:00
短ATR状态,短ATR中性,5,3006,中,13.91,43.05,56.95,16.23,17.47,35.6,0.4272,-1.7376,0.9726,-0.1476,2026-05-30 00:00
短ATR状态,短ATR中性,10,3003,中,14.22,42.89,57.11,23.88,31.44,37.2,0.8021,-2.7584,0.9728,-0.1478,2026-05-29 04:00
量能状态,放量,1,1399,中,11.65,55.83,44.17,7.36,0.5,54.61,1.7471,0.7503,1.1903,0.0438,2026-05-29 12:00
量能状态,放量,3,1399,中,8.51,54.25,45.75,18.51,3.79,45.03,3.2953,0.948,1.0699,-0.0582,2026-05-29 12:00
量能状态,放量,5,1399,弱,7.22,53.61,46.39,23.37,10.29,44.53,4.029,0.9563,1.0487,-0.0553,2026-05-29 12:00
量能状态,放量,10,1398,弱,7.87,53.93,46.07,32.4,21.17,33.69,5.9396,1.5117,0.9353,-0.1631,2026-05-28 12:00
量能状态,量能正常,1,2921,中,8.59,45.7,54.3,3.42,0,42.52,0.4957,-0.3996,1.041,-0.0822,2026-05-29 16:00
量能状态,量能正常,3,2921,弱,6.95,46.53,53.47,13.28,3.7,39.51,1.0982,-0.5785,1.0095,-0.1159,2026-05-29 16:00
量能状态,量能正常,5,2921,弱,5.24,47.38,52.62,18.35,14.31,37.38,1.4274,-0.5494,0.9862,-0.1343,2026-05-29 16:00
量能状态,量能正常,10,2920,弱,6.51,46.75,53.25,25.75,27.26,36.27,1.8597,-1.3611,0.9707,-0.1479,2026-05-28 16:00
量能状态,缩量,1,3446,强,42.19,28.9,71.1,1.63,0,26.61,-0.9421,-1.7925,0.8612,-0.2488,2026-05-30 16:00
量能状态,缩量,3,3444,强,35.71,32.14,67.86,8.51,9.81,33.07,-1.4978,-3.3047,0.9371,-0.178,2026-05-30 08:00
量能状态,缩量,5,3442,强,27.6,36.2,63.8,13.34,24.14,35.07,-1.405,-3.6784,0.9652,-0.1587,2026-05-30 00:00
量能状态,缩量,10,3439,中强,20.44,39.78,60.22,21.69,35.16,40.48,-0.552,-4.1485,1.0251,-0.109,2026-05-29 04:00
趋势状态,强趋势上行,1,2216,中强,17.96,41.02,58.98,3.34,0.14,44.36,0.1268,-0.8995,1.0682,-0.0544,2026-05-21 16:00
趋势状态,强趋势上行,3,2216,弱,7.22,46.39,53.61,12.14,3.47,41.83,1.0366,-0.6346,1.0336,-0.0824,2026-05-21 16:00
趋势状态,强趋势上行,5,2216,弱,0.09,49.95,50.05,18.41,12.55,41.88,1.8393,-0.0109,1.0325,-0.0776,2026-05-21 16:00
趋势状态,强趋势上行,10,2216,弱,6.23,53.11,46.89,29.69,21.66,40.34,3.885,1.2447,1.0135,-0.0998,2026-05-21 16:00
趋势状态,强趋势下行,1,1995,弱,6.07,46.97,53.03,4.41,0.15,37.64,0.7259,-0.376,0.9884,-0.1246,2026-05-28 12:00
趋势状态,强趋势下行,3,1995,中强,15.69,42.16,57.84,15.54,8.27,36.29,0.8976,-1.7347,0.9723,-0.1492,2026-05-28 12:00
趋势状态,强趋势下行,5,1995,中强,16.99,41.5,58.5,19.25,21.5,35.14,0.7997,-2.2339,0.9547,-0.1566,2026-05-28 12:00
趋势状态,强趋势下行,10,1995,中强,21.4,39.3,60.7,21.6,36.34,33.98,0.386,-4.7673,0.9475,-0.1726,2026-05-28 12:00
趋势状态,趋势不明,1,1486,强,30.15,34.93,65.07,2.22,0,32.91,-0.4625,-1.3033,0.9208,-0.1942,2026-05-30 16:00
趋势状态,趋势不明,3,1484,强,25.61,37.2,62.8,9.77,7.35,35.65,-0.5944,-2.44,0.9682,-0.1518,2026-05-30 08:00
