date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 08:00,78.95,波动状态,波动压缩,24.67,1,4134,强,32.61,33.7,66.3,2.85,0.0,33.72,-0.3157,-1.4552,0.9324,-0.1717
2026-06-02 08:00,78.95,波动状态,波动压缩,24.67,3,4134,中强,20.27,39.86,60.14,10.69,6.1,37.86,-0.093,-1.8927,0.9832,-0.1347
2026-06-02 08:00,78.95,波动状态,波动压缩,24.67,5,4134,中,12.72,43.64,56.36,16.38,17.01,38.34,0.6113,-1.4842,1.006,-0.1219
2026-06-02 08:00,78.95,波动状态,波动压缩,24.67,10,4133,弱,4.04,47.98,52.02,27.46,25.55,43.12,2.7039,-0.7292,1.0459,-0.0765
2026-06-02 08:00,78.95,短ATR状态,短ATR升温,73.76,1,3429,中,10.94,44.53,55.47,6.12,0.06,48.15,1.0489,-0.5819,1.1161,-0.0196
2026-06-02 08:00,78.95,短ATR状态,短ATR升温,73.76,3,3427,弱,0.9,49.55,50.45,16.34,3.21,44.32,2.5486,-0.0869,1.0645,-0.0561
2026-06-02 08:00,78.95,短ATR状态,短ATR升温,73.76,5,3425,弱,1.31,50.66,49.34,22.92,11.39,43.47,3.7829,0.2233,1.0463,-0.0669
2026-06-02 08:00,78.95,短ATR状态,短ATR升温,73.76,10,3424,弱,0.53,49.74,50.26,28.83,25.06,37.12,5.0513,-0.1176,0.9843,-0.127
2026-06-02 08:00,78.95,波动超额状态,接近一倍ATR,17.76,1,4103,中强,24.54,37.73,62.27,3.75,0.05,38.12,0.0542,-1.1471,0.9927,-0.1199
2026-06-02 08:00,78.95,波动超额状态,接近一倍ATR,17.76,3,4103,中,14.11,42.94,57.06,11.43,4.48,39.12,0.5779,-1.2454,1.0074,-0.1112
2026-06-02 08:00,78.95,波动超额状态,接近一倍ATR,17.76,5,4102,中,12.14,43.93,56.07,16.48,14.43,38.76,0.9662,-1.5345,1.001,-0.1211
2026-06-02 08:00,78.95,波动超额状态,接近一倍ATR,17.76,10,4102,中,8.97,45.51,54.49,24.72,27.52,36.37,2.0483,-1.4667,0.9778,-0.142
2026-06-02 08:00,78.95,趋势状态,强趋势下行,100.0,1,3364,强,28.78,35.61,64.39,5.02,0.09,37.54,0.1344,-1.4494,0.9865,-0.1264
2026-06-02 08:00,78.95,趋势状态,强趋势下行,100.0,3,3363,中强,22.69,38.66,61.34,13.14,8.12,36.28,0.2481,-2.4869,0.9689,-0.1497
2026-06-02 08:00,78.95,趋势状态,强趋势下行,100.0,5,3363,中强,22.99,38.51,61.49,16.92,23.19,35.09,0.2643,-3.2093,0.9588,-0.1543
2026-06-02 08:00,78.95,趋势状态,强趋势下行,100.0,10,3362,中强,24.45,37.78,62.22,21.27,37.42,35.19,0.4881,-5.0608,0.9572,-0.1557
2026-06-02 08:00,78.95,量能状态,放量,4.18,1,2095,弱,2.72,51.36,48.64,7.45,0.0,55.94,1.8092,0.1468,1.2077,0.0542
2026-06-02 08:00,78.95,量能状态,放量,4.18,3,2095,中,10.74,55.37,44.63,19.09,2.1,46.63,3.8102,0.9546,1.0887,-0.0398
2026-06-02 08:00,78.95,量能状态,放量,4.18,5,2094,中,10.41,55.21,44.79,25.36,9.41,45.75,4.9694,1.439,1.0677,-0.0444
2026-06-02 08:00,78.95,量能状态,放量,4.18,10,2093,中,9.03,54.52,45.48,32.78,21.21,35.74,7.4144,1.6633,0.9599,-0.1418
