component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,806,中强,23.33,38.34,61.66,3.97,0.0,40.69,0.1582,-1.105,0.9909,-0.1045,2026-06-02 00:00
波动超额状态,接近一倍ATR,3,804,中,14.68,42.66,57.34,12.94,7.09,38.31,0.5849,-1.4047,0.9738,-0.1186,2026-06-01 00:00
波动超额状态,接近一倍ATR,5,803,中,12.58,43.71,56.29,18.43,16.56,37.98,0.8589,-1.4684,0.9733,-0.1294,2026-05-29 08:00
波动超额状态,接近一倍ATR,10,803,弱,2.37,48.82,51.18,27.52,29.76,39.23,2.6457,-0.5448,0.979,-0.1191,2026-05-29 08:00
波动超额状态,振幅未满ATR,1,953,强,41.03,29.49,70.51,2.31,0.0,26.44,-0.8317,-1.8795,0.843,-0.2204,2026-06-01 08:00
波动超额状态,振幅未满ATR,3,953,强,36.62,31.69,68.31,7.35,11.65,31.58,-1.6279,-3.5529,0.9045,-0.1943,2026-06-01 08:00
波动超额状态,振幅未满ATR,5,952,强,33.82,33.09,66.91,12.39,25.63,35.61,-1.5964,-4.3313,0.9461,-0.1599,2026-05-31 08:00
波动超额状态,振幅未满ATR,10,948,强,29.54,35.23,64.77,18.88,39.77,35.34,-1.6751,-5.8643,0.9531,-0.1421,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,507,弱,0.99,50.49,49.51,9.07,0.39,53.65,2.0088,0.0595,1.1794,0.0345,2026-05-31 16:00
波动超额状态,振幅已超ATR,3,507,中,14.0,57.0,43.0,22.49,3.16,47.73,4.6438,1.2442,1.0905,-0.0125,2026-05-31 16:00
波动超额状态,振幅已超ATR,5,507,中强,17.16,58.58,41.42,30.97,13.02,40.83,6.1663,2.7831,1.0142,-0.0838,2026-05-31 16:00
波动超额状态,振幅已超ATR,10,506,中,11.07,55.53,44.47,36.96,18.58,39.53,7.8787,3.2267,0.9928,-0.126,2026-05-28 00:00
波动状态,波动压缩,1,574,强,36.93,31.53,68.47,2.09,0.0,32.23,-0.4578,-1.4296,0.9214,-0.1555,2026-05-31 00:00
波动状态,波动压缩,3,574,中强,20.91,39.55,60.45,9.76,3.48,36.93,-0.1079,-2.1972,0.974,-0.1228,2026-05-31 00:00
波动状态,波动压缩,5,574,中,12.2,43.9,56.1,17.94,12.89,41.81,0.9588,-1.5605,1.0323,-0.0807,2026-05-31 00:00
波动状态,波动压缩,10,573,弱,0.87,49.56,50.44,25.31,23.91,42.58,2.8559,-0.1617,1.0439,-0.0798,2026-05-26 00:00
波动状态,常态波动,1,356,强,29.21,35.39,64.61,4.21,0.0,35.11,-0.147,-1.4941,0.9026,-0.196,2026-06-01 08:00
波动状态,常态波动,3,356,中强,20.79,39.61,60.39,11.52,7.58,37.92,0.1894,-1.9803,0.9409,-0.1675,2026-06-01 08:00
波动状态,常态波动,5,355,中强,21.69,39.15,60.85,14.37,21.97,34.93,0.0146,-2.3946,0.909,-0.1801,2026-05-31 08:00
波动状态,常态波动,10,353,中强,19.55,40.23,59.77,21.53,31.73,33.99,0.2596,-3.4074,0.9278,-0.1573,2026-05-30 00:00
波动状态,低波动启动,1,650,弱,3.38,48.31,51.69,5.85,0.0,49.08,1.2488,-0.2106,1.1138,-0.006,2026-06-02 00:00
波动状态,低波动启动,3,648,中,13.58,56.79,43.21,18.21,2.16,48.15,3.2734,1.1794,1.0988,-0.0148,2026-06-01 00:00
波动状态,低波动启动,5,647,中强,20.25,60.12,39.88,27.98,7.88,46.06,5.2392,2.7268,1.069,-0.0415,2026-05-31 16:00
波动状态,低波动启动,10,646,强,27.24,63.62,36.38,39.32,13.93,42.57,8.9703,5.8786,1.0211,-0.0918,2026-05-27 16:00
波动状态,高波动扩张,1,305,中强,16.07,41.97,58.03,9.18,0.66,47.87,1.4895,-1.1974,1.103,-0.0136,2026-05-29 08:00
