component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,1813,中强,21.35,39.33,60.67,5.07,0.0,37.34,0.367,-1.125,1.0138,-0.1258,2026-06-01 16:00
波动超额状态,接近一倍ATR,3,1812,中,12.36,43.82,56.18,13.96,8.0,38.08,1.3591,-1.3735,1.01,-0.121,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,1811,中,9.88,45.06,54.94,19.66,20.65,37.99,2.1261,-1.6383,0.9925,-0.1344,2026-05-31 08:00
波动超额状态,接近一倍ATR,10,1810,中,11.49,44.25,55.75,27.02,31.22,36.96,3.25,-2.4578,0.9811,-0.1488,2026-05-30 00:00
波动超额状态,振幅未满ATR,1,2439,强,42.52,28.74,71.26,2.83,0.0,26.73,-0.959,-2.1947,0.8476,-0.2527,2026-05-31 00:00
波动超额状态,振幅未满ATR,3,2439,强,37.76,31.12,68.88,8.0,14.1,30.71,-1.9573,-3.81,0.8964,-0.2193,2026-05-31 00:00
波动超额状态,振幅未满ATR,5,2439,强,31.69,34.15,65.85,12.96,27.31,34.6,-1.9928,-4.5613,0.9554,-0.1664,2026-05-31 00:00
波动超额状态,振幅未满ATR,10,2436,强,28.41,35.8,64.2,20.11,38.63,36.9,-1.2167,-5.9586,0.9779,-0.1417,2026-05-29 16:00
波动超额状态,振幅已超ATR,1,1264,弱,0.95,50.47,49.53,8.62,0.0,55.22,1.9223,0.0417,1.182,0.0557,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,1263,中,11.64,55.82,44.18,21.06,3.8,46.4,4.0768,1.3538,1.0929,-0.0443,2026-06-01 00:00
波动超额状态,振幅已超ATR,5,1262,弱,7.45,53.72,46.28,27.34,13.31,38.99,5.0338,1.1777,1.0041,-0.1159,2026-05-31 16:00
波动超额状态,振幅已超ATR,10,1261,弱,5.47,52.74,47.26,33.78,24.74,36.0,6.8038,0.9115,0.9776,-0.1483,2026-05-29 08:00
波动状态,波动压缩,1,1494,强,38.02,30.99,69.01,2.95,0.0,29.85,-0.5739,-1.7879,0.8941,-0.2119,2026-05-31 00:00
波动状态,波动压缩,3,1494,强,26.37,36.81,63.19,10.64,9.57,35.01,-0.4038,-2.5756,0.9499,-0.1826,2026-05-31 00:00
波动状态,波动压缩,5,1494,中强,16.06,41.97,58.03,16.67,19.34,39.89,0.5143,-2.3259,1.0124,-0.1138,2026-05-31 00:00
波动状态,波动压缩,10,1491,弱,7.18,46.41,53.59,27.36,26.22,41.52,4.228,-1.2856,1.0405,-0.0878,2026-05-29 16:00
波动状态,常态波动,1,941,强,31.56,34.22,65.78,3.08,0.0,32.2,-0.3955,-1.4686,0.9169,-0.1956,2026-06-01 08:00
波动状态,常态波动,3,941,强,29.86,35.07,64.93,9.25,11.48,32.41,-1.1251,-3.2115,0.9208,-0.1879,2026-06-01 08:00
波动状态,常态波动,5,940,强,30.21,34.89,65.11,12.66,27.66,34.89,-1.7019,-4.5274,0.9379,-0.1854,2026-05-30 00:00
波动状态,常态波动,10,940,强,35.53,32.23,67.77,18.3,40.11,35.53,-2.4819,-6.4139,0.9664,-0.1579,2026-05-30 00:00
波动状态,低波动启动,1,1847,弱,7.09,46.45,53.55,7.31,0.0,48.89,1.449,-0.388,1.1288,-0.0139,2026-06-02 00:00
波动状态,低波动启动,3,1845,弱,6.88,53.44,46.56,18.59,3.41,45.64,3.6155,0.7354,1.0938,-0.0443,2026-06-01 00:00
波动状态,低波动启动,5,1844,弱,7.92,53.96,46.04,26.52,13.34,40.78,5.3769,1.3097,1.0383,-0.0904,2026-05-31 16:00
波动状态,低波动启动,10,1842,中,9.88,54.94,45.06,35.23,22.04,39.85,8.755,2.1807,1.0179,-0.1127,2026-05-29 08:00
波动状态,高波动扩张,1,570,中强,18.25,40.88,59.12,6.84,0.0,40.35,0.5239,-1.1481,1.0392,-0.087,2026-02-11 16:00
波动状态,高波动扩张,3,570,中,14.39,42.81,57.19,17.19,12.81,35.79,1.1354,-1.707,0.9742,-0.1556,2026-02-11 16:00
波动状态,高波动扩张,5,570,中强,20.0,40.0,60.0,19.47,25.79,31.4,0.2172,-3.2489,0.8989,-0.2209,2026-02-11 16:00
波动状态,高波动扩张,10,570,强,29.47,35.26,64.74,19.65,42.98,26.49,-3.5614,-7.257,0.8584,-0.2482,2026-02-11 16:00
波动状态,高波动冷却,1,664,强,46.99,26.51,73.49,3.46,0.0,21.84,-1.4901,-2.8753,0.7883,-0.2994,2026-02-13 00:00
波动状态,高波动冷却,3,664,强,55.42,22.29,77.71,4.07,22.59,22.74,-4.2441,-5.8996,0.8097,-0.2912,2026-02-13 00:00
波动状态,高波动冷却,5,664,强,55.12,22.44,77.56,7.38,40.06,25.45,-5.8207,-8.1326,0.8639,-0.2252,2026-02-13 00:00
波动状态,高波动冷却,10,664,强,60.84,19.58,80.42,9.64,60.09,27.71,-9.8935,-13.519,0.8533,-0.2461,2026-02-13 00:00
短ATR状态,短ATR降温,1,2146,强,40.07,29.96,70.04,2.94,0.0,28.47,-0.7523,-1.9698,0.8697,-0.23,2026-05-31 08:00
短ATR状态,短ATR降温,3,2146,强,31.59,34.2,65.8,10.11,12.4,33.04,-1.2017,-3.2487,0.9312,-0.1849,2026-05-31 08:00
短ATR状态,短ATR降温,5,2146,强,25.63,37.19,62.81,14.59,25.58,35.69,-1.015,-3.7239,0.964,-0.1574,2026-05-31 08:00
短ATR状态,短ATR降温,10,2142,中强,22.04,38.98,61.02,22.64,35.25,37.68,0.3223,-4.1587,0.9908,-0.1311,2026-05-27 08:00
短ATR状态,短ATR升温,1,1408,弱,2.84,48.58,51.42,7.95,0.0,51.56,1.589,-0.1355,1.1532,0.0178,2026-05-29 08:00
短ATR状态,短ATR升温,3,1408,中,8.66,54.33,45.67,19.67,5.18,43.89,3.422,0.8423,1.0586,-0.0717,2026-05-29 08:00
短ATR状态,短ATR升温,5,1408,弱,6.25,53.13,46.88,26.14,15.7,39.91,4.4596,0.7635,0.9998,-0.1188,2026-05-29 08:00
短ATR状态,短ATR升温,10,1408,弱,0.85,50.43,49.57,29.9,25.92,35.3,5.5154,0.1704,0.9702,-0.1581,2026-05-29 08:00
短ATR状态,短ATR中性,1,1962,强,26.1,36.95,63.05,4.84,0.0,35.17,0.0679,-1.3885,0.9731,-0.149,2026-06-02 00:00
短ATR状态,短ATR中性,3,1960,中强,22.55,38.72,61.28,11.22,10.1,35.61,0.3053,-2.3352,0.9734,-0.1583,2026-06-01 08:00
短ATR状态,短ATR中性,5,1958,中强,20.22,39.89,60.11,17.16,22.37,35.55,0.6341,-3.2879,0.9797,-0.1545,2026-05-31 16:00
短ATR状态,短ATR中性,10,1957,中强,18.96,40.52,59.48,25.5,35.67,36.69,1.5546,-4.2154,0.972,-0.1508,2026-05-30 00:00
量能状态,放量,1,931,弱,5.05,52.52,47.48,8.49,0.0,56.39,2.0807,0.2279,1.2302,0.0754,2026-05-29 08:00
量能状态,放量,3,931,中强,17.72,58.86,41.14,22.56,2.47,46.94,4.8248,2.0873,1.1052,-0.0398,2026-05-29 08:00
量能状态,放量,5,931,中,12.35,56.18,43.82,29.86,12.78,39.96,5.5939,1.8859,1.002,-0.1206,2026-05-29 08:00
量能状态,放量,10,931,中,12.57,56.28,43.72,35.34,22.77,36.31,8.237,2.1783,0.9896,-0.1492,2026-05-29 08:00
量能状态,量能正常,1,2082,中强,23.44,38.28,61.72,5.33,0.0,38.66,0.3286,-1.2616,1.001,-0.1234,2026-06-02 00:00
量能状态,量能正常,3,2081,中,14.75,42.62,57.38,13.98,8.84,38.2,0.7922,-1.5944,0.9931,-0.1261,2026-06-01 00:00
量能状态,量能正常,5,2080,中,11.15,44.42,55.58,18.22,20.67,36.59,1.2921,-1.7417,0.9803,-0.1488,2026-05-29 00:00
量能状态,量能正常,10,2080,中,14.42,42.79,57.21,26.01,31.97,35.82,2.3579,-2.7914,0.9768,-0.1519,2026-05-29 00:00
量能状态,缩量,1,2503,强,38.79,30.6,69.4,3.2,0.0,27.85,-0.7452,-1.9773,0.8669,-0.2268,2026-06-01 16:00
量能状态,缩量,3,2502,强,34.21,32.89,67.11,8.51,13.19,31.69,-1.3201,-3.5471,0.9197,-0.203,2026-06-01 08:00
量能状态,缩量,5,2501,强,29.63,35.19,64.81,14.39,26.35,35.63,-1.0208,-4.3836,0.9688,-0.1518,2026-05-31 16:00
量能状态,缩量,10,2496,强,25.96,37.02,62.98,21.43,37.7,37.62,-0.4306,-5.3675,0.9766,-0.1368,2026-05-30 00:00
趋势状态,强趋势上行,1,1704,弱,4.23,47.89,52.11,6.57,0.0,48.12,1.1834,-0.2185,1.1204,-0.0239,2026-05-25 08:00
趋势状态,强趋势上行,3,1704,中,10.56,55.28,44.72,18.72,3.87,45.25,3.2234,1.0288,1.0795,-0.0566,2026-05-25 08:00
趋势状态,强趋势上行,5,1704,中强,16.55,58.27,41.73,27.0,11.21,43.08,5.0094,2.1015,1.0564,-0.0724,2026-05-25 08:00
趋势状态,强趋势上行,10,1704,中强,17.02,58.51,41.49,37.5,18.9,40.38,8.227,3.7389,1.0236,-0.0982,2026-05-25 08:00
趋势状态,强趋势下行,1,2058,强,35.86,32.07,67.93,4.62,0.0,32.41,-0.3438,-2.0568,0.9164,-0.1934,2026-06-02 00:00
趋势状态,强趋势下行,3,2057,强,33.4,33.3,66.7,10.55,14.29,32.28,-0.8218,-3.7881,0.9198,-0.1935,2026-05-29 16:00
趋势状态,强趋势下行,5,2057,强,33.2,33.4,66.6,13.71,29.41,32.18,-1.3833,-5.2169,0.9202,-0.1927,2026-05-29 16:00
趋势状态,强趋势下行,10,2057,强,36.61,31.7,68.3,18.28,42.49,33.98,-2.5966,-7.3157,0.9415,-0.179,2026-05-29 16:00
趋势状态,趋势不明,1,614,强,31.92,34.04,65.96,3.26,0.0,31.92,-0.3639,-1.5037,0.9162,-0.1739,2026-06-01 16:00
趋势状态,趋势不明,3,613,中强,19.41,40.29,59.71,9.62,8.65,36.38,-0.1413,-2.2339,0.9765,-0.1394,2026-05-31 16:00
趋势状态,趋势不明,5,613,中强,19.41,40.29,59.71,17.29,22.35,37.19,0.3922,-3.5999,0.981,-0.1337,2026-05-31 16:00
趋势状态,趋势不明,10,610,中,12.13,43.93,56.07,24.43,32.79,37.87,4.1302,-2.799,1.0102,-0.1301,2026-05-27 08:00
趋势状态,弱趋势混合,1,519,强,39.5,30.25,69.75,2.7,0.0,26.01,-0.7692,-1.8628,0.8517,-0.2527,2026-05-30 00:00
趋势状态,弱趋势混合,3,519,强,37.57,31.21,68.79,9.63,15.22,31.6,-1.9593,-3.5348,0.8919,-0.2192,2026-05-30 00:00
趋势状态,弱趋势混合,5,519,强,39.11,30.44,69.56,12.33,27.94,31.21,-2.544,-5.011,0.9207,-0.1947,2026-05-30 00:00
趋势状态,弱趋势混合,10,519,强,40.66,29.67,70.33,15.22,45.86,31.41,-3.7959,-8.3877,0.9059,-0.1868,2026-05-30 00:00
趋势状态,弱趋势上行,1,262,中强,21.37,39.31,60.69,3.44,0.0,37.02,0.0612,-1.1032,0.9643,-0.1354,2026-05-25 16:00
趋势状态,弱趋势上行,3,262,强,25.19,37.4,62.6,8.78,4.58,34.73,0.3635,-2.0057,0.9701,-0.1765,2026-05-25 16:00
趋势状态,弱趋势上行,5,262,中强,22.14,38.93,61.07,17.18,16.03,43.51,1.5179,-1.8493,1.033,-0.1017,2026-05-25 16:00
趋势状态,弱趋势上行,10,262,弱,1.53,49.24,50.76,33.21,27.1,40.84,7.9578,-0.678,1.0268,-0.1128,2026-05-25 16:00
趋势状态,弱趋势下行,1,359,强,40.39,29.81,70.19,5.57,0.0,31.2,0.15,-1.5667,0.9667,-0.207,2026-06-01 08:00
趋势状态,弱趋势下行,3,359,强,30.92,34.54,65.46,12.81,9.19,31.2,0.1221,-3.1653,0.974,-0.1681,2026-06-01 08:00
趋势状态,弱趋势下行,5,357,中强,21.57,39.22,60.78,16.81,24.65,34.73,0.9365,-3.4312,0.9858,-0.1549,2026-05-31 08:00
趋势状态,弱趋势下行,10,355,中强,22.25,38.87,61.13,21.13,31.83,37.75,0.5253,-4.6644,0.9983,-0.1466,2026-05-29 08:00
