component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2133,中强,19.46,40.27,59.73,3.75,0.0,40.23,0.3282,-0.9419,1.0118,-0.1093,2026-06-02 00:00
波动超额状态,接近一倍ATR,3,2133,中,10.45,44.77,55.23,11.91,4.08,40.98,1.0001,-1.0017,1.0126,-0.1082,2026-06-02 00:00
波动超额状态,接近一倍ATR,5,2132,中,10.79,44.61,55.39,16.98,14.35,37.29,1.4626,-1.3604,0.9739,-0.1333,2026-06-01 16:00
波动超额状态,接近一倍ATR,10,2129,中,8.41,45.8,54.2,25.97,25.83,39.17,2.9042,-1.4053,0.9952,-0.1192,2026-05-31 20:00
波动超额状态,振幅未满ATR,1,2768,强,40.61,29.7,70.3,2.2,0.0,29.19,-0.7929,-1.8018,0.8796,-0.2145,2026-06-02 08:00
波动超额状态,振幅未满ATR,3,2767,强,34.22,32.89,67.11,7.66,7.23,33.79,-1.3212,-3.1267,0.9378,-0.1752,2026-06-01 20:00
波动超额状态,振幅未满ATR,5,2766,强,26.9,36.55,63.45,12.69,21.19,36.55,-1.2553,-3.3506,0.9729,-0.1467,2026-06-01 08:00
波动超额状态,振幅未满ATR,10,2765,中强,22.46,38.77,61.23,20.43,32.88,39.82,-0.7048,-4.0461,1.0026,-0.1188,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1623,弱,4.0,48.0,52.0,5.67,0.0,52.0,1.4206,-0.2318,1.1411,0.0171,2026-06-02 04:00
波动超额状态,振幅已超ATR,3,1622,弱,1.85,50.92,49.08,16.58,3.08,43.22,2.723,0.1496,1.0413,-0.0764,2026-06-01 04:00
波动超额状态,振幅已超ATR,5,1622,弱,0.12,50.06,49.94,22.69,10.23,43.4,3.3886,0.023,1.0327,-0.0814,2026-06-01 04:00
波动超额状态,振幅已超ATR,10,1621,弱,0.56,49.72,50.28,29.3,23.75,35.29,4.2494,-0.1075,0.9534,-0.1623,2026-05-31 12:00
波动状态,波动压缩,1,1496,强,38.37,30.82,69.18,2.87,0.0,30.95,-0.5062,-1.6684,0.9058,-0.1972,2026-06-01 08:00
波动状态,波动压缩,3,1496,中强,24.47,37.77,62.23,11.1,6.08,36.9,0.0392,-2.4703,0.9818,-0.1404,2026-06-01 08:00
波动状态,波动压缩,5,1496,中,14.17,42.91,57.09,17.65,18.58,39.04,0.8676,-2.0958,1.0147,-0.1298,2026-06-01 08:00
波动状态,波动压缩,10,1495,弱,0.2,49.9,50.1,28.96,25.28,43.28,3.8075,-0.135,1.0619,-0.0755,2026-05-31 16:00
波动状态,常态波动,1,1191,强,25.94,37.03,62.97,2.94,0.0,34.84,-0.0856,-1.1849,0.9533,-0.1544,2026-06-02 08:00
波动状态,常态波动,3,1190,中强,18.49,40.76,59.24,9.33,4.2,39.5,0.0792,-1.6685,0.9896,-0.1081,2026-06-01 20:00
波动状态,常态波动,5,1189,中,11.86,44.07,55.93,14.89,14.21,38.69,0.2279,-1.4359,0.9771,-0.1254,2026-06-01 00:00
波动状态,常态波动,10,1188,中强,15.49,42.26,57.74,23.15,27.53,38.8,1.0097,-2.3822,0.9808,-0.1185,2026-05-29 04:00
波动状态,低波动启动,1,1592,弱,0.5,49.75,50.25,5.72,0.0,50.13,1.4999,-0.0348,1.1301,0.001,2026-06-02 04:00
波动状态,低波动启动,3,1591,弱,6.73,53.36,46.64,17.35,2.33,43.18,3.0248,0.6255,1.0504,-0.0786,2026-06-02 00:00
波动状态,低波动启动,5,1590,弱,6.42,53.21,46.79,23.9,8.68,42.96,4.5283,1.0247,1.0372,-0.0765,2026-06-01 16:00
波动状态,低波动启动,10,1587,中,13.3,56.65,43.35,34.78,18.27,38.69,7.6948,2.9073,0.9962,-0.1257,2026-05-31 20:00
波动状态,高波动扩张,1,1102,中强,17.97,41.02,58.98,4.45,0.0,47.64,0.5133,-0.7839,1.0708,-0.0278,2026-05-23 20:00
波动状态,高波动扩张,3,1102,中,13.25,43.38,56.62,11.98,5.26,41.83,0.8313,-1.1037,1.0057,-0.1027,2026-05-23 20:00
波动状态,高波动扩张,5,1102,中强,18.15,40.93,59.07,16.7,15.25,38.2,0.4754,-2.1878,0.9671,-0.1436,2026-05-23 20:00
波动状态,高波动扩张,10,1102,中强,24.86,37.57,62.43,18.97,33.12,33.21,-1.4154,-5.1515,0.9287,-0.1764,2026-05-23 20:00
波动状态,高波动冷却,1,1143,强,45.06,27.47,72.53,1.31,0.0,27.03,-1.1229,-2.0391,0.8534,-0.2337,2026-05-24 04:00
波动状态,高波动冷却,3,1143,强,45.06,27.47,72.53,4.37,8.84,29.75,-2.6138,-3.7685,0.8906,-0.2142,2026-05-24 04:00
波动状态,高波动冷却,5,1143,强,45.58,27.21,72.79,6.65,26.68,31.67,-3.631,-5.0383,0.9167,-0.1753,2026-05-24 04:00
波动状态,高波动冷却,10,1143,强,48.91,25.55,74.45,10.85,42.34,36.66,-5.6178,-8.0376,0.9445,-0.1551,2026-05-24 04:00
短ATR状态,短ATR降温,1,2195,强,37.59,31.21,68.79,2.51,0.0,30.3,-0.6051,-1.705,0.8949,-0.2105,2026-05-31 08:00
短ATR状态,短ATR降温,3,2195,强,29.02,35.49,64.51,9.61,6.74,35.72,-0.8138,-2.8628,0.955,-0.1625,2026-05-31 08:00
短ATR状态,短ATR降温,5,2195,中强,22.82,38.59,61.41,14.31,20.55,37.08,-0.7383,-2.8876,0.9709,-0.1429,2026-05-31 08:00
短ATR状态,短ATR降温,10,2195,中,11.34,44.33,55.67,25.01,29.29,41.82,1.1077,-2.1457,1.0223,-0.0958,2026-05-31 08:00
短ATR状态,短ATR升温,1,1820,中,9.34,45.33,54.67,4.89,0.0,48.19,1.0523,-0.4813,1.1006,-0.0249,2026-06-02 04:00
短ATR状态,短ATR升温,3,1819,弱,2.91,48.54,51.46,14.79,3.35,43.32,2.2881,-0.1604,1.0327,-0.0807,2026-05-29 16:00
短ATR状态,短ATR升温,5,1819,弱,0.27,49.86,50.14,21.72,12.2,43.05,3.0149,-0.0452,1.0182,-0.0872,2026-05-29 16:00
短ATR状态,短ATR升温,10,1819,弱,6.54,46.73,53.27,26.72,26.0,36.78,3.0977,-1.2088,0.9576,-0.1495,2026-05-29 16:00
短ATR状态,短ATR中性,1,2509,中强,24.27,37.86,62.14,3.55,0.0,38.58,0.0892,-1.1671,0.9874,-0.126,2026-06-02 08:00
短ATR状态,短ATR中性,3,2508,中强,17.94,41.03,58.97,10.17,5.1,37.4,0.2066,-1.7723,0.9845,-0.1361,2026-06-02 00:00
短ATR状态,短ATR中性,5,2506,中强,18.6,40.7,59.3,14.84,15.36,36.43,0.5104,-2.0603,0.9813,-0.1406,2026-06-01 16:00
短ATR状态,短ATR中性,10,2501,中强,17.63,41.18,58.82,22.31,29.11,36.79,1.2221,-3.2879,0.98,-0.139,2026-05-31 20:00
量能状态,放量,1,1148,弱,3.48,51.74,48.26,5.66,0.0,54.62,1.8172,0.2014,1.1859,0.0491,2026-06-02 04:00
量能状态,放量,3,1147,中,12.12,56.06,43.94,19.79,1.92,48.21,3.9412,1.0954,1.0898,-0.03,2026-06-01 12:00
量能状态,放量,5,1147,中,12.29,56.15,43.85,25.37,8.2,42.2,4.5881,1.622,1.0159,-0.0826,2026-06-01 12:00
量能状态,放量,10,1146,中,8.73,54.36,45.64,32.37,19.81,35.86,5.6127,1.6463,0.9607,-0.1487,2026-05-31 12:00
量能状态,量能正常,1,2565,中强,17.82,41.09,58.91,4.33,0.0,42.85,0.4491,-0.8501,1.0289,-0.0837,2026-06-02 08:00
量能状态,量能正常,3,2564,中,11.47,44.27,55.73,11.31,3.63,39.0,0.9893,-1.0776,1.0013,-0.1131,2026-06-02 00:00
量能状态,量能正常,5,2563,中,13.07,43.46,56.54,17.13,12.8,39.33,1.3693,-1.3564,0.9919,-0.1255,2026-06-01 16:00
量能状态,量能正常,10,2559,中,10.9,44.55,55.45,25.09,26.26,37.44,2.1031,-2.0997,0.9696,-0.1417,2026-05-31 00:00
量能状态,缩量,1,2811,强,42.23,28.89,71.11,2.03,0.0,27.89,-0.8636,-1.8833,0.8696,-0.228,2026-06-01 20:00
量能状态,缩量,3,2811,强,35.04,32.48,67.52,7.76,7.9,34.04,-1.481,-3.3597,0.9343,-0.1789,2026-06-01 20:00
量能状态,缩量,5,2810,强,27.69,36.16,63.84,12.49,22.63,36.23,-1.2916,-3.5359,0.9733,-0.1505,2026-05-31 20:00
量能状态,缩量,10,2810,中强,22.42,38.79,61.21,20.64,33.63,40.5,-0.246,-4.1786,1.0158,-0.1083,2026-05-31 20:00
趋势状态,强趋势上行,1,1808,弱,3.54,48.23,51.77,3.93,0.0,49.23,0.8146,-0.1313,1.0869,-0.0058,2026-05-22 04:00
趋势状态,强趋势上行,3,1808,弱,4.2,52.1,47.9,13.22,1.71,44.91,1.8269,0.3879,1.0379,-0.0595,2026-05-22 04:00
趋势状态,强趋势上行,5,1808,弱,6.08,53.04,46.96,19.36,6.91,42.48,2.5228,0.7316,1.0183,-0.0849,2026-05-22 04:00
趋势状态,强趋势上行,10,1808,弱,2.88,51.44,48.56,27.71,17.75,40.6,3.9389,0.3299,1.0037,-0.107,2026-05-22 04:00
趋势状态,强趋势下行,1,2032,强,32.68,33.66,66.34,4.33,0.0,35.88,0.1246,-1.5921,0.9739,-0.1537,2026-06-02 08:00
趋势状态,强趋势下行,3,2030,强,26.4,36.8,63.2,11.33,8.13,33.6,-0.0056,-3.0897,0.9473,-0.1703,2026-06-02 00:00
趋势状态,强趋势下行,5,2028,强,25.74,37.13,62.87,14.84,22.98,34.71,-0.0695,-3.4827,0.9603,-0.1557,2026-06-01 16:00
趋势状态,强趋势下行,10,2024,强,29.55,35.23,64.77,19.96,37.06,33.94,-0.6335,-5.9939,0.9415,-0.1667,2026-05-31 20:00
趋势状态,趋势不明,1,1104,强,34.78,32.61,67.39,2.17,0.0,32.97,-0.55,-1.5164,0.9205,-0.1815,2026-05-26 08:00
趋势状态,趋势不明,3,1104,强,26.99,36.5,63.5,9.42,5.25,38.13,-0.5114,-2.4747,0.9819,-0.1465,2026-05-26 08:00
趋势状态,趋势不明,5,1104,中强,20.65,39.67,60.33,16.12,17.21,39.31,-0.0205,-2.4556,1.01,-0.1255,2026-05-26 08:00
趋势状态,趋势不明,10,1104,弱,7.97,46.01,53.99,26.9,26.99,40.67,2.0949,-1.6309,1.0247,-0.1055,2026-05-26 08:00
趋势状态,弱趋势混合,1,482,强,35.27,32.37,67.63,2.9,0.0,33.82,-0.3812,-1.6594,0.9209,-0.1796,2026-05-24 00:00
趋势状态,弱趋势混合,3,482,强,31.54,34.23,65.77,6.64,5.39,32.37,-1.1505,-2.7458,0.9129,-0.1986,2026-05-24 00:00
趋势状态,弱趋势混合,5,482,强,27.8,36.1,63.9,11.0,18.46,35.68,-1.576,-3.031,0.9478,-0.1613,2026-05-24 00:00
趋势状态,弱趋势混合,10,482,中强,22.41,38.8,61.2,20.12,34.44,35.89,-0.8575,-3.6301,0.9733,-0.1614,2026-05-24 00:00
趋势状态,弱趋势上行,1,433,中,14.55,42.73,57.27,4.16,0.0,39.95,0.5763,-0.7042,1.0343,-0.115,2026-05-22 12:00
趋势状态,弱趋势上行,3,433,弱,4.85,47.58,52.42,14.09,2.08,41.8,1.4179,-0.2946,1.0346,-0.0755,2026-05-22 12:00
趋势状态,弱趋势上行,5,433,弱,5.31,47.34,52.66,20.79,10.39,42.96,2.2241,-0.6635,1.0023,-0.0788,2026-05-22 12:00
趋势状态,弱趋势上行,10,433,中,11.32,55.66,44.34,31.18,20.09,46.19,4.1596,1.7438,1.0338,-0.0546,2026-05-22 12:00
趋势状态,弱趋势下行,1,665,强,38.95,30.53,69.47,2.71,0.0,28.72,-0.5622,-1.7625,0.8917,-0.2085,2026-06-01 00:00
