date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 08:00,0.82,波动状态,低波动启动,34.27,1,755,弱,1.19,49.4,50.6,6.49,0.0,50.86,1.6942,-0.0778,1.1323,0.0148
2026-06-02 08:00,0.82,波动状态,低波动启动,34.27,3,754,中,9.55,54.77,45.23,16.98,1.99,45.76,3.1614,0.8342,1.0674,-0.0405
2026-06-02 08:00,0.82,波动状态,低波动启动,34.27,5,754,弱,6.37,53.18,46.82,25.73,10.74,39.66,5.2002,0.714,1.0309,-0.0972
2026-06-02 08:00,0.82,波动状态,低波动启动,34.27,10,753,中,9.69,54.85,45.15,32.93,19.92,41.57,7.8911,1.6822,1.024,-0.1078
2026-06-02 08:00,0.82,短ATR状态,短ATR中性,98.16,1,1221,强,25.31,37.35,62.65,4.34,0.0,38.98,0.0484,-1.1208,0.9892,-0.1077
2026-06-02 08:00,0.82,短ATR状态,短ATR中性,98.16,3,1220,中强,15.41,42.3,57.7,10.74,5.82,37.54,0.5397,-1.5396,0.9885,-0.1207
2026-06-02 08:00,0.82,短ATR状态,短ATR中性,98.16,5,1219,中强,20.26,39.87,60.13,16.57,16.57,37.49,1.1293,-2.305,0.9847,-0.1231
2026-06-02 08:00,0.82,短ATR状态,短ATR中性,98.16,10,1217,中强,15.53,42.24,57.76,22.93,30.81,37.96,2.1147,-2.826,0.9776,-0.1198
2026-06-02 08:00,0.82,波动超额状态,振幅已超ATR,21.08,1,757,弱,5.42,47.29,52.71,7.13,0.0,54.29,1.5509,-0.2857,1.1612,0.0515
2026-06-02 08:00,0.82,波动超额状态,振幅已超ATR,21.08,3,757,弱,4.1,52.05,47.95,17.7,3.04,45.44,3.0517,0.4171,1.0628,-0.0401
2026-06-02 08:00,0.82,波动超额状态,振幅已超ATR,21.08,5,757,弱,0.92,49.54,50.46,23.65,12.02,39.76,3.4748,-0.0717,1.0046,-0.083
2026-06-02 08:00,0.82,波动超额状态,振幅已超ATR,21.08,10,756,弱,3.17,51.59,48.41,28.7,21.83,41.01,4.7583,0.5716,1.0309,-0.0945
2026-06-02 08:00,0.82,趋势状态,强趋势下行,100.0,1,1150,强,35.48,32.26,67.74,4.09,0.0,33.74,-0.1213,-1.6567,0.9403,-0.1669
2026-06-02 08:00,0.82,趋势状态,强趋势下行,100.0,3,1148,强,31.18,34.41,65.59,9.84,9.84,35.54,-0.3072,-2.9775,0.9564,-0.1375
2026-06-02 08:00,0.82,趋势状态,强趋势下行,100.0,5,1146,强,31.59,34.21,65.79,13.53,24.43,33.25,-0.2737,-4.1534,0.9369,-0.1623
2026-06-02 08:00,0.82,趋势状态,强趋势下行,100.0,10,1141,强,34.27,32.87,67.13,19.02,39.35,33.3,-1.3326,-6.4828,0.9362,-0.1483
2026-06-02 08:00,0.82,量能状态,放量,1.21,1,511,弱,4.89,52.45,47.55,7.83,0.0,59.1,2.1327,0.331,1.2225,0.0942
2026-06-02 08:00,0.82,量能状态,放量,1.21,3,511,中,12.72,56.36,43.64,19.57,1.76,49.32,4.0077,1.1645,1.0954,-0.0128
2026-06-02 08:00,0.82,量能状态,放量,1.21,5,511,中,10.76,55.38,44.62,27.01,9.0,41.68,5.1096,1.5416,1.0372,-0.0677
2026-06-02 08:00,0.82,量能状态,放量,1.21,10,511,中,12.72,56.36,43.64,33.07,18.2,41.88,6.6423,2.0748,1.0301,-0.0853
