date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0.41,波动状态,常态波动,76.83,1,121,弱,4.13,47.93,52.07,3.31,0,29.75,0.086,-0.4251,0.8792,-0.1998
2026-05-29,0.41,波动状态,常态波动,76.83,3,120,中强,20,40,60,10,12.5,29.17,-0.2116,-2.6962,0.8682,-0.2589
2026-05-29,0.41,波动状态,常态波动,76.83,5,120,中,10,45,55,16.67,22.5,33.33,0.2508,-0.945,0.9003,-0.1883
2026-05-29,0.41,波动状态,常态波动,76.83,10,119,样本偏少,19.33,40.34,59.66,22.69,28.57,33.61,-1.3911,-2.9499,0.9542,-0.1319
2026-05-29,0.41,短ATR状态,短ATR升温,68.95,1,113,样本偏少,0.88,50.44,49.56,11.5,9.73,46.02,0.1067,0.1737,1.0577,-0.0211
2026-05-29,0.41,短ATR状态,短ATR升温,68.95,3,111,样本偏少,0.9,49.55,50.45,23.42,12.61,36.94,1.4226,-0.7985,0.974,-0.1004
2026-05-29,0.41,短ATR状态,短ATR升温,68.95,5,109,样本偏少,8.26,45.87,54.13,23.85,16.51,32.11,1.8129,-1.2582,0.9096,-0.1822
2026-05-29,0.41,短ATR状态,短ATR升温,68.95,10,105,样本偏少,16.19,58.1,41.9,38.1,20,49.52,4.31,3.4394,1.018,-0.0009
2026-05-29,0.41,余动能状态,余动能不足,17.34,1,319,强,29.15,35.42,64.58,0.94,0,22.57,-0.861,-1.1818,0.8177,-0.2599
2026-05-29,0.41,余动能状态,余动能不足,17.34,3,318,强,29.56,35.22,64.78,11.32,15.09,28.62,-0.8331,-2.96,0.8891,-0.1911
2026-05-29,0.41,余动能状态,余动能不足,17.34,5,318,强,30.82,34.59,65.41,15.41,26.73,33.96,-1.5665,-4.1471,0.9204,-0.1505
2026-05-29,0.41,余动能状态,余动能不足,17.34,10,318,强,26.42,36.79,63.21,25.79,39.31,33.33,-1.6082,-5.9496,0.9178,-0.158
2026-05-29,0.41,趋势状态,趋势不明,80.78,1,51,样本偏少,25.49,37.25,62.75,3.92,3.92,49.02,-0.8613,-0.7715,0.9513,-0.0114
2026-05-29,0.41,趋势状态,趋势不明,80.78,3,51,样本偏少,1.96,49.02,50.98,19.61,15.69,47.06,1.6538,-0.8814,1.0671,-0.0222
2026-05-29,0.41,趋势状态,趋势不明,80.78,5,51,样本偏少,9.8,45.1,54.9,25.49,21.57,45.1,2.4967,-0.492,1.0696,-0.0822
2026-05-29,0.41,趋势状态,趋势不明,80.78,10,51,样本偏少,9.8,54.9,45.1,45.1,19.61,17.65,4.664,8.031,0.8266,-0.2278
2026-05-29,0.41,量能状态,缩量,10.07,1,310,中强,23.87,38.06,61.94,2.9,0.97,22.26,-0.658,-1.1616,0.8074,-0.2623
2026-05-29,0.41,量能状态,缩量,10.07,3,309,强,28.8,35.6,64.4,12.62,15.21,27.18,-0.32,-2.9992,0.8858,-0.212
2026-05-29,0.41,量能状态,缩量,10.07,5,309,强,28.16,35.92,64.08,16.83,25.24,35.92,-0.9927,-3.6336,0.9338,-0.1402
2026-05-29,0.41,量能状态,缩量,10.07,10,308,中强,22.08,38.96,61.04,27.6,36.36,33.12,-1.024,-4.8439,0.9214,-0.1531
