component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,1842,中强,19.65,40.17,59.83,2.61,0.0,39.47,0.1472,-0.9732,0.9909,-0.1029,2026-06-02 08:00
波动超额状态,接近一倍ATR,3,1841,中,11.03,44.49,55.51,11.19,3.69,38.13,0.9587,-0.9745,0.9946,-0.1118,2026-06-01 20:00
波动超额状态,接近一倍ATR,5,1840,中,11.74,44.13,55.87,17.5,12.45,39.35,1.6806,-1.4815,1.0066,-0.1048,2026-06-01 16:00
波动超额状态,接近一倍ATR,10,1838,弱,7.18,46.41,53.59,24.7,26.71,36.94,2.7481,-1.5435,0.9816,-0.1258,2026-05-31 20:00
波动超额状态,振幅未满ATR,1,2278,强,38.63,30.68,69.32,2.33,0.0,29.15,-0.6738,-1.7507,0.8826,-0.2073,2026-06-01 12:00
波动超额状态,振幅未满ATR,3,2278,强,32.84,33.58,66.42,8.65,7.77,34.72,-1.2301,-2.8918,0.939,-0.1547,2026-06-01 12:00
波动超额状态,振幅未满ATR,5,2278,中强,24.93,37.53,62.47,13.35,20.46,34.2,-1.2729,-3.3349,0.9437,-0.1535,2026-06-01 12:00
波动超额状态,振幅未满ATR,10,2276,中强,19.68,40.16,59.84,19.42,32.03,38.84,-0.7851,-3.7146,0.9866,-0.1146,2026-05-31 16:00
波动超额状态,振幅已超ATR,1,1317,弱,4.18,47.91,52.09,6.07,0.0,50.04,1.4716,-0.2667,1.1341,0.0003,2026-06-02 04:00
波动超额状态,振幅已超ATR,3,1316,弱,3.95,51.98,48.02,16.26,3.95,42.25,2.6091,0.3901,1.0316,-0.0791,2026-06-02 00:00
波动超额状态,振幅已超ATR,5,1315,弱,4.18,52.09,47.91,22.21,10.04,41.52,3.0498,0.3892,1.0072,-0.0873,2026-06-01 04:00
波动超额状态,振幅已超ATR,10,1314,弱,5.48,52.74,47.26,30.44,22.22,36.99,4.3618,0.9836,0.9692,-0.1374,2026-05-29 16:00
波动状态,波动压缩,1,1634,强,30.84,34.58,65.42,2.45,0.0,32.8,-0.2964,-1.4349,0.9307,-0.1608,2026-05-31 16:00
波动状态,波动压缩,3,1634,中强,22.28,38.86,61.14,10.95,4.16,38.56,-0.0127,-1.9584,0.9906,-0.1184,2026-05-31 16:00
波动状态,波动压缩,5,1634,中,11.02,44.49,55.51,17.69,14.2,38.49,0.7713,-1.5304,0.9971,-0.1244,2026-05-31 16:00
波动状态,波动压缩,10,1634,弱,2.33,51.16,48.84,26.44,21.97,42.17,3.5769,0.3063,1.0309,-0.0824,2026-05-31 16:00
波动状态,常态波动,1,1000,中强,23.2,38.4,61.6,3.0,0.0,36.8,0.0103,-1.2039,0.9585,-0.1245,2026-06-02 08:00
波动状态,常态波动,3,999,中强,20.12,39.94,60.06,8.81,5.21,36.74,-0.079,-1.637,0.9568,-0.1322,2026-06-01 20:00
波动状态,常态波动,5,998,中强,19.64,40.18,59.82,13.93,14.43,35.37,0.0963,-2.2114,0.9712,-0.1311,2026-06-01 12:00
波动状态,常态波动,10,995,中强,17.79,41.11,58.89,19.7,28.34,36.48,0.2576,-2.9471,0.971,-0.1335,2026-05-31 20:00
波动状态,低波动启动,1,1637,弱,6.54,46.73,53.27,4.89,0.0,47.34,1.1764,-0.3799,1.0954,-0.0263,2026-06-02 04:00
波动状态,低波动启动,3,1636,中,8.68,54.34,45.66,16.2,2.08,43.22,3.0638,0.6474,1.0574,-0.0723,2026-06-02 00:00
波动状态,低波动启动,5,1635,中,9.24,54.62,45.38,22.94,7.34,43.73,4.2876,1.0451,1.0355,-0.0642,2026-06-01 16:00
波动状态,低波动启动,10,1633,中强,15.25,57.62,42.38,33.07,17.39,40.17,6.9582,2.8348,1.0128,-0.0927,2026-05-25 16:00
波动状态,高波动扩张,1,511,中强,17.03,41.49,58.51,4.31,0.0,44.03,0.3865,-0.8601,1.0505,-0.0462,2026-05-29 16:00
波动状态,高波动扩张,3,511,中强,23.29,38.36,61.64,12.33,8.81,35.03,-0.1096,-1.9113,0.9438,-0.1658,2026-05-29 16:00
波动状态,高波动扩张,5,511,中强,24.46,37.77,62.23,15.26,20.74,34.25,-0.73,-2.824,0.9411,-0.1591,2026-05-29 16:00
波动状态,高波动扩张,10,511,强,36.59,31.7,68.3,16.05,43.05,27.01,-4.235,-7.9192,0.8651,-0.2435,2026-05-29 16:00
波动状态,高波动冷却,1,655,强,56.03,21.98,78.02,1.37,0.0,22.29,-1.4884,-2.4206,0.7945,-0.2901,2026-05-31 08:00
波动状态,高波动冷却,3,655,强,54.5,22.75,77.25,3.36,14.96,25.34,-3.7563,-4.7581,0.826,-0.2454,2026-05-31 08:00
波动状态,高波动冷却,5,655,强,57.86,21.07,78.93,5.65,34.35,27.02,-5.7873,-6.6953,0.8458,-0.2509,2026-05-31 08:00
波动状态,高波动冷却,10,655,强,65.8,17.1,82.9,7.02,56.03,30.99,-9.6243,-11.7815,0.8804,-0.1929,2026-05-31 08:00
短ATR状态,短ATR降温,1,1857,强,34.41,32.79,67.21,2.75,0.0,29.67,-0.5263,-1.6424,0.8953,-0.2001,2026-06-01 20:00
短ATR状态,短ATR降温,3,1857,强,29.24,35.38,64.62,9.8,7.11,34.79,-0.8665,-2.7041,0.9474,-0.1514,2026-06-01 20:00
短ATR状态,短ATR降温,5,1856,中强,23.17,38.42,61.58,14.82,18.59,35.83,-0.7756,-3.2921,0.9679,-0.1396,2026-06-01 16:00
短ATR状态,短ATR降温,10,1852,中,12.53,43.74,56.26,21.44,28.46,40.01,0.5081,-2.1079,1.0035,-0.1096,2026-05-31 20:00
短ATR状态,短ATR升温,1,1391,弱,6.69,46.66,53.34,4.96,0.0,48.31,1.1824,-0.3802,1.1024,-0.021,2026-05-29 16:00
短ATR状态,短ATR升温,3,1391,弱,0.22,50.11,49.89,16.03,3.88,42.2,2.3393,0.0402,1.0264,-0.0682,2026-05-29 16:00
短ATR状态,短ATR升温,5,1391,弱,0.22,49.89,50.11,21.64,10.57,40.76,2.7689,-0.0246,1.0013,-0.0907,2026-05-29 16:00
短ATR状态,短ATR升温,10,1391,弱,0.5,50.25,49.75,28.54,23.94,36.95,2.6634,0.0789,0.9566,-0.1384,2026-05-29 16:00
短ATR状态,短ATR中性,1,2189,强,25.81,37.09,62.91,2.79,0.0,37.78,0.0031,-1.2112,0.9746,-0.1176,2026-06-02 08:00
短ATR状态,短ATR中性,3,2187,中强,16.42,41.79,58.21,9.69,5.08,37.31,0.3437,-1.4056,0.9788,-0.1267,2026-06-02 00:00
短ATR状态,短ATR中性,5,2186,中,13.54,43.23,56.77,15.65,15.32,37.37,0.8194,-1.7279,0.9777,-0.1255,2026-06-01 04:00
短ATR状态,短ATR中性,10,2185,中,12.95,43.52,56.48,22.97,29.84,36.34,1.9907,-2.5231,0.9767,-0.1276,2026-05-30 04:00
量能状态,放量,1,993,弱,4.13,52.06,47.94,5.74,0.0,53.68,1.8827,0.1726,1.1715,0.038,2026-05-29 16:00
量能状态,放量,3,993,中,8.96,54.48,45.52,17.42,3.12,42.9,3.5008,0.7417,1.0545,-0.0732,2026-05-29 16:00
量能状态,放量,5,993,中,8.96,54.48,45.52,25.28,7.05,42.9,4.3191,1.0174,1.0317,-0.0652,2026-05-29 16:00
