component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,324,强,48.77,25.62,74.38,2.16,0,25.31,-0.8665,-1.7632,0.867,-0.2574,2026-05-02
波动状态,波动压缩,3,324,强,32.72,33.64,66.36,12.96,8.02,36.42,0.5222,-2.7801,1.0101,-0.1678,2026-05-02
波动状态,波动压缩,5,324,强,25.93,37.04,62.96,19.75,20.37,36.73,2.537,-3.7279,1.0532,-0.1624,2026-05-02
波动状态,波动压缩,10,324,中,11.73,44.14,55.86,29.94,26.85,40.43,7.4787,-1.8413,1.0447,-0.1009,2026-05-02
波动状态,常态波动,1,248,中强,18.55,40.73,59.27,3.63,0,32.26,-0.2209,-0.8497,0.9227,-0.1973,2026-03-19
波动状态,常态波动,3,248,强,28.23,35.89,64.11,13.31,8.87,32.66,-0.0435,-2.6546,0.9317,-0.1956,2026-03-19
波动状态,常态波动,5,248,强,29.03,35.48,64.52,13.71,22.58,33.87,-0.9444,-3.7821,0.9043,-0.2142,2026-03-19
波动状态,常态波动,10,248,中强,22.58,38.71,61.29,24.19,40.73,33.06,-1.8956,-4.6179,0.9417,-0.1985,2026-03-19
波动状态,低波动启动,1,362,中,11.6,55.8,44.2,8.01,0,53.31,2.1943,0.7331,1.1844,0.0236,2026-05-04
波动状态,低波动启动,3,362,弱,3.87,51.93,48.07,18.23,3.59,42.54,4.1696,0.3384,1.0535,-0.0742,2026-05-04
波动状态,低波动启动,5,362,中强,19.89,59.94,40.06,27.62,11.88,42.27,5.8911,2.3578,1.0395,-0.0759,2026-05-04
波动状态,低波动启动,10,362,中强,17.68,58.84,41.16,37.85,19.61,39.5,9.0051,3.6545,1.0162,-0.1027,2026-05-04
波动状态,高波动扩张,1,164,弱,1.22,49.39,50.61,7.32,3.66,44.51,0.5267,-0.0496,1.0562,-0.049,2026-05-27
波动状态,高波动扩张,3,163,中强,21.47,39.26,60.74,14.72,17.79,35.58,-0.8865,-2.1409,0.9462,-0.1721,2026-05-26
波动状态,高波动扩张,5,161,强,27.95,36.02,63.98,14.91,27.33,31.06,-1.8802,-4.8277,0.9022,-0.2233,2026-05-24
波动状态,高波动扩张,10,158,中强,24.05,37.97,62.03,22.15,41.77,31.65,-2.9734,-5.4092,0.931,-0.2053,2026-05-18
波动状态,高波动冷却,1,161,强,55.28,22.36,77.64,1.86,0,17.39,-1.8205,-2.3816,0.7584,-0.3065,2026-05-28
波动状态,高波动冷却,3,160,强,53.75,23.13,76.88,6.88,23.13,27.5,-3.6873,-5.405,0.8574,-0.2552,2026-05-21
波动状态,高波动冷却,5,160,强,50,25,75,11.25,41.88,29.38,-5.4322,-8.105,0.885,-0.2329,2026-05-21
波动状态,高波动冷却,10,158,强,63.29,18.35,81.65,6.96,65.82,29.11,-10.759,-14.1211,0.8756,-0.2436,2026-05-19
短ATR状态,短ATR降温,1,515,强,42.52,28.74,71.26,2.91,0,26.99,-0.6908,-1.7747,0.8733,-0.2613,2026-05-02
短ATR状态,短ATR降温,3,515,强,39.81,30.1,69.9,11.07,12.62,33.01,-0.2089,-3.7349,0.9457,-0.224,2026-05-02
短ATR状态,短ATR降温,5,515,强,30.1,34.95,65.05,16.31,27.96,36.7,0.7292,-5.0636,1.0045,-0.1718,2026-05-02
短ATR状态,短ATR降温,10,515,中强,24.66,37.67,62.33,24.66,37.48,37.67,2.3012,-5.2999,0.9699,-0.1515,2026-05-02
短ATR状态,短ATR升温,1,324,弱,4.94,52.47,47.53,8.02,1.23,49.38,1.1995,0.4002,1.1347,-0.0059,2026-05-27
短ATR状态,短ATR升温,3,323,弱,0.93,49.54,50.46,18.27,5.57,42.11,2.0542,-0.1313,1.0305,-0.0725,2026-05-26
短ATR状态,短ATR升温,5,321,弱,7.79,53.89,46.11,23.05,12.46,39.25,2.8843,1.2529,1.0005,-0.119,2026-05-24
短ATR状态,短ATR升温,10,320,弱,0,50,50,27.5,29.06,33.13,1.6647,0.0369,0.9834,-0.1632,2026-05-15
短ATR状态,短ATR中性,1,420,中,11.9,44.05,55.95,4.52,0.48,37.38,0.5219,-0.8246,0.9915,-0.1342,2026-05-28
短ATR状态,短ATR中性,3,419,中强,17.9,41.05,58.95,14.32,10.5,35.56,0.9007,-1.9616,0.9815,-0.1701,2026-05-23
短ATR状态,短ATR中性,5,419,中强,18.85,40.57,59.43,19.57,21.96,32.94,0.5896,-3.0887,0.9313,-0.1882,2026-05-23
短ATR状态,短ATR中性,10,415,中,9.88,45.06,54.94,30.12,34.46,36.63,3.1935,-2.0242,0.9906,-0.184,2026-05-19
量能状态,放量,1,191,中,8.9,54.45,45.55,12.04,1.57,62.3,2.1096,0.6199,1.3286,0.1426,2026-05-09
量能状态,放量,3,191,中,10.99,55.5,44.5,23.04,5.76,50.79,4.0757,1.7719,1.1056,0.0131,2026-05-09
量能状态,放量,5,191,强,25.65,62.83,37.17,28.8,8.9,44.5,5.7103,3.4695,1.0259,-0.0725,2026-05-09
量能状态,放量,10,191,中强,20.42,60.21,39.79,37.7,20.94,38.22,6.2727,3.6094,0.9756,-0.1574,2026-05-09
量能状态,量能正常,1,556,中,11.15,44.42,55.58,3.96,0.36,39.03,0.5567,-0.6677,0.9943,-0.1294,2026-05-25
量能状态,量能正常,3,556,中强,15.47,42.27,57.73,14.21,7.73,37.23,1.4899,-1.3146,0.9997,-0.1501,2026-05-25
量能状态,量能正常,5,555,中,9.91,45.05,54.95,21.26,17.12,37.84,2.5713,-2.0593,1.0163,-0.1354,2026-05-12
量能状态,量能正常,10,555,弱,7.03,46.49,53.51,29.73,28.47,35.5,4.7435,-1.5399,0.9828,-0.1632,2026-05-12
量能状态,缩量,1,512,强,40.63,29.69,70.31,2.93,0.2,23.44,-0.8991,-1.7609,0.8345,-0.2743,2026-05-28
量能状态,缩量,3,510,强,42.75,28.63,71.37,10.39,14.31,29.61,-1.3207,-4.1151,0.9101,-0.2368,2026-05-26
量能状态,缩量,5,509,强,39.88,30.06,69.94,13.16,32.22,31.04,-1.9042,-5.9167,0.9208,-0.2078,2026-05-24
