date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,1.79,波动状态,高波动冷却,90.59,1,161,强,55.28,22.36,77.64,1.86,0,17.39,-1.8205,-2.3816,0.7584,-0.3065
2026-05-29,1.79,波动状态,高波动冷却,90.59,3,160,强,53.75,23.13,76.88,6.88,23.13,27.5,-3.6873,-5.405,0.8574,-0.2552
2026-05-29,1.79,波动状态,高波动冷却,90.59,5,160,强,50,25,75,11.25,41.88,29.38,-5.4322,-8.105,0.885,-0.2329
2026-05-29,1.79,波动状态,高波动冷却,90.59,10,158,强,63.29,18.35,81.65,6.96,65.82,29.11,-10.759,-14.1211,0.8756,-0.2436
2026-05-29,1.79,短ATR状态,短ATR中性,82.49,1,420,中,11.9,44.05,55.95,4.52,0.48,37.38,0.5219,-0.8246,0.9915,-0.1342
2026-05-29,1.79,短ATR状态,短ATR中性,82.49,3,419,中强,17.9,41.05,58.95,14.32,10.5,35.56,0.9007,-1.9616,0.9815,-0.1701
2026-05-29,1.79,短ATR状态,短ATR中性,82.49,5,419,中强,18.85,40.57,59.43,19.57,21.96,32.94,0.5896,-3.0887,0.9313,-0.1882
2026-05-29,1.79,短ATR状态,短ATR中性,82.49,10,415,中,9.88,45.06,54.94,30.12,34.46,36.63,3.1935,-2.0242,0.9906,-0.184
2026-05-29,1.79,余动能状态,余动能不足,45.88,1,580,强,47.24,26.38,73.62,2.24,0,24.14,-1.098,-1.8513,0.8417,-0.2632
2026-05-29,1.79,余动能状态,余动能不足,45.88,3,579,强,38.17,30.92,69.08,11.23,12.44,32.99,-0.7938,-3.8116,0.95,-0.2036
2026-05-29,1.79,余动能状态,余动能不足,45.88,5,579,强,34.72,32.64,67.36,16.23,27.81,32.82,-0.5996,-5.2867,0.9572,-0.2073
2026-05-29,1.79,余动能状态,余动能不足,45.88,10,577,强,27.21,36.4,63.6,22.7,39.86,36.05,0.5908,-6.4566,0.9821,-0.1677
2026-05-29,1.79,趋势状态,强趋势下行,100,1,506,中强,19.76,40.12,59.88,4.94,0.2,28.46,0.5197,-0.895,0.8911,-0.241
2026-05-29,1.79,趋势状态,强趋势下行,100,3,504,强,30.56,34.72,65.28,11.11,11.9,29.76,0.0085,-3.5332,0.8932,-0.2352
2026-05-29,1.79,趋势状态,强趋势下行,100,5,503,强,28.83,35.59,64.41,16.3,29.22,30.82,-0.3253,-4.86,0.9116,-0.2204
2026-05-29,1.79,趋势状态,强趋势下行,100,10,503,强,30.02,34.99,65.01,22.86,43.34,34,-0.4603,-7.6777,0.9397,-0.2073
2026-05-29,1.79,量能状态,缩量,70.16,1,512,强,40.63,29.69,70.31,2.93,0.2,23.44,-0.8991,-1.7609,0.8345,-0.2743
2026-05-29,1.79,量能状态,缩量,70.16,3,510,强,42.75,28.63,71.37,10.39,14.31,29.61,-1.3207,-4.1151,0.9101,-0.2368
2026-05-29,1.79,量能状态,缩量,70.16,5,509,强,39.88,30.06,69.94,13.16,32.22,31.04,-1.9042,-5.9167,0.9208,-0.2078
2026-05-29,1.79,量能状态,缩量,70.16,10,504,强,33.33,33.33,66.67,20.44,45.83,36.11,-1.5626,-8.003,0.9791,-0.1671
