component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,733,强,42.43,28.79,71.21,1.91,0,29.47,-0.7288,-1.6818,0.8827,-0.2288,2026-05-03 16:00
波动状态,波动压缩,3,733,强,30.42,34.79,65.21,9.14,6.28,37.11,0.2725,-2.9494,1.0035,-0.1662,2026-05-03 16:00
波动状态,波动压缩,5,733,中强,19.51,40.25,59.75,16.51,18.14,43.11,2.4828,-2.5071,1.062,-0.0869,2026-05-03 16:00
波动状态,波动压缩,10,733,弱,2.86,48.57,51.43,28.92,25.51,44.34,8.3424,-0.5094,1.0993,-0.0589,2026-05-03 16:00
波动状态,常态波动,1,700,中强,22.57,38.71,61.29,2,0,35.29,-0.0819,-0.9314,0.9703,-0.1442,2026-04-26 00:00
波动状态,常态波动,3,700,强,26.29,36.86,63.14,9.57,6.43,35,-0.5147,-2.5512,0.9375,-0.1741,2026-04-26 00:00
波动状态,常态波动,5,700,中强,24.57,37.71,62.29,17.14,19.29,34.86,-0.2096,-3.1892,0.9661,-0.1491,2026-04-26 00:00
波动状态,常态波动,10,700,中强,19.43,40.29,59.71,23.43,34.14,38.29,0.7718,-4.065,0.9808,-0.1366,2026-04-26 00:00
波动状态,低波动启动,1,849,中,9.54,54.77,45.23,6.48,0,51.12,2.1178,0.4711,1.1676,0.01,2026-05-04 16:00
波动状态,低波动启动,3,849,中,10.25,55.12,44.88,17.9,1.88,47.82,5.8476,0.8339,1.1211,-0.0266,2026-05-04 16:00
波动状态,低波动启动,5,849,中,10.01,55.01,44.99,28.03,9.42,43.35,8.4836,1.6912,1.0644,-0.0706,2026-05-04 16:00
波动状态,低波动启动,10,849,中,12.37,56.18,43.82,34.98,19.43,40.52,14.4106,2.5204,1.0319,-0.1075,2026-05-04 16:00
波动状态,高波动扩张,1,670,弱,0,50,50,6.12,0.9,44.18,0.7178,0.0088,1.0648,-0.0741,2026-05-29 08:00
波动状态,高波动扩张,3,670,中,10.15,44.93,55.07,15.07,8.66,38.21,1.1117,-1.036,1,-0.1391,2026-05-29 08:00
波动状态,高波动扩张,5,669,中强,19.88,40.06,59.94,19.28,21.23,32.29,0.4696,-2.7617,0.9397,-0.2043,2026-05-28 08:00
波动状态,高波动扩张,10,668,强,32.93,33.53,66.47,19.01,40.87,28.89,-2.6437,-7.2859,0.8898,-0.2218,2026-05-26 16:00
波动状态,高波动冷却,1,814,强,47.42,26.29,73.71,1.35,0,22.36,-1.2602,-1.9394,0.8173,-0.2732,2026-05-30 08:00
波动状态,高波动冷却,3,812,强,53.45,23.28,76.72,5.3,13.67,24.14,-3.347,-4.7366,0.8392,-0.2552,2026-05-29 16:00
波动状态,高波动冷却,5,811,强,56.6,21.7,78.3,8.14,32.55,28.48,-4.7742,-7.0133,0.8719,-0.2361,2026-05-29 00:00
