kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,25.42,177,103.1043,6.3673,75.98,37.29,62.71,0.0,39.55,35.59,64.41,0.1604,0.9412
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,29.04,31,40.584,1.8415,37.51,35.48,64.52,0.0,41.94,22.58,77.42,0.1142,0.6018
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,22.28,175,102.8275,6.3426,75.91,38.86,61.14,0.0,36.57,36.57,63.43,0.2943,3.0502
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,48.38,31,40.584,1.8415,37.51,25.81,74.19,0.0,35.48,12.9,87.1,0.3283,1.3066
233MA,ma233,大周期天气过滤,233MA上侧极端,5,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中,15.6,173,102.672,6.3411,75.69,42.2,57.8,0.0,34.1,36.99,63.01,0.2787,5.4299
233MA,ma233,大周期天气过滤,233MA上侧偏离,5,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,41.94,31,40.584,1.8415,37.51,29.03,70.97,0.0,48.39,12.9,87.1,0.4399,1.3223
233MA,ma233,大周期天气过滤,233MA上侧极端,10,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,中强,29.76,168,100.8302,6.2678,74.83,35.12,64.88,0.0,24.4,33.93,66.07,0.6889,11.0964
233MA,ma233,大周期天气过滤,233MA上侧偏离,10,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,16.12,31,40.584,1.8415,37.51,41.94,58.06,0.0,54.84,3.23,96.77,0.1514,2.0281
中值,middle,短期拉伸/回归,中值下侧极端,1,短期过冷,回归倾向强,适合观察反弹/空头止盈，不直接等于大趋势转多,如果大周期仍弱，只能当短线天气看,样本偏少,50.0,4,-23.8739,-2.5572,9.97,75.0,25.0,0.0,75.0,0.0,100.0,-0.2828,3.1649
中值,middle,短期拉伸/回归,中值下侧偏离,1,短期下侧偏离,回归倾向,只做观察项，等待更极端或其他指标共振,优势不够大，不能单独触发策略,样本偏少,3.12,64,-9.001,-0.9568,36.5,48.44,51.56,6.25,59.38,29.69,70.31,0.0133,0.7991
