component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,65,样本偏少,23.08,38.46,61.54,3.08,0.0,44.62,-0.5918,-1.6292,1.0406,-0.0886,2026-05-03
波动超额状态,接近一倍ATR,3,65,样本偏少,38.46,30.77,69.23,12.31,18.46,29.23,-1.9672,-4.3284,0.9553,-0.1389,2026-05-03
波动超额状态,接近一倍ATR,5,64,样本偏少,43.75,28.13,71.88,17.19,31.25,42.19,-3.7118,-5.2659,1.0218,-0.1011,2026-04-19
波动超额状态,接近一倍ATR,10,61,样本偏少,40.98,29.51,70.49,21.31,47.54,39.34,-3.5483,-7.5449,1.0222,-0.0886,2026-03-15
波动超额状态,振幅未满ATR,1,100,样本偏少,46.0,27.0,73.0,8.0,0.0,23.0,-1.1549,-3.9306,0.8233,-0.2698,2026-05-17
波动超额状态,振幅未满ATR,3,98,样本偏少,44.9,27.55,72.45,11.22,37.76,36.73,-4.0564,-7.9377,0.8928,-0.2114,2026-04-05
波动超额状态,振幅未满ATR,5,98,样本偏少,42.86,28.57,71.43,17.35,52.04,27.55,-5.042,-10.5687,0.9697,-0.2571,2026-04-05
波动超额状态,振幅未满ATR,10,96,样本偏少,60.42,19.79,80.21,9.38,55.21,34.38,-6.6377,-13.2685,1.0286,-0.2148,2026-03-01
波动超额状态,振幅已超ATR,1,43,样本偏少,16.28,41.86,58.14,9.3,0.0,48.84,2.0923,-1.4476,1.3026,-0.0122,2026-04-26
波动超额状态,振幅已超ATR,3,43,样本偏少,2.33,48.84,51.16,25.58,13.95,39.53,7.3183,-1.2721,1.2434,-0.1082,2026-04-26
波动超额状态,振幅已超ATR,5,42,样本偏少,4.76,52.38,47.62,21.43,23.81,42.86,9.1091,1.3935,0.9869,-0.0844,2026-01-18
