date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-17,0.37,波动状态,波动压缩,29.08,1,83,样本偏少,44.58,27.71,72.29,1.2,0,24.1,-1.5657,-2.368,0.8231,-0.2646
2026-05-17,0.37,波动状态,波动压缩,29.08,3,82,样本偏少,48.78,25.61,74.39,10.98,28.05,39.02,-4.1412,-7.2273,0.9065,-0.1363
2026-05-17,0.37,波动状态,波动压缩,29.08,5,82,样本偏少,53.66,23.17,76.83,14.63,46.34,28.05,-3.9308,-9.4961,1.0033,-0.2571
2026-05-17,0.37,波动状态,波动压缩,29.08,10,80,样本偏少,55,22.5,77.5,11.25,53.75,38.75,-3.4864,-11.1401,1.083,-0.151
2026-05-17,0.37,短ATR状态,短ATR降温,97.08,1,85,样本偏少,55.29,22.35,77.65,2.35,1.18,27.06,-2.0161,-3.1919,0.8261,-0.2298
2026-05-17,0.37,短ATR状态,短ATR降温,97.08,3,84,样本偏少,61.9,19.05,80.95,7.14,28.57,32.14,-5.2813,-7.3027,0.8911,-0.2135
2026-05-17,0.37,短ATR状态,短ATR降温,97.08,5,83,样本偏少,66.27,16.87,83.13,10.84,51.81,31.33,-8.0953,-10.2563,0.8997,-0.2104
2026-05-17,0.37,短ATR状态,短ATR降温,97.08,10,78,样本偏少,61.54,19.23,80.77,5.13,60.26,35.9,-11.957,-13.9093,0.9574,-0.12
2026-05-17,0.37,余动能状态,余动能不足,19.15,1,98,样本偏少,51.02,24.49,75.51,1.02,0,21.43,-1.9323,-2.4478,0.797,-0.2804
2026-05-17,0.37,余动能状态,余动能不足,19.15,3,97,样本偏少,52.58,23.71,76.29,10.31,29.9,37.11,-4.5918,-7.3665,0.8958,-0.2098
2026-05-17,0.37,余动能状态,余动能不足,19.15,5,97,样本偏少,54.64,22.68,77.32,14.43,46.39,27.84,-4.6762,-9.746,0.9752,-0.2541
2026-05-17,0.37,余动能状态,余动能不足,19.15,10,95,样本偏少,60,20,80,10.53,57.89,34.74,-5.728,-13.1927,1.0324,-0.2131
2026-05-17,0.37,趋势状态,强趋势上行,100,1,141,中强,23.4,38.3,61.7,8.51,3.55,42.55,0.0344,-1.8113,1.1047,-0.0642
2026-05-17,0.37,趋势状态,强趋势上行,100,3,139,中强,19.42,40.29,59.71,17.27,17.99,43.17,0.8769,-2.4518,1.1034,-0.0648
2026-05-17,0.37,趋势状态,强趋势上行,100,5,137,中强,16.79,41.61,58.39,19.71,24.82,41.61,1.9438,-3.9214,1.0845,-0.0803
2026-05-17,0.37,趋势状态,强趋势上行,100,10,132,中强,22.73,38.64,61.36,18.94,35.61,38.64,3.6606,-3.6256,1.0526,-0.1011
2026-05-17,0.37,量能状态,量能正常,63.16,1,90,样本偏少,17.78,41.11,58.89,10,2.22,37.78,1.0515,-1.0322,1.0825,-0.1366
2026-05-17,0.37,量能状态,量能正常,63.16,3,89,样本偏少,25.84,37.08,62.92,17.98,15.73,40.45,0.1354,-2.8936,1.0477,-0.0642
2026-05-17,0.37,量能状态,量能正常,63.16,5,89,样本偏少,25.84,37.08,62.92,15.73,26.97,43.82,0.6349,-4.9153,1.1522,-0.0571
2026-05-17,0.37,量能状态,量能正常,63.16,10,87,样本偏少,26.44,36.78,63.22,19.54,39.08,42.53,4.9915,-4.4108,1.0957,-0.0873
