date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01 16:00,0.34,波动状态,低波动启动,50.18,1,6877,中,11.73,44.13,55.87,5.6,0,45.67,1.1086,-0.5218,1.1042,-0.0498
2026-06-01 16:00,0.34,波动状态,低波动启动,50.18,3,6875,弱,4.99,47.51,52.49,16.7,2.01,42.11,2.7948,-0.4785,1.0609,-0.0918
2026-06-01 16:00,0.34,波动状态,低波动启动,50.18,5,6875,弱,1.61,49.19,50.81,23.29,12.15,40.86,4.3345,-0.1966,1.0447,-0.1022
2026-06-01 16:00,0.34,波动状态,低波动启动,50.18,10,6874,弱,1.51,50.76,49.24,31.89,25.01,37.69,7.2808,0.2972,1.0023,-0.1316
2026-06-01 16:00,0.34,短ATR状态,短ATR中性,97.5,1,6475,强,32.54,33.73,66.27,3.54,0,34.5,-0.0889,-1.3704,0.9646,-0.1635
2026-06-01 16:00,0.34,短ATR状态,短ATR中性,97.5,3,6474,强,26.1,36.95,63.05,11.49,5.81,35.88,0.1964,-2.3845,0.9789,-0.1537
2026-06-01 16:00,0.34,短ATR状态,短ATR中性,97.5,5,6474,中强,21.5,39.25,60.75,16.79,20.36,36.16,0.5351,-3.1791,0.976,-0.1559
2026-06-01 16:00,0.34,短ATR状态,短ATR中性,97.5,10,6474,中强,16.25,41.88,58.12,24.81,33.58,37.78,1.7801,-3.5511,0.9899,-0.1361
2026-06-01 16:00,0.34,波动超额状态,接近一倍ATR,31.97,1,5786,强,27.58,36.21,63.79,3.75,0.02,37.28,0.1148,-1.2068,0.9901,-0.1374
2026-06-01 16:00,0.34,波动超额状态,接近一倍ATR,31.97,3,5785,中强,20.66,39.67,60.33,12.86,4.6,38.2,0.8715,-1.9443,1.0122,-0.1286
2026-06-01 16:00,0.34,波动超额状态,接近一倍ATR,31.97,5,5785,中强,15.75,42.13,57.87,18.67,17.7,36.73,1.673,-2.2394,1.0035,-0.1451
2026-06-01 16:00,0.34,波动超额状态,接近一倍ATR,31.97,10,5784,中,10.51,44.74,55.26,27.33,30.91,37.33,3.6934,-2.2702,0.9921,-0.1359
2026-06-01 16:00,0.34,趋势状态,弱趋势下行,71.88,1,2169,强,39.51,30.24,69.76,3.04,0,31.17,-0.2865,-1.6434,0.9291,-0.2025
2026-06-01 16:00,0.34,趋势状态,弱趋势下行,71.88,3,2169,强,37.39,31.3,68.7,9.82,6.09,31.4,-0.5792,-3.536,0.9336,-0.2064
2026-06-01 16:00,0.34,趋势状态,弱趋势下行,71.88,5,2169,强,34.81,32.6,67.4,14.66,25.17,34.07,-0.5619,-4.8373,0.9623,-0.181
2026-06-01 16:00,0.34,趋势状态,弱趋势下行,71.88,10,2168,强,25,37.5,62.5,22.83,38.7,35.7,1.4913,-5.7667,0.9786,-0.1641
2026-06-01 16:00,0.34,量能状态,量能正常,71.96,1,8508,强,26.7,36.65,63.35,3.91,0,37.93,0.176,-1.1482,0.9963,-0.1279
2026-06-01 16:00,0.34,量能状态,量能正常,71.96,3,8506,中强,20.62,39.69,60.31,12.57,4.68,37.29,0.7557,-2.0042,0.9956,-0.1431
2026-06-01 16:00,0.34,量能状态,量能正常,71.96,5,8506,中强,18.39,40.81,59.19,17.8,18.4,37.62,1.4064,-2.5524,1.0002,-0.1364
2026-06-01 16:00,0.34,量能状态,量能正常,71.96,10,8505,中,12.69,43.66,56.34,26.38,32.06,36.91,3.3267,-2.747,0.9915,-0.1437
