component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,2871,强,30.27,34.87,65.13,4.74,0.03,35.91,0.2248,-1.2883,0.9997,-0.1371,2026-06-01 16:00
波动超额状态,接近一倍ATR,3,2870,中强,21.67,39.16,60.84,13.0,7.39,37.07,0.7877,-2.1914,1.0031,-0.128,2026-05-29 16:00
波动超额状态,接近一倍ATR,5,2870,中强,18.4,40.8,59.2,18.68,19.93,36.76,1.4255,-2.6356,0.9929,-0.1391,2026-05-29 16:00
波动超额状态,接近一倍ATR,10,2870,中,13.45,43.28,56.72,25.96,32.82,37.04,3.2211,-3.1052,1.0084,-0.1344,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,3988,强,44.98,27.51,72.49,3.13,0.05,26.33,-0.9157,-2.0966,0.8581,-0.2439,2026-06-01 00:00
波动超额状态,振幅未满ATR,3,3988,强,42.83,28.59,71.41,9.0,12.79,29.04,-1.8485,-4.2076,0.899,-0.222,2026-06-01 00:00
波动超额状态,振幅未满ATR,5,3986,强,36.73,31.64,68.36,13.05,30.31,32.56,-1.7845,-5.2816,0.9585,-0.1731,2026-05-31 08:00
波动超额状态,振幅未满ATR,10,3982,强,29.68,35.16,64.84,20.57,42.62,34.05,-1.1915,-6.9344,0.9696,-0.1597,2026-05-26 16:00
波动超额状态,振幅已超ATR,1,2100,弱,0.1,49.95,50.05,8.43,0.0,53.14,1.9997,-0.0063,1.208,0.0382,2026-06-01 08:00
波动超额状态,振幅已超ATR,3,2099,弱,7.1,53.55,46.45,23.54,2.76,46.36,4.9638,0.6919,1.1254,-0.039,2026-05-30 08:00
波动超额状态,振幅已超ATR,5,2099,弱,3.76,51.88,48.12,29.25,14.05,40.07,6.3162,0.6201,1.0261,-0.1169,2026-05-30 08:00
波动超额状态,振幅已超ATR,10,2098,弱,5.05,52.53,47.47,35.37,25.79,36.94,8.7416,1.301,0.9844,-0.1503,2026-05-29 08:00
波动状态,波动压缩,1,3312,强,41.06,29.47,70.53,3.02,0.0,29.05,-0.6541,-1.7994,0.8922,-0.2126,2026-06-01 00:00
波动状态,波动压缩,3,3312,强,35.02,32.49,67.51,10.02,8.67,32.22,-0.9288,-3.3258,0.9441,-0.181,2026-06-01 00:00
波动状态,波动压缩,5,3310,强,27.85,36.07,63.93,14.8,23.08,35.59,-0.2821,-3.9998,0.9928,-0.136,2026-05-31 08:00
波动状态,波动压缩,10,3306,中强,19.12,40.44,59.56,23.71,34.3,37.14,1.8507,-4.1434,1.0082,-0.127,2026-05-26 16:00
波动状态,常态波动,1,1009,强,39.35,30.33,69.67,2.97,0.0,28.54,-0.6593,-2.0008,0.8917,-0.2077,2026-05-29 16:00
波动状态,常态波动,3,1009,强,42.52,28.74,71.26,7.73,12.49,29.53,-1.8745,-4.2378,0.9091,-0.1968,2026-05-29 16:00
波动状态,常态波动,5,1009,强,41.92,29.04,70.96,11.89,31.12,30.92,-2.0902,-5.5993,0.9433,-0.1968,2026-05-29 16:00
波动状态,常态波动,10,1009,强,38.75,30.62,69.38,18.24,47.67,32.8,-2.3635,-9.4872,0.9409,-0.1825,2026-05-29 16:00
波动状态,低波动启动,1,3456,中,13.25,43.37,56.63,6.63,0.0,45.66,1.2695,-0.5887,1.1234,-0.047,2026-06-01 16:00
波动状态,低波动启动,3,3454,弱,3.18,48.41,51.59,18.62,2.95,43.72,3.4162,-0.3356,1.0866,-0.066,2026-05-30 08:00
波动状态,低波动启动,5,3454,弱,3.24,48.38,51.62,24.81,14.04,40.39,4.669,-0.4229,1.0308,-0.1096,2026-05-30 08:00
波动状态,低波动启动,10,3453,弱,1.65,50.83,49.17,32.06,25.4,38.95,7.4828,0.3632,1.0245,-0.1205,2026-05-29 08:00
波动状态,高波动扩张,1,508,中,10.63,44.69,55.31,11.02,0.0,50.39,1.7338,-0.7218,1.1638,0.0037,2025-02-04 08:00
波动状态,高波动扩张,3,508,中,12.99,43.5,56.5,24.21,12.99,38.39,3.394,-1.532,1.012,-0.125,2025-02-04 08:00
波动状态,高波动扩张,5,508,弱,7.48,46.26,53.74,29.13,28.35,31.1,3.644,-1.7161,0.9464,-0.2141,2025-02-04 08:00
波动状态,高波动扩张,10,508,中,14.17,42.91,57.09,32.28,42.91,27.36,3.3903,-4.976,0.8803,-0.2424,2025-02-04 08:00
波动状态,高波动冷却,1,674,强,58.75,20.62,79.38,3.41,0.45,16.77,-1.8452,-3.2446,0.743,-0.3504,2025-02-05 16:00
波动状态,高波动冷却,3,674,强,61.72,19.14,80.86,7.42,29.53,18.55,-4.8192,-7.587,0.7642,-0.3413,2025-02-05 16:00
波动状态,高波动冷却,5,674,强,62.02,18.99,81.01,8.16,54.6,22.4,-6.9723,-10.83,0.8084,-0.3056,2025-02-05 16:00
波动状态,高波动冷却,10,674,强,62.91,18.55,81.45,9.94,69.73,22.4,-12.5428,-17.3681,0.8205,-0.2895,2025-02-05 16:00
短ATR状态,短ATR降温,1,3476,强,44.59,27.7,72.3,3.31,0.06,26.73,-0.803,-2.0114,0.8704,-0.2355,2026-05-21 00:00
短ATR状态,短ATR降温,3,3476,强,40.33,29.83,70.17,9.84,11.57,31.3,-1.2425,-3.8947,0.9368,-0.1849,2026-05-21 00:00
短ATR状态,短ATR降温,5,3476,强,33.2,33.4,66.6,13.78,28.28,33.03,-1.1104,-4.9124,0.962,-0.1701,2026-05-21 00:00
短ATR状态,短ATR降温,10,3476,强,25.03,37.49,62.51,22.58,39.64,35.9,0.0722,-5.6135,0.9925,-0.138,2026-05-21 00:00
短ATR状态,短ATR升温,1,2345,弱,7.55,46.23,53.77,8.61,0.0,49.77,1.638,-0.4661,1.1728,-0.0025,2026-05-30 16:00
短ATR状态,短ATR升温,3,2345,弱,1.41,49.3,50.7,22.05,5.25,41.71,3.9369,-0.1694,1.0676,-0.0966,2026-05-30 16:00
短ATR状态,短ATR升温,5,2345,弱,2.86,48.57,51.43,27.89,17.1,37.57,5.0239,-0.4316,1.0062,-0.1386,2026-05-30 16:00
短ATR状态,短ATR升温,10,2342,弱,3.33,48.33,51.67,32.45,30.44,35.61,6.5067,-0.967,0.9743,-0.1578,2026-05-29 16:00
短ATR状态,短ATR中性,1,3138,强,29.89,35.05,64.95,3.86,0.03,35.09,0.0456,-1.3169,0.973,-0.1537,2026-06-01 16:00
短ATR状态,短ATR中性,3,3136,中强,23.79,38.11,61.89,11.7,8.13,36.0,0.126,-2.3757,0.9778,-0.1515,2026-06-01 00:00
短ATR状态,短ATR中性,5,3134,中强,22.08,38.96,61.04,17.13,22.05,37.17,0.7385,-2.9846,0.9958,-0.1345,2026-05-31 08:00
短ATR状态,短ATR中性,10,3132,中强,16.41,41.79,58.21,24.3,34.77,35.5,2.3468,-3.7489,0.9861,-0.161,2026-05-24 08:00
