component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,602,中强,19.27,40.37,59.63,9.14,0.66,40.86,0.7128,-1.4126,1.0292,-0.1196,2026-05-23
波动超额状态,接近一倍ATR,3,602,弱,7.97,46.01,53.99,16.61,12.96,36.71,1.5872,-1.0502,0.9792,-0.1491,2026-05-23
波动超额状态,接近一倍ATR,5,602,弱,4.32,47.84,52.16,22.43,23.09,37.21,2.6757,-1.0343,0.9993,-0.1417,2026-05-23
波动超额状态,接近一倍ATR,10,601,弱,2.83,48.59,51.41,30.28,29.28,39.43,4.3859,-0.6604,1.0321,-0.1157,2026-05-19
波动超额状态,振幅未满ATR,1,833,强,37.09,31.45,68.55,5.64,0.72,26.17,-0.6561,-2.2699,0.8504,-0.236,2026-05-31
波动超额状态,振幅未满ATR,3,831,强,34.06,32.97,67.03,12.39,15.76,31.17,-1.1185,-3.7777,0.9141,-0.2001,2026-05-29
波动超额状态,振幅未满ATR,5,829,强,27.86,36.07,63.93,15.44,30.64,31.97,-1.3502,-5.0172,0.9174,-0.1914,2026-05-26
波动超额状态,振幅未满ATR,10,826,强,27.36,36.32,63.68,19.01,41.4,33.29,-1.8543,-6.897,0.9157,-0.1794,2026-05-21
波动超额状态,振幅已超ATR,1,417,中,10.31,44.84,55.16,8.39,0.72,49.4,1.2615,-0.5059,1.109,-0.0083,2026-05-27
波动超额状态,振幅已超ATR,3,417,弱,4.08,52.04,47.96,18.94,9.59,45.56,3.0247,0.5191,1.0548,-0.0564,2026-05-27
波动超额状态,振幅已超ATR,5,417,中,10.79,55.4,44.6,26.14,17.27,43.17,4.1165,0.989,1.018,-0.091,2026-05-27
波动超额状态,振幅已超ATR,10,416,中,11.06,55.53,44.47,34.86,25.0,37.02,7.1817,3.1584,0.9702,-0.1523,2026-05-22
波动状态,波动压缩,1,544,强,35.66,32.17,67.83,5.33,0.0,31.25,-0.2044,-1.9163,0.9047,-0.2039,2026-05-31
波动状态,波动压缩,3,542,强,26.94,36.53,63.47,13.65,7.56,36.9,0.4045,-2.9357,0.9741,-0.1611,2026-05-29
波动状态,波动压缩,5,540,中强,16.67,41.67,58.33,17.04,21.67,37.96,0.9724,-2.6656,0.9673,-0.1391,2026-05-26
波动状态,波动压缩,10,537,中,11.73,44.13,55.87,24.02,30.73,38.73,2.7916,-2.5947,0.9699,-0.1439,2026-05-21
波动状态,常态波动,1,326,强,28.22,35.89,64.11,7.36,0.92,35.89,-0.0984,-1.9763,0.9456,-0.1606,2026-05-15
波动状态,常态波动,3,326,中强,21.47,39.26,60.74,14.72,16.56,34.97,0.0391,-2.2271,0.9494,-0.1593,2026-05-15
波动状态,常态波动,5,326,中强,18.4,40.8,59.2,19.02,25.46,34.05,0.5541,-3.7299,0.9744,-0.1443,2026-05-15
波动状态,常态波动,10,326,中强,17.18,41.41,58.59,22.7,32.82,38.96,0.5939,-2.8577,0.9944,-0.0999,2026-05-15
