component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,17,样本偏少,29.41,35.29,64.71,17.65,17.65,23.53,-0.9458,-2.8653,0.839,-0.2142,2026-05-03
波动超额状态,接近一倍ATR,3,17,样本偏少,17.65,58.82,41.18,29.41,17.65,17.65,2.3901,1.3789,0.6838,-0.3134,2026-05-03
波动超额状态,接近一倍ATR,5,16,样本偏少,0.0,50.0,50.0,31.25,37.5,18.75,-1.103,1.8988,0.7146,-0.3341,2026-02-08
波动超额状态,接近一倍ATR,10,16,样本偏少,12.5,56.25,43.75,50.0,31.25,25.0,11.7453,9.8102,0.6807,-0.3603,2026-02-08
波动超额状态,振幅未满ATR,1,42,样本偏少,14.29,42.86,57.14,11.9,21.43,16.67,0.234,-1.4889,0.6926,-0.4441,2026-05-17
波动超额状态,振幅未满ATR,3,40,样本偏少,25.0,37.5,62.5,22.5,40.0,25.0,-1.4815,-6.8773,0.786,-0.4098,2026-04-26
波动超额状态,振幅未满ATR,5,39,样本偏少,23.08,38.46,61.54,25.64,46.15,20.51,1.2429,-5.2423,0.7351,-0.3935,2026-04-19
波动超额状态,振幅未满ATR,10,34,样本偏少,29.41,35.29,64.71,35.29,58.82,20.59,-4.5268,-18.395,0.7672,-0.2905,2026-03-15
波动超额状态,振幅已超ATR,1,6,样本偏少,66.67,83.33,16.67,33.33,16.67,50.0,4.3336,3.9222,0.9922,0.0475,2025-11-09
波动超额状态,振幅已超ATR,3,6,样本偏少,33.33,66.67,33.33,16.67,16.67,16.67,1.3712,2.2655,0.8253,-0.1762,2025-11-09
波动超额状态,振幅已超ATR,5,6,样本偏少,33.33,33.33,66.67,0.0,33.33,50.0,-9.1733,-7.299,1.1363,0.1332,2025-11-09
波动超额状态,振幅已超ATR,10,6,样本偏少,0.0,50.0,50.0,50.0,33.33,50.0,2.5023,2.6183,1.3221,0.0148,2025-11-09
波动状态,波动压缩,1,2,样本偏少,0.0,50.0,50.0,50.0,0.0,50.0,9.6315,9.6315,0.9139,-0.0862,2025-09-14
波动状态,波动压缩,3,2,样本偏少,100.0,100.0,0.0,100.0,0.0,100.0,40.8042,40.8042,2.1037,1.1037,2025-09-14
波动状态,波动压缩,5,2,样本偏少,100.0,100.0,0.0,100.0,0.0,50.0,55.251,55.251,1.77,0.7701,2025-09-14
波动状态,波动压缩,10,2,样本偏少,100.0,100.0,0.0,100.0,0.0,50.0,50.5759,50.5759,1.0994,0.0994,2025-09-14
波动状态,常态波动,1,10,样本偏少,40.0,30.0,70.0,10.0,10.0,30.0,1.0543,-2.9797,0.9488,-0.3453,2026-05-10
波动状态,常态波动,3,9,样本偏少,11.11,55.56,44.44,22.22,33.33,22.22,0.2748,0.5021,0.8385,-0.2142,2026-01-04
波动状态,常态波动,5,9,样本偏少,11.11,44.44,55.56,33.33,44.44,44.44,6.1886,-1.0008,0.9402,-0.0059,2026-01-04
波动状态,常态波动,10,9,样本偏少,11.11,44.44,55.56,44.44,55.56,33.33,-0.264,-21.1384,0.8178,-0.2312,2026-01-04
