date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01 16:00,3,波动状态,低波动启动,73.7,1,3799,中,11.24,44.38,55.62,5.53,0,45.59,0.9784,-0.4942,1.0934,-0.0465
2026-06-01 16:00,3,波动状态,低波动启动,73.7,3,3798,弱,0.63,49.68,50.32,15.51,1.82,43.21,2.4156,-0.0487,1.0558,-0.0695
2026-06-01 16:00,3,波动状态,低波动启动,73.7,5,3796,弱,3.69,51.84,48.16,22.52,9.38,40.83,3.4859,0.501,1.0213,-0.0975
2026-06-01 16:00,3,波动状态,低波动启动,73.7,10,3794,弱,7.8,53.9,46.1,32.18,19.5,37.9,5.4805,1.6301,0.992,-0.1308
2026-06-01 16:00,3,短ATR状态,短ATR中性,88.61,1,5017,强,28.36,35.82,64.18,3.59,0,36.44,-0.0213,-1.2282,0.9784,-0.1338
2026-06-01 16:00,3,短ATR状态,短ATR中性,88.61,3,5015,中强,20.52,39.74,60.26,10.73,4.83,36.91,0.1955,-1.8359,0.9839,-0.137
2026-06-01 16:00,3,短ATR状态,短ATR中性,88.61,5,5014,中强,15.88,42.06,57.94,16.43,16.15,37.65,0.6291,-2.056,0.9938,-0.1327
2026-06-01 16:00,3,短ATR状态,短ATR中性,88.61,10,5014,中,13.2,43.4,56.6,23.87,28.58,36.72,1.4848,-2.3508,0.9805,-0.1425
2026-06-01 16:00,3,波动超额状态,振幅已超ATR,39.18,1,2906,中,8.19,45.91,54.09,6.23,0.03,48.59,1.2432,-0.3323,1.1291,-0.0139
2026-06-01 16:00,3,波动超额状态,振幅已超ATR,39.18,3,2906,弱,2.34,48.83,51.17,16.31,2.79,42.81,2.5975,-0.1963,1.0523,-0.0683
2026-06-01 16:00,3,波动超额状态,振幅已超ATR,39.18,5,2905,弱,1.34,50.67,49.33,21.82,11.33,40.14,3.26,0.2516,1.0089,-0.1013
2026-06-01 16:00,3,波动超额状态,振幅已超ATR,39.18,10,2904,弱,0.07,49.97,50.03,29.51,23.69,35.67,3.9432,-0.0469,0.9721,-0.1497
2026-06-01 16:00,3,趋势状态,弱趋势下行,75,1,1220,强,31.64,34.18,65.82,3.44,0,34.18,-0.1909,-1.4052,0.9524,-0.1648
2026-06-01 16:00,3,趋势状态,弱趋势下行,75,3,1220,强,25.57,37.21,62.79,10.57,4.84,35.25,0.2921,-2.395,0.9714,-0.1502
2026-06-01 16:00,3,趋势状态,弱趋势下行,75,5,1220,强,26.07,36.97,63.03,16.56,18.69,34.59,0.6565,-3.2562,0.9653,-0.1518
2026-06-01 16:00,3,趋势状态,弱趋势下行,75,10,1217,中强,18.65,40.67,59.33,22.76,31.64,36.48,1.9567,-3.1159,0.9958,-0.1424
2026-06-01 16:00,3,量能状态,缩量,7.93,1,5442,强,38.74,30.63,69.37,2.88,0.02,30.49,-0.5579,-1.706,0.9044,-0.1953
2026-06-01 16:00,3,量能状态,缩量,7.93,3,5442,强,33.37,33.31,66.69,8.6,7.28,31.75,-1.2257,-3.0773,0.9237,-0.1842
2026-06-01 16:00,3,量能状态,缩量,7.93,5,5441,强,29.61,35.2,64.8,14,22.37,35.18,-1.1707,-3.8134,0.9608,-0.1598
2026-06-01 16:00,3,量能状态,缩量,7.93,10,5437,中强,22.42,38.79,61.21,20.65,34.54,39.29,-0.5963,-4.4173,1.0023,-0.1193
