component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,203,中强,19.21,40.39,59.61,1.48,0,28.08,-0.3028,-0.8447,0.8715,-0.2463,2026-05-19
波动状态,波动压缩,3,203,强,28.08,35.96,64.04,13.3,8.87,31.03,0.4017,-2.7692,0.9202,-0.2175,2026-05-19
波动状态,波动压缩,5,203,中强,16.26,41.87,58.13,20.69,22.66,39.41,1.1958,-3.0359,1.0385,-0.1226,2026-05-19
波动状态,波动压缩,10,203,中,11.33,44.33,55.67,27.09,30.54,37.44,3.9438,-3.9012,1.0134,-0.1226,2026-05-19
波动状态,常态波动,1,124,弱,6.45,46.77,53.23,2.42,1.61,23.39,-0.0693,-0.3688,0.8375,-0.244,2026-04-08
波动状态,常态波动,3,124,中,9.68,45.16,54.84,20.16,17.74,29.84,0.2102,-2.0831,0.9002,-0.1798,2026-04-08
波动状态,常态波动,5,124,弱,4.84,47.58,52.42,20.16,27.42,28.23,1.1879,-1.4358,0.862,-0.2578,2026-04-08
波动状态,常态波动,10,124,中,8.06,45.97,54.03,13.71,33.87,27.42,-2.4559,-1.8329,0.9199,-0.2157,2026-04-08
波动状态,低波动启动,1,267,中强,19.85,59.93,40.07,13.86,6.37,51.69,1.6932,1.7669,1.1543,0.0236,2026-05-27
波动状态,低波动启动,3,266,中强,15.04,57.52,42.48,25.19,7.89,48.87,4.0683,1.8639,1.1097,-0.0123,2026-05-26
波动状态,低波动启动,5,264,中强,17.42,58.71,41.29,30.3,12.12,41.29,5.3273,2.0726,1.0187,-0.0751,2026-05-24
波动状态,低波动启动,10,259,强,33.59,66.8,33.2,39.38,11.97,39,8.1566,5.4652,0.9783,-0.1384,2026-05-18
波动状态,高波动扩张,1,52,样本偏少,3.85,51.92,48.08,23.08,17.31,25,0.9316,0.476,0.866,-0.2755,2026-05-28
波动状态,高波动扩张,3,51,样本偏少,17.65,41.18,58.82,13.73,31.37,7.84,-1.9052,-3.0886,0.7095,-0.2925,2026-02-05
波动状态,高波动扩张,5,51,样本偏少,17.65,41.18,58.82,21.57,35.29,15.69,-2.7541,-3.7137,0.7682,-0.3782,2026-02-05
波动状态,高波动扩张,10,51,样本偏少,49.02,25.49,74.51,15.69,50.98,21.57,-7.6229,-10.6035,0.7701,-0.2963,2026-02-05
波动状态,高波动冷却,1,162,强,38.27,30.86,69.14,2.47,0.62,11.73,-1.5567,-2.4127,0.7214,-0.3436,2026-02-09
波动状态,高波动冷却,3,162,强,54.32,22.84,77.16,10.49,27.16,12.96,-3.6905,-5.7486,0.7335,-0.3443,2026-02-09
波动状态,高波动冷却,5,162,强,50.62,24.69,75.31,13.58,49.38,13.58,-5.9462,-9.6466,0.7449,-0.3115,2026-02-09
波动状态,高波动冷却,10,162,强,50.62,24.69,75.31,16.05,56.79,19.14,-8.1563,-13.9678,0.8029,-0.3078,2026-02-09
