date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0.35,波动状态,高波动扩张,71.37,1,52,样本偏少,3.85,51.92,48.08,23.08,17.31,25,0.9316,0.476,0.866,-0.2755
2026-05-29,0.35,波动状态,高波动扩张,71.37,3,51,样本偏少,17.65,41.18,58.82,13.73,31.37,7.84,-1.9052,-3.0886,0.7095,-0.2925
2026-05-29,0.35,波动状态,高波动扩张,71.37,5,51,样本偏少,17.65,41.18,58.82,21.57,35.29,15.69,-2.7541,-3.7137,0.7682,-0.3782
2026-05-29,0.35,波动状态,高波动扩张,71.37,10,51,样本偏少,49.02,25.49,74.51,15.69,50.98,21.57,-7.6229,-10.6035,0.7701,-0.2963
2026-05-29,0.35,短ATR状态,短ATR升温,100,1,144,中,11.11,55.56,44.44,12.5,6.94,56.94,1.2297,1.0778,1.1702,0.0733
2026-05-29,0.35,短ATR状态,短ATR升温,100,3,142,中,11.27,55.63,44.37,24.65,9.86,48.59,3.7038,1.5509,1.0728,-0.02
2026-05-29,0.35,短ATR状态,短ATR升温,100,5,140,中强,22.86,61.43,38.57,34.29,12.86,42.14,5.3621,3.8126,1.0144,-0.0936
2026-05-29,0.35,短ATR状态,短ATR升温,100,10,136,强,35.29,67.65,32.35,38.24,11.76,39.71,6.1494,6.0418,1.0198,-0.138
2026-05-29,0.35,余动能状态,动能已超ATR,67.36,1,156,中,8.97,54.49,45.51,22.44,14.74,59.62,1.6111,1.6022,1.2188,0.106
2026-05-29,0.35,余动能状态,动能已超ATR,67.36,3,155,中强,16.13,58.06,41.94,29.68,16.77,43.23,3.692,2.2745,1.0162,-0.0827
2026-05-29,0.35,余动能状态,动能已超ATR,67.36,5,153,强,26.8,63.4,36.6,30.72,15.03,36.6,4.5382,3.2634,0.9579,-0.1231
2026-05-29,0.35,余动能状态,动能已超ATR,67.36,10,149,强,27.52,63.76,36.24,41.61,17.45,37.58,6.0253,5.3187,0.9646,-0.1794
2026-05-29,0.35,趋势状态,强趋势上行,100,1,184,中,8.7,54.35,45.65,9.24,7.61,62.5,0.6887,0.4796,1.2575,0.091
2026-05-29,0.35,趋势状态,强趋势上行,100,3,182,中强,21.98,60.99,39.01,26.92,9.34,51.65,4.5389,3.4392,1.1022,0.0118
2026-05-29,0.35,趋势状态,强趋势上行,100,5,180,强,35.56,67.78,32.22,37.22,8.89,48.33,7.0359,6.1766,1.0671,-0.0187
2026-05-29,0.35,趋势状态,强趋势上行,100,10,176,强,47.73,73.86,26.14,44.89,6.25,38.07,9.5027,8.0776,0.9517,-0.1391
2026-05-29,0.35,量能状态,量能正常,57.46,1,294,弱,1.36,49.32,50.68,7.82,3.4,35.71,0.5159,-0.1871,0.9591,-0.16
2026-05-29,0.35,量能状态,量能正常,57.46,3,294,中,8.84,45.58,54.42,16.33,11.9,33.67,1.1243,-0.6255,0.9342,-0.1903
2026-05-29,0.35,量能状态,量能正常,57.46,5,294,弱,3.4,48.3,51.7,22.45,22.45,33.67,1.3984,-0.5693,0.935,-0.1746
2026-05-29,0.35,量能状态,量能正常,57.46,10,293,弱,1.02,49.49,50.51,24.57,27.99,32.08,1.0454,-0.0805,0.9441,-0.2099
