component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,947,中强,21.65,39.18,60.82,4.96,0.11,39.07,0.3875,-1.1125,1.0052,-0.1181,2026-06-01 08:00
波动超额状态,接近一倍ATR,3,947,中强,18.06,40.97,59.03,13.09,7.39,37.06,0.6259,-1.6355,0.9749,-0.1315,2026-06-01 08:00
波动超额状态,接近一倍ATR,5,946,中,14.16,42.92,57.08,19.45,19.34,36.89,1.0097,-2.0847,0.9874,-0.1298,2026-05-31 08:00
波动超额状态,接近一倍ATR,10,945,弱,5.19,47.41,52.59,28.78,30.58,40.42,3.0563,-1.4065,1.0092,-0.1045,2026-05-29 16:00
波动超额状态,振幅未满ATR,1,1269,强,39.64,30.18,69.82,2.84,0.0,26.79,-0.9682,-2.1455,0.8476,-0.2399,2026-05-31 00:00
波动超额状态,振幅未满ATR,3,1269,强,35.38,32.31,67.69,9.22,12.84,31.52,-1.3596,-3.5332,0.918,-0.2057,2026-05-31 00:00
波动超额状态,振幅未满ATR,5,1269,强,32.39,33.81,66.19,13.55,24.9,35.78,-1.406,-4.5605,0.9559,-0.1534,2026-05-31 00:00
波动超额状态,振幅未满ATR,10,1268,强,29.97,35.02,64.98,20.27,38.72,35.02,-1.4367,-6.5723,0.9535,-0.1562,2026-05-30 00:00
波动超额状态,振幅已超ATR,1,684,弱,0.88,49.56,50.44,10.09,0.0,55.12,2.0871,-0.0437,1.2068,0.0682,2026-06-02 00:00
波动超额状态,振幅已超ATR,3,682,中,14.08,57.04,42.96,22.73,4.25,49.27,4.4321,1.1502,1.1196,-0.0079,2026-06-01 00:00
波动超额状态,振幅已超ATR,5,681,中,14.54,57.27,42.73,30.54,13.66,41.7,6.2292,2.3472,1.0325,-0.0961,2026-05-31 16:00
波动超额状态,振幅已超ATR,10,678,中,10.03,55.01,44.99,38.2,23.3,37.91,8.5654,3.3317,1.0048,-0.1292,2026-05-29 00:00
波动状态,波动压缩,1,741,强,35.22,32.39,67.61,2.56,0.0,31.85,-0.6937,-1.7776,0.8923,-0.1911,2026-05-20 00:00
波动状态,波动压缩,3,741,中强,23.35,38.33,61.67,10.8,7.69,37.65,0.0719,-2.1339,0.9857,-0.1384,2026-05-20 00:00
波动状态,波动压缩,5,741,中,13.63,43.18,56.82,16.46,16.46,41.57,1.2162,-1.5822,1.0213,-0.0858,2026-05-20 00:00
波动状态,波动压缩,10,741,中,8.23,45.88,54.12,27.26,25.91,40.62,3.9061,-1.7317,1.0202,-0.0945,2026-05-20 00:00
波动状态,常态波动,1,423,强,33.33,33.33,66.67,2.6,0.0,29.08,-0.5821,-2.008,0.8686,-0.2407,2026-05-27 08:00
波动状态,常态波动,3,423,强,37.59,31.21,68.79,8.27,10.64,31.91,-1.304,-3.1514,0.9347,-0.1834,2026-05-27 08:00
波动状态,常态波动,5,423,强,31.44,34.28,65.72,14.89,24.35,35.7,-1.0045,-4.6126,0.9593,-0.1458,2026-05-27 08:00
波动状态,常态波动,10,423,强,27.66,36.17,63.83,21.51,37.83,38.3,-0.2419,-5.7741,0.9698,-0.1311,2026-05-27 08:00
波动状态,低波动启动,1,876,弱,3.42,48.29,51.71,7.65,0.0,51.48,1.8048,-0.1348,1.1818,0.0224,2026-05-26 08:00
波动状态,低波动启动,3,876,中,12.33,56.16,43.84,20.66,2.85,48.17,4.1154,1.0297,1.1116,-0.0222,2026-05-26 08:00
波动状态,低波动启动,5,876,中强,16.44,58.22,41.78,29.79,11.3,45.21,6.2421,2.5654,1.0787,-0.0611,2026-05-26 08:00
波动状态,低波动启动,10,876,中强,24.89,62.44,37.56,41.44,17.69,44.52,10.9494,6.1476,1.0728,-0.0702,2026-05-26 08:00
波动状态,高波动扩张,1,390,中强,22.05,38.97,61.03,9.74,0.26,42.56,0.76,-1.3673,1.0488,-0.0783,2026-06-02 00:00
波动状态,高波动扩张,3,388,中强,19.07,40.46,59.54,16.75,11.86,34.28,0.7803,-2.1865,0.9442,-0.1715,2026-06-01 08:00
波动状态,高波动扩张,5,386,中强,22.8,38.6,61.4,19.69,24.61,28.24,-0.117,-3.8186,0.8841,-0.2132,2026-05-31 16:00
波动状态,高波动扩张,10,383,强,36.81,31.59,68.41,19.84,44.65,28.98,-4.2878,-7.4833,0.8668,-0.2455,2026-05-29 08:00
波动状态,高波动冷却,1,470,强,41.7,29.15,70.85,3.62,0.0,23.62,-1.1727,-2.5705,0.8088,-0.2675,2026-05-31 08:00
波动状态,高波动冷却,3,470,强,48.09,25.96,74.04,7.45,18.94,25.11,-3.233,-5.0507,0.8213,-0.2679,2026-05-31 08:00
波动状态,高波动冷却,5,470,强,57.02,21.49,78.51,8.94,36.81,26.17,-5.2897,-7.7317,0.8545,-0.2532,2026-05-31 08:00
