component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,125,中,10.4,44.8,55.2,0.8,0,30.4,-0.3163,-0.3293,0.8878,-0.1898,2026-05-26
波动状态,波动压缩,3,125,中强,21.6,39.2,60.8,12.8,8.8,38.4,-0.4272,-2.7142,0.9387,-0.1729,2026-05-26
波动状态,波动压缩,5,124,中,12.9,43.55,56.45,15.32,16.94,38.71,-0.698,-1.854,0.9935,-0.1285,2026-05-21
波动状态,波动压缩,10,123,弱,2.44,48.78,51.22,19.51,19.51,35.77,1.4644,-0.6459,0.9689,-0.0959,2026-05-19
波动状态,常态波动,1,88,样本偏少,15.91,42.05,57.95,2.27,0,22.73,-0.8753,-0.6794,0.7823,-0.2825,2026-05-28
波动状态,常态波动,3,87,样本偏少,31.03,34.48,65.52,13.79,8.05,36.78,0.0008,-2.5685,0.8699,-0.2241,2026-05-15
波动状态,常态波动,5,87,样本偏少,21.84,39.08,60.92,18.39,20.69,28.74,0.4422,-2.3317,0.887,-0.1973,2026-05-15
波动状态,常态波动,10,87,样本偏少,24.14,37.93,62.07,19.54,28.74,43.68,1.3446,-3.1847,0.9893,-0.1207,2026-05-15
波动状态,低波动启动,1,191,中强,16.23,58.12,41.88,10.99,2.09,48.69,1.6337,1.6869,1.0992,-0.0046,2026-05-27
波动状态,低波动启动,3,190,中,14.74,57.37,42.63,22.11,4.74,40,3.6592,1.0571,1.0492,-0.0999,2026-05-25
波动状态,低波动启动,5,189,中强,20.63,60.32,39.68,25.4,5.82,38.1,5.529,2.6669,0.9671,-0.1212,2026-05-24
波动状态,低波动启动,10,185,中强,22.16,61.08,38.92,37.84,12.97,36.76,8.824,3.9586,0.9386,-0.1921,2026-05-17
波动状态,高波动扩张,1,54,样本偏少,3.7,51.85,48.15,22.22,25.93,37.04,1.3473,0.9051,1.0024,-0.2105,2026-02-11
波动状态,高波动扩张,3,54,样本偏少,29.63,35.19,64.81,18.52,27.78,16.67,0.1616,-3.9014,0.7562,-0.2984,2026-02-11
波动状态,高波动扩张,5,54,样本偏少,25.93,37.04,62.96,22.22,37.04,27.78,-0.2672,-3.0825,0.8629,-0.2473,2026-02-11
波动状态,高波动扩张,10,54,样本偏少,33.33,33.33,66.67,18.52,50,14.81,-3.2054,-9.9607,0.8122,-0.3328,2026-02-11
波动状态,高波动冷却,1,97,样本偏少,44.33,27.84,72.16,1.03,0,10.31,-1.9177,-2.323,0.6503,-0.4093,2026-02-12
波动状态,高波动冷却,3,97,样本偏少,40.21,29.9,70.1,11.34,29.9,15.46,-3.9442,-5.7019,0.7356,-0.3879,2026-02-12
波动状态,高波动冷却,5,97,样本偏少,46.39,26.8,73.2,9.28,42.27,18.56,-5.9875,-7.6729,0.7426,-0.3879,2026-02-12
波动状态,高波动冷却,10,97,样本偏少,52.58,23.71,76.29,7.22,56.7,17.53,-10.6228,-12.8078,0.7602,-0.3814,2026-02-12
短ATR状态,短ATR降温,1,295,中强,19.32,40.34,59.66,3.39,1.02,25.76,-0.647,-1.464,0.8197,-0.2796,2026-05-26
短ATR状态,短ATR降温,3,295,强,26.1,36.95,63.05,12.2,13.56,28.14,-1.4386,-2.9226,0.8514,-0.2243,2026-05-26
