date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-29,0.25,波动状态,高波动扩张,59.96,1,285,弱,5.26,47.37,52.63,17.89,13.33,45.61,0.6845,-0.9452,1.1399,-0.0486
2026-05-29,0.25,波动状态,高波动扩张,59.96,3,285,中,13.68,43.16,56.84,17.54,24.21,34.74,0.7306,-1.7249,0.9875,-0.2013
2026-05-29,0.25,波动状态,高波动扩张,59.96,5,285,中强,22.81,38.6,61.4,18.6,28.77,31.23,0.5727,-4.1615,0.9507,-0.2169
2026-05-29,0.25,波动状态,高波动扩张,59.96,10,285,强,27.72,36.14,63.86,25.96,45.96,27.37,-0.0486,-8.6367,0.8781,-0.2591
2026-05-29,0.25,短ATR状态,短ATR升温,100,1,651,中,8.14,54.07,45.93,14.29,4.92,53.3,2.3122,0.7309,1.2578,0.0334
2026-05-29,0.25,短ATR状态,短ATR升温,100,3,649,弱,7.24,53.62,46.38,24.04,11.09,41.29,4.5368,0.9811,1.1173,-0.095
2026-05-29,0.25,短ATR状态,短ATR升温,100,5,648,弱,3.4,51.7,48.3,27.78,15.9,35.96,6.2556,0.8076,1.0433,-0.172
2026-05-29,0.25,短ATR状态,短ATR升温,100,10,648,弱,2.47,51.23,48.77,33.33,29.17,31.48,9.1058,0.4266,0.9463,-0.2312
2026-05-29,0.25,余动能状态,动能已超ATR,100,1,647,中,11.59,55.8,44.2,16.54,5.87,57.34,2.5897,1.5062,1.3176,0.0761
2026-05-29,0.25,余动能状态,动能已超ATR,100,3,645,中,9.15,54.57,45.43,24.34,9.92,45.58,4.7868,0.8003,1.146,-0.0471
2026-05-29,0.25,余动能状态,动能已超ATR,100,5,644,中,9.94,54.97,45.03,29.97,13.04,36.02,7.4929,1.3844,1.0673,-0.1398
2026-05-29,0.25,余动能状态,动能已超ATR,100,10,642,中,8.41,54.21,45.79,36.14,24.77,36.45,11.4833,1.4937,0.9977,-0.18
2026-05-29,0.25,趋势状态,强趋势上行,100,1,873,中,9.05,45.48,54.52,8.25,3.78,50.97,0.8503,-0.6417,1.2166,0.0118
2026-05-29,0.25,趋势状态,强趋势上行,100,3,871,中,9.07,54.54,45.46,21.13,6.54,46.15,3.9105,1.0577,1.1527,-0.0372
2026-05-29,0.25,趋势状态,强趋势上行,100,5,871,中,11.6,55.8,44.2,28.36,9.99,41.56,6.7111,1.731,1.105,-0.099
2026-05-29,0.25,趋势状态,强趋势上行,100,10,871,中,14.35,57.18,42.82,35.48,17.45,38.92,11.4439,2.2234,1.0306,-0.1278
2026-05-29,0.25,量能状态,放量,100,1,475,弱,1.89,50.95,49.05,14.74,5.47,64,2.3354,0.1451,1.4057,0.1674
2026-05-29,0.25,量能状态,放量,100,3,473,中,14.16,57.08,42.92,25.37,8.03,49.89,5.5283,1.4079,1.1936,-0.0014
2026-05-29,0.25,量能状态,放量,100,5,472,中,14.83,57.42,42.58,33.69,10.81,42.8,8.7012,2.0326,1.1459,-0.0816
2026-05-29,0.25,量能状态,放量,100,10,472,中强,17.8,58.9,41.1,42.16,21.19,38.98,14.8992,3.494,1.0236,-0.1739
