date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31 00:00,0.24,波动状态,高波动扩张,80.04,1,1753,弱,3.48,51.74,48.26,6.56,0.34,46.55,1.3414,0.1676,1.1225,-0.0382
2026-05-31 00:00,0.24,波动状态,高波动扩张,80.04,3,1752,中,8.22,45.89,54.11,14.61,5.25,37.33,2.1832,-0.8603,1.0033,-0.1289
2026-05-31 00:00,0.24,波动状态,高波动扩张,80.04,5,1751,中,10.11,44.95,55.05,19.93,15.76,37.81,2.5573,-1.0649,0.9954,-0.1288
2026-05-31 00:00,0.24,波动状态,高波动扩张,80.04,10,1746,中强,16.72,41.64,58.36,25.09,32.36,31.44,2.2203,-3.8971,0.9315,-0.1823
2026-05-31 00:00,0.24,短ATR状态,短ATR升温,100,1,2101,弱,3.57,51.78,48.22,6.04,0.29,47.83,1.3891,0.1746,1.139,-0.0175
2026-05-31 00:00,0.24,短ATR状态,短ATR升温,100,3,2099,弱,2.05,51.02,48.98,16.1,4.05,42.45,2.8271,0.143,1.0518,-0.077
2026-05-31 00:00,0.24,短ATR状态,短ATR升温,100,5,2097,弱,4.72,52.36,47.64,23.08,12.4,40.15,3.7199,0.4962,1.0243,-0.1035
2026-05-31 00:00,0.24,短ATR状态,短ATR升温,100,10,2092,弱,2.87,48.57,51.43,29.92,26,34.85,4.2232,-0.6949,0.9726,-0.1529
2026-05-31 00:00,0.24,余动能状态,动能已超ATR,22.02,1,1841,中,12.76,56.38,43.62,7.06,0.33,50.9,1.9277,0.6205,1.1903,0.0102
2026-05-31 00:00,0.24,余动能状态,动能已超ATR,22.02,3,1841,弱,6.36,53.18,46.82,18.09,3.97,42.31,3.5377,0.6421,1.0533,-0.079
2026-05-31 00:00,0.24,余动能状态,动能已超ATR,22.02,5,1841,中,9.07,54.54,45.46,24.61,11.73,42.15,4.6526,1.0843,1.041,-0.079
2026-05-31 00:00,0.24,余动能状态,动能已超ATR,22.02,10,1836,弱,4.9,52.45,47.55,32.95,23.04,34.59,6.3189,1.0046,0.9782,-0.1477
2026-05-31 00:00,0.24,趋势状态,强趋势上行,100,1,1486,弱,7.81,46.1,53.9,4.91,0.2,49.33,0.8073,-0.3752,1.1422,-0.0054
2026-05-31 00:00,0.24,趋势状态,强趋势上行,100,3,1484,弱,4.72,52.36,47.64,16.04,3.37,45.69,2.5663,0.4334,1.09,-0.0488
2026-05-31 00:00,0.24,趋势状态,强趋势上行,100,5,1482,中,11.2,55.6,44.4,25.51,10.66,43.86,4.1707,1.2948,1.0688,-0.0644
2026-05-31 00:00,0.24,趋势状态,强趋势上行,100,10,1477,中,10.22,55.11,44.89,33.38,19.77,39.81,6.5369,1.9573,1.0156,-0.1058
2026-05-31 00:00,0.24,量能状态,量能正常,88.78,1,2679,中,9.29,45.35,54.65,3.73,0.04,40.69,0.5187,-0.4651,1.0322,-0.0946
2026-05-31 00:00,0.24,量能状态,量能正常,88.78,3,2678,中,9.63,45.18,54.82,12.96,4.03,39.32,1.574,-0.8626,1.0261,-0.1108
2026-05-31 00:00,0.24,量能状态,量能正常,88.78,5,2676,弱,6.73,46.64,53.36,19.92,12.93,39.09,2.557,-0.8622,1.0286,-0.1171
2026-05-31 00:00,0.24,量能状态,量能正常,88.78,10,2675,弱,4.67,47.66,52.34,29.68,27.33,36.11,4.5571,-1.0259,0.9782,-0.1399
