date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-05-31,1.28,波动状态,低波动启动,81.95,1,879,弱,4.66,47.67,52.33,8.3,0.0,48.81,1.6954,-0.2306,1.1894,-0.0174
2026-05-31,1.28,波动状态,低波动启动,81.95,3,878,弱,1.14,50.57,49.43,21.07,4.56,44.87,3.935,0.3185,1.1147,-0.0683
2026-05-31,1.28,波动状态,低波动启动,81.95,5,876,中,9.13,54.57,45.43,30.71,15.18,41.1,6.7196,1.3723,1.0976,-0.0938
2026-05-31,1.28,波动状态,低波动启动,81.95,10,874,中强,15.79,57.89,42.11,41.99,25.29,40.27,11.4716,5.6274,1.053,-0.1199
2026-05-31,1.28,短ATR状态,短ATR中性,96.37,1,886,强,32.51,33.75,66.25,4.51,0.34,32.51,-0.2851,-1.7785,0.9405,-0.2038
2026-05-31,1.28,短ATR状态,短ATR中性,96.37,3,884,强,28.73,35.63,64.37,13.12,11.99,36.09,0.2886,-3.1997,0.9947,-0.1853
2026-05-31,1.28,短ATR状态,短ATR中性,96.37,5,882,中强,21.09,39.46,60.54,19.39,28.0,34.35,0.9172,-3.7272,0.9646,-0.1936
2026-05-31,1.28,短ATR状态,短ATR中性,96.37,10,880,中强,17.27,41.36,58.64,27.5,35.57,36.14,2.8514,-3.976,0.9952,-0.1743
2026-05-31,1.28,波动超额状态,振幅已超ATR,30.06,1,668,弱,5.69,52.84,47.16,12.28,0.9,55.54,2.6593,0.3328,1.3002,0.0708
2026-05-31,1.28,波动超额状态,振幅已超ATR,30.06,3,668,中,10.18,55.09,44.91,25.45,6.44,46.71,5.5499,0.9956,1.1411,-0.0383
2026-05-31,1.28,波动超额状态,振幅已超ATR,30.06,5,667,中,12.44,56.22,43.78,34.03,14.69,37.33,8.55,2.3737,1.0642,-0.1333
2026-05-31,1.28,波动超额状态,振幅已超ATR,30.06,10,666,中,11.71,55.86,44.14,40.09,28.23,36.19,11.6161,3.6105,0.9888,-0.1769
2026-05-31,1.28,趋势状态,强趋势下行,100.0,1,1120,强,42.86,28.57,71.43,5.45,0.98,26.7,-0.5678,-2.1929,0.8657,-0.2714
2026-05-31,1.28,趋势状态,强趋势下行,100.0,3,1118,强,47.76,26.12,73.88,9.84,19.32,27.37,-1.9223,-5.0593,0.8675,-0.2722
2026-05-31,1.28,趋势状态,强趋势下行,100.0,5,1116,强,43.55,28.23,71.77,13.44,41.22,27.78,-2.8783,-7.8845,0.9008,-0.2588
2026-05-31,1.28,趋势状态,强趋势下行,100.0,10,1111,强,38.97,30.51,69.49,21.51,52.57,32.22,-3.1662,-11.1502,0.9438,-0.2262
2026-05-31,1.28,量能状态,量能正常,93.09,1,1165,强,30.47,34.76,65.24,5.67,0.43,35.11,0.0089,-1.8385,0.9719,-0.1719
2026-05-31,1.28,量能状态,量能正常,93.09,3,1164,强,25.6,37.2,62.8,12.71,11.43,34.62,0.1742,-2.773,0.9762,-0.1879
2026-05-31,1.28,量能状态,量能正常,93.09,5,1162,强,25.13,37.44,62.56,18.16,27.54,34.25,0.4077,-4.0801,0.9657,-0.1899
2026-05-31,1.28,量能状态,量能正常,93.09,10,1160,中强,17.59,41.21,58.79,27.24,38.45,37.5,2.6002,-5.4904,1.0219,-0.1626
