component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,52,样本偏少,26.92,36.54,63.46,7.69,15.38,21.15,-0.9331,-1.0974,0.886,-0.254,2026-02-08
波动超额状态,接近一倍ATR,3,52,样本偏少,3.85,48.08,51.92,23.08,25.0,34.62,1.572,-0.5981,1.1129,-0.2942,2026-02-08
波动超额状态,接近一倍ATR,5,52,样本偏少,7.69,46.15,53.85,34.62,23.08,25.0,3.5856,-2.2093,0.8406,-0.2712,2026-02-08
波动超额状态,接近一倍ATR,10,52,样本偏少,0.0,50.0,50.0,34.62,42.31,23.08,1.4593,-1.3289,0.9783,-0.3392,2026-02-08
波动超额状态,振幅未满ATR,1,114,样本偏少,26.32,36.84,63.16,11.4,7.02,18.42,0.2937,-2.1214,0.8196,-0.329,2026-05-17
波动超额状态,振幅未满ATR,3,112,样本偏少,28.57,35.71,64.29,18.75,33.04,23.21,-1.3696,-4.3093,0.8793,-0.2799,2026-05-03
波动超额状态,振幅未满ATR,5,110,样本偏少,40.0,30.0,70.0,21.82,54.55,27.27,-4.8156,-11.1358,0.9876,-0.2762,2026-04-19
波动超额状态,振幅未满ATR,10,105,样本偏少,29.52,35.24,64.76,22.86,52.38,32.38,-5.748,-10.4495,1.0095,-0.2021,2026-03-15
波动超额状态,振幅已超ATR,1,48,样本偏少,4.17,47.92,52.08,20.83,8.33,64.58,1.7854,-0.2914,1.5021,0.2569,2026-02-01
波动超额状态,振幅已超ATR,3,48,样本偏少,12.5,56.25,43.75,33.33,12.5,39.58,4.5632,1.1958,1.1193,-0.1871,2026-02-01
波动超额状态,振幅已超ATR,5,48,样本偏少,29.17,64.58,35.42,39.58,20.83,39.58,9.6915,5.9092,1.1626,-0.1729,2026-02-01
波动超额状态,振幅已超ATR,10,48,样本偏少,12.5,56.25,43.75,47.92,25.0,33.33,12.7745,8.7271,1.0166,-0.187,2026-02-01
波动状态,波动压缩,1,43,样本偏少,34.88,32.56,67.44,4.65,9.3,23.26,-1.061,-2.3852,0.9462,-0.2852,2026-05-17
波动状态,波动压缩,3,42,样本偏少,23.81,38.1,61.9,19.05,21.43,30.95,0.4953,-3.3766,1.0462,-0.1948,2026-05-03
波动状态,波动压缩,5,40,样本偏少,25.0,37.5,62.5,27.5,47.5,35.0,-1.5259,-8.237,1.304,-0.1279,2026-04-19
波动状态,波动压缩,10,39,样本偏少,33.33,33.33,66.67,25.64,48.72,33.33,-2.2153,-9.9276,1.103,-0.2186,2026-01-11
波动状态,常态波动,1,48,样本偏少,16.67,41.67,58.33,10.42,4.17,12.5,0.597,-0.7396,0.7133,-0.3331,2026-05-10
波动状态,常态波动,3,47,样本偏少,14.89,42.55,57.45,21.28,31.91,25.53,0.4287,-2.0956,0.8299,-0.3182,2026-04-12
波动状态,常态波动,5,47,样本偏少,36.17,31.91,68.09,25.53,44.68,29.79,-1.4241,-7.2058,0.8456,-0.3499,2026-04-12
波动状态,常态波动,10,46,样本偏少,30.43,34.78,65.22,23.91,54.35,34.78,-5.6372,-12.0565,1.032,-0.2363,2026-03-15
波动状态,低波动启动,1,90,样本偏少,4.44,47.78,52.22,20.0,11.11,48.89,2.1606,-0.1982,1.2972,-0.037,2025-10-05
波动状态,低波动启动,3,90,样本偏少,8.89,54.44,45.56,33.33,16.67,41.11,4.4369,1.778,1.1951,-0.1793,2025-10-05
波动状态,低波动启动,5,90,样本偏少,15.56,57.78,42.22,42.22,21.11,33.33,7.8007,3.365,1.0654,-0.1873,2025-10-05
波动状态,低波动启动,10,90,样本偏少,24.44,62.22,37.78,45.56,23.33,30.0,11.9651,7.8269,1.0262,-0.1889,2025-10-05
波动状态,高波动扩张,1,7,样本偏少,71.43,14.29,85.71,14.29,0.0,28.57,-1.9926,-3.7229,0.7887,-0.2582,2026-02-01
波动状态,高波动扩张,3,7,样本偏少,14.29,42.86,57.14,14.29,14.29,0.0,-1.7386,-3.4444,0.5663,-0.446,2026-02-01
波动状态,高波动扩张,5,7,样本偏少,14.29,42.86,57.14,0.0,28.57,14.29,-3.5771,-0.6664,0.6029,-0.5782,2026-02-01
