date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,0.01,波动状态,低波动启动,50.89,1,132,弱,7.58,53.79,46.21,9.85,0.0,49.24,2.312,0.8149,1.0911,-0.0061
2026-06-01,0.01,波动状态,低波动启动,50.89,3,131,中,14.5,57.25,42.75,22.9,5.34,38.17,5.1452,1.5454,0.9937,-0.0885
2026-06-01,0.01,波动状态,低波动启动,50.89,5,130,强,29.23,64.62,35.38,30.0,10.0,42.31,8.5818,3.4116,1.0361,-0.0517
2026-06-01,0.01,波动状态,低波动启动,50.89,10,127,强,40.16,70.08,29.92,40.94,10.24,36.22,15.0687,8.5417,0.9924,-0.1517
2026-06-01,0.01,短ATR状态,短ATR升温,30.81,1,80,样本偏少,17.5,58.75,41.25,11.25,1.25,51.25,4.0296,1.5641,1.1958,0.0373
2026-06-01,0.01,短ATR状态,短ATR升温,30.81,3,80,样本偏少,25.0,62.5,37.5,27.5,2.5,43.75,9.2973,2.6253,1.0598,-0.0821
2026-06-01,0.01,短ATR状态,短ATR升温,30.81,5,79,样本偏少,31.65,65.82,34.18,35.44,10.13,35.44,12.3509,4.1176,0.8987,-0.1635
2026-06-01,0.01,短ATR状态,短ATR升温,30.81,10,79,样本偏少,41.77,70.89,29.11,43.04,17.72,22.78,12.6793,8.396,0.7864,-0.2408
2026-06-01,0.01,波动超额状态,振幅已超ATR,37.82,1,86,样本偏少,9.3,54.65,45.35,10.47,1.16,47.67,3.1982,0.5676,1.2172,-0.0127
2026-06-01,0.01,波动超额状态,振幅已超ATR,37.82,3,86,样本偏少,4.65,52.33,47.67,24.42,3.49,37.21,5.9195,0.3244,0.9924,-0.1265
2026-06-01,0.01,波动超额状态,振幅已超ATR,37.82,5,85,样本偏少,24.71,62.35,37.65,32.94,14.12,38.82,11.5352,2.4511,0.9925,-0.0868
2026-06-01,0.01,波动超额状态,振幅已超ATR,37.82,10,84,样本偏少,26.19,63.1,36.9,38.1,19.05,28.57,13.7861,6.7847,0.9223,-0.2212
2026-06-01,0.01,趋势状态,强趋势下行,100.0,1,286,强,34.27,32.87,67.13,5.94,0.35,18.53,-0.8755,-2.4082,0.7868,-0.2982
2026-06-01,0.01,趋势状态,强趋势下行,100.0,3,284,强,40.14,29.93,70.07,12.68,25.7,23.24,-2.5416,-4.3025,0.8519,-0.2844
2026-06-01,0.01,趋势状态,强趋势下行,100.0,5,282,强,39.72,30.14,69.86,13.83,39.72,25.89,-3.9845,-7.2562,0.8714,-0.2787
2026-06-01,0.01,趋势状态,强趋势下行,100.0,10,277,强,42.24,28.88,71.12,17.69,53.43,28.88,-4.8505,-11.511,0.9114,-0.2399
2026-06-01,0.01,量能状态,量能正常,90.11,1,169,中强,18.34,40.83,59.17,10.65,0.59,33.14,0.2452,-1.4832,0.936,-0.1844
2026-06-01,0.01,量能状态,量能正常,90.11,3,168,中,9.52,45.24,54.76,20.83,15.48,29.17,0.9967,-1.1378,0.9189,-0.2333
2026-06-01,0.01,量能状态,量能正常,90.11,5,168,弱,3.57,51.79,48.21,23.21,25.0,28.57,1.9525,0.086,0.9386,-0.1871
2026-06-01,0.01,量能状态,量能正常,90.11,10,166,弱,7.23,46.39,53.61,26.51,34.34,27.71,2.8157,-2.6324,0.9039,-0.2268
