component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1091,强,27.77,36.11,63.89,1.83,0,35.2,-0.2287,-0.9915,0.9476,-0.1526,2026-05-30 16:00
波动状态,波动压缩,3,1090,中强,20,40,60,9.72,2.39,37.89,0.1159,-1.6313,0.989,-0.1338,2026-05-29 20:00
波动状态,波动压缩,5,1090,中,11.19,44.4,55.6,16.24,9.27,42.48,1.1016,-1.3169,1.0271,-0.0915,2026-05-29 20:00
波动状态,波动压缩,10,1089,弱,5.6,52.8,47.2,27.18,19.19,42.06,4.341,0.9691,1.0345,-0.0854,2026-05-29 08:00
波动状态,常态波动,1,597,强,29.31,35.34,64.66,1.84,0,31.32,-0.3914,-1.0837,0.9284,-0.1891,2026-05-30 20:00
波动状态,常态波动,3,596,中强,24.16,37.92,62.08,9.9,4.36,36.07,-0.4487,-2.4721,0.9713,-0.1412,2026-05-30 12:00
波动状态,常态波动,5,594,中强,18.86,40.57,59.43,15.32,18.52,39.39,-0.2061,-2.5838,0.9847,-0.1322,2026-05-29 00:00
波动状态,常态波动,10,594,中强,16.5,41.75,58.25,22.39,30.81,38.55,1.5176,-3.1427,1.0046,-0.1443,2026-05-29 00:00
波动状态,低波动启动,1,1155,弱,4.94,52.47,47.53,4.42,0.09,48.31,1.0231,0.2139,1.0952,-0.0221,2026-05-30 04:00
波动状态,低波动启动,3,1155,弱,6.32,53.16,46.84,14.98,2.16,45.19,2.5968,0.6125,1.0598,-0.0476,2026-05-30 04:00
波动状态,低波动启动,5,1155,弱,7.36,53.68,46.32,22.08,6.67,41.13,3.8421,1.0278,1.0368,-0.0874,2026-05-30 04:00
波动状态,低波动启动,10,1151,中,10.51,55.26,44.74,31.19,15.46,40.57,6.1885,1.8926,1.0164,-0.095,2026-05-28 20:00
波动状态,高波动扩张,1,509,弱,6.48,53.24,46.76,6.68,3.14,44.2,0.9833,0.379,1.0819,-0.0618,2026-02-11 12:00
波动状态,高波动扩张,3,509,中,12.38,43.81,56.19,13.56,9.63,34.18,1.4493,-1.2582,0.9728,-0.142,2026-02-11 12:00
波动状态,高波动扩张,5,509,中强,19.45,40.28,59.72,18.27,20.83,30.45,1.3283,-2.7573,0.9382,-0.1723,2026-02-11 12:00
波动状态,高波动扩张,10,509,强,26.52,36.74,63.26,18.86,41.85,26.72,-0.6825,-6.3754,0.8597,-0.2119,2026-02-11 12:00
波动状态,高波动冷却,1,685,强,43.65,28.18,71.82,1.17,0,20.88,-1.1322,-1.5907,0.8055,-0.262,2026-05-07 16:00
波动状态,高波动冷却,3,685,强,50.07,24.96,75.04,5.26,11.82,25.26,-2.9246,-4.4975,0.8438,-0.2344,2026-05-07 16:00
波动状态,高波动冷却,5,685,强,51.53,24.23,75.77,6.57,32.26,24.67,-4.6595,-6.4302,0.836,-0.2521,2026-05-07 16:00
波动状态,高波动冷却,10,685,强,56.5,21.75,78.25,8.03,56.06,29.93,-7.9905,-12.1782,0.9016,-0.2094,2026-05-07 16:00
短ATR状态,短ATR降温,1,1432,强,34.64,32.68,67.32,1.89,0,30.17,-0.5739,-1.2597,0.8981,-0.2034,2026-05-25 20:00
短ATR状态,短ATR降温,3,1432,强,29.05,35.47,64.53,8.87,5.87,36.03,-0.9013,-2.6845,0.9601,-0.1646,2026-05-25 20:00
短ATR状态,短ATR降温,5,1432,中强,24.58,37.71,62.29,13.62,17.6,37.64,-0.7055,-3.2966,0.9775,-0.1432,2026-05-25 20:00
短ATR状态,短ATR降温,10,1432,中,11.31,44.34,55.66,21.93,30.52,40.22,0.7256,-2.2441,1.0086,-0.1083,2026-05-25 20:00
短ATR状态,短ATR升温,1,985,弱,7.41,53.71,46.29,5.38,1.42,47.51,1.2741,0.359,1.1145,-0.0308,2026-05-30 08:00
短ATR状态,短ATR升温,3,985,弱,2.74,51.37,48.63,16.14,4.47,41.02,2.9022,0.374,1.0371,-0.0854,2026-05-30 08:00
短ATR状态,短ATR升温,5,984,弱,6.5,53.25,46.75,24.39,10.37,41.16,3.9363,0.846,1.024,-0.0993,2026-05-30 04:00
短ATR状态,短ATR升温,10,980,弱,0.61,49.69,50.31,28.47,23.98,32.96,4.5438,-0.0556,0.9434,-0.1578,2026-05-28 20:00
短ATR状态,短ATR中性,1,1620,中强,16.3,41.85,58.15,2.72,0.19,36.85,-0.006,-0.6864,0.9702,-0.1334,2026-05-30 20:00
短ATR状态,短ATR中性,3,1618,中强,18.91,40.54,59.46,9.7,4.88,35.66,0.0152,-1.658,0.9628,-0.1462,2026-05-30 12:00
短ATR状态,短ATR中性,5,1617,中强,19.36,40.32,59.68,13.98,16.14,34.14,0.0849,-2.2347,0.9553,-0.1512,2026-05-29 20:00
短ATR状态,短ATR中性,10,1616,中强,16.71,41.65,58.35,21.41,30.63,36.88,0.8905,-2.5838,0.9774,-0.1449,2026-05-29 08:00
量能状态,放量,1,724,中,12.98,56.49,43.51,6.77,1.66,53.73,1.5245,0.7574,1.1793,0.0425,2026-05-30 04:00
量能状态,放量,3,724,弱,6.08,53.04,46.96,15.75,4.01,40.19,3.1286,0.6578,1.0238,-0.0819,2026-05-30 04:00
量能状态,放量,5,724,弱,4.14,52.07,47.93,22.79,9.53,39.36,3.7526,0.7339,0.9981,-0.1013,2026-05-30 04:00
量能状态,放量,10,722,弱,3.32,51.66,48.34,27.29,22.02,32.69,4.2473,0.4209,0.9361,-0.171,2026-05-28 12:00
量能状态,量能正常,1,1392,弱,6.75,46.62,53.38,3.09,0.36,41.24,0.4454,-0.3175,1.0154,-0.0887,2026-05-30 12:00
量能状态,量能正常,3,1392,中,9.34,45.33,54.67,12,4.17,38.36,1.0132,-1.0322,0.9977,-0.1217,2026-05-30 12:00
量能状态,量能正常,5,1391,中,8.41,45.79,54.21,18.19,13.8,37.96,1.5656,-1.0879,0.995,-0.1231,2026-05-29 12:00
量能状态,量能正常,10,1390,弱,6.76,46.62,53.38,25.76,25.61,35.83,2.7609,-1.278,0.9655,-0.1414,2026-05-29 08:00
量能状态,缩量,1,1921,强,35.76,32.12,67.88,1.67,0,27.8,-0.6769,-1.2975,0.8789,-0.2182,2026-05-30 20:00
量能状态,缩量,3,1919,强,31.74,34.13,65.87,8.44,6.25,35.02,-1.0854,-2.8052,0.9506,-0.1648,2026-05-30 08:00
量能状态,缩量,5,1918,强,26.8,36.6,63.4,12.67,18.46,35.61,-0.9876,-3.3689,0.9621,-0.1542,2026-05-29 20:00
量能状态,缩量,10,1916,中强,19.21,40.4,59.6,20.04,34.03,39.72,0.014,-3.4559,1.0076,-0.1186,2026-05-29 04:00
趋势状态,强趋势上行,1,1031,中,9.99,45,55,3.01,0.68,48.79,0.2465,-0.4863,1.1056,-0.0132,2026-05-21 16:00
趋势状态,强趋势上行,3,1031,弱,3.98,51.99,48.01,14.74,2.23,47.24,2.2397,0.4572,1.0821,-0.0247,2026-05-21 16:00
趋势状态,强趋势上行,5,1031,中,14.06,57.03,42.97,23.18,6.79,43.84,3.6928,1.7674,1.0541,-0.0549,2026-05-21 16:00
