date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-01,1.1,波动状态,低波动启动,43.73,1,142,弱,0.0,50.0,50.0,11.27,0.0,57.75,1.9397,-0.0101,1.1769,0.0626
2026-06-01,1.1,波动状态,低波动启动,43.73,3,142,中强,18.31,59.15,40.85,28.87,7.75,45.07,5.7982,1.4926,1.0509,-0.0703
2026-06-01,1.1,波动状态,低波动启动,43.73,5,142,中强,18.31,59.15,40.85,33.1,10.56,45.77,7.3147,3.1265,1.0413,-0.0692
2026-06-01,1.1,波动状态,低波动启动,43.73,10,138,强,39.13,69.57,30.43,50.0,11.59,39.13,14.254,10.0447,1.0123,-0.0839
2026-06-01,1.1,短ATR状态,短ATR降温,98.86,1,253,强,35.97,32.02,67.98,4.35,0.4,25.69,-0.8018,-2.0855,0.8521,-0.255
2026-06-01,1.1,短ATR状态,短ATR降温,98.86,3,251,强,35.46,32.27,67.73,10.36,23.51,30.68,-2.2304,-3.7728,0.8929,-0.2155
2026-06-01,1.1,短ATR状态,短ATR降温,98.86,5,250,强,32.8,33.6,66.4,14.0,32.8,30.8,-3.3343,-5.3941,0.9107,-0.2066
2026-06-01,1.1,短ATR状态,短ATR降温,98.86,10,247,强,36.03,31.98,68.02,19.03,46.15,36.03,-5.3983,-8.5343,0.9631,-0.1526
2026-06-01,1.1,波动超额状态,接近一倍ATR,70.45,1,153,中强,24.18,37.91,62.09,6.54,0.0,37.25,0.5025,-1.2262,0.9841,-0.1303
2026-06-01,1.1,波动超额状态,接近一倍ATR,70.45,3,153,中强,15.03,42.48,57.52,16.99,16.34,35.29,1.2046,-2.1992,1.0007,-0.1348
2026-06-01,1.1,波动超额状态,接近一倍ATR,70.45,5,152,中,11.84,44.08,55.92,23.68,21.71,35.53,1.9716,-2.2482,1.0138,-0.138
2026-06-01,1.1,波动超额状态,接近一倍ATR,70.45,10,149,弱,6.04,46.98,53.02,33.56,28.19,26.85,2.0498,-1.4606,0.8849,-0.26
2026-06-01,1.1,趋势状态,强趋势下行,100.0,1,226,强,43.36,28.32,71.68,4.87,0.88,21.24,-1.2119,-2.4732,0.8028,-0.2995
2026-06-01,1.1,趋势状态,强趋势下行,100.0,3,224,强,48.21,25.89,74.11,9.82,28.57,21.43,-3.605,-5.4056,0.8385,-0.2527
2026-06-01,1.1,趋势状态,强趋势下行,100.0,5,222,强,51.35,24.32,75.68,10.36,39.19,24.77,-5.784,-7.0852,0.8684,-0.2432
2026-06-01,1.1,趋势状态,强趋势下行,100.0,10,218,强,46.79,26.61,73.39,16.06,57.8,29.82,-8.6537,-11.746,0.9157,-0.1733
2026-06-01,1.1,量能状态,量能正常,83.35,1,152,强,25.0,37.5,62.5,7.24,0.66,34.87,-0.0614,-1.3902,0.9333,-0.1615
2026-06-01,1.1,量能状态,量能正常,83.35,3,150,弱,5.33,47.33,52.67,16.0,16.0,31.33,1.0076,-0.986,0.9478,-0.1679
2026-06-01,1.1,量能状态,量能正常,83.35,5,149,弱,3.36,48.32,51.68,22.15,18.79,36.24,1.7651,-0.9825,0.97,-0.1265
2026-06-01,1.1,量能状态,量能正常,83.35,10,148,弱,0.0,50.0,50.0,29.73,25.0,36.49,2.7711,0.0109,1.0087,-0.171
