component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动状态,波动压缩,1,1114,强,31.6,34.2,65.8,1.26,0,33.39,-0.4748,-1.1421,0.9168,-0.1754,2026-05-30 16:00
波动状态,波动压缩,3,1113,中强,22.19,38.9,61.1,7.73,4.13,37.74,-0.465,-1.871,0.978,-0.126,2026-05-30 12:00
波动状态,波动压缩,5,1111,中,14.31,42.84,57.16,15.12,14.04,40.95,0.5414,-1.5781,1.023,-0.0889,2026-05-29 20:00
波动状态,波动压缩,10,1110,弱,5.77,47.12,52.88,25.41,24.59,44.32,2.9025,-1.0263,1.0525,-0.0641,2026-05-29 04:00
波动状态,常态波动,1,582,中强,19.93,40.03,59.97,2.41,0,35.22,-0.0523,-0.7868,0.9515,-0.1598,2026-05-30 04:00
波动状态,常态波动,3,582,中强,21.99,39,61,8.93,4.47,36.08,-0.2818,-2.0121,0.9524,-0.1462,2026-05-30 04:00
波动状态,常态波动,5,582,中强,22.68,38.66,61.34,12.89,15.81,36.6,-0.2401,-2.0595,0.9572,-0.1543,2026-05-30 04:00
波动状态,常态波动,10,580,中强,17.24,41.38,58.62,17.76,31.38,36.03,-0.1766,-2.8942,0.9431,-0.1456,2026-05-29 08:00
波动状态,低波动启动,1,1216,中,10.2,55.1,44.9,3.62,0.16,49.01,1.0735,0.5493,1.098,-0.0108,2026-05-30 20:00
波动状态,低波动启动,3,1215,中,10.78,55.39,44.61,15.47,2.63,46.42,2.8068,0.8747,1.0597,-0.029,2026-05-30 00:00
波动状态,低波动启动,5,1215,中,8.15,54.07,45.93,21.15,7.65,44.28,3.6886,1.3203,1.0213,-0.0622,2026-05-30 00:00
波动状态,低波动启动,10,1213,中强,16.57,58.29,41.71,31.74,15.91,41.3,6.4391,2.9272,1.0073,-0.0837,2026-05-28 12:00
波动状态,高波动扩张,1,516,弱,0.78,49.61,50.39,6.78,1.36,48.45,0.4725,-0.0508,1.0798,-0.0304,2026-04-21 00:00
波动状态,高波动扩张,3,516,中强,16.28,41.86,58.14,13.37,9.11,35.85,0.3754,-1.5486,0.9705,-0.1456,2026-04-21 00:00
波动状态,高波动扩张,5,516,中强,21.71,39.15,60.85,18.41,18.8,36.05,0.0563,-2.3448,0.9569,-0.1403,2026-04-21 00:00
波动状态,高波动扩张,10,516,强,25.19,37.4,62.6,19.57,35.47,32.17,-1.7943,-5.2399,0.8921,-0.1928,2026-04-21 00:00
波动状态,高波动冷却,1,597,强,42.04,28.98,71.02,1.17,0,24.12,-0.9876,-1.6104,0.824,-0.2669,2026-04-23 04:00
波动状态,高波动冷却,3,597,强,43.72,28.14,71.86,5.53,9.05,31.32,-2.3952,-4.1928,0.8818,-0.2133,2026-04-23 04:00
波动状态,高波动冷却,5,597,强,42.38,28.81,71.19,8.88,27.81,29.15,-3.6872,-5.4754,0.8844,-0.2275,2026-04-23 04:00
波动状态,高波动冷却,10,597,强,49.08,25.46,74.54,11.89,49.25,32.5,-6.2308,-9.6129,0.9268,-0.1807,2026-04-23 04:00
短ATR状态,短ATR降温,1,1385,强,33.29,33.36,66.64,1.52,0,30.54,-0.6237,-1.331,0.8919,-0.2061,2026-05-30 20:00
短ATR状态,短ATR降温,3,1383,强,28.71,35.65,64.35,8.03,5.93,35.79,-0.9956,-2.5738,0.9574,-0.1537,2026-05-30 12:00
短ATR状态,短ATR降温,5,1382,强,26.19,36.9,63.1,11.94,17.29,37.05,-0.8033,-2.9785,0.9705,-0.1348,2026-05-25 08:00
短ATR状态,短ATR降温,10,1382,中强,16.21,41.9,58.1,21.49,29.88,41.03,0.8557,-3.1878,1.0152,-0.0945,2026-05-25 08:00
短ATR状态,短ATR升温,1,1066,弱,6,53,47,5.53,0.75,51.31,1.1594,0.4206,1.1288,0.0114,2026-05-29 16:00
短ATR状态,短ATR升温,3,1066,弱,6.94,53.47,46.53,15.38,4.22,45.4,2.7013,0.5537,1.0518,-0.0441,2026-05-29 16:00
短ATR状态,短ATR升温,5,1066,弱,7.69,53.85,46.15,23.08,10.98,43.71,3.4807,1.0052,1.027,-0.0658,2026-05-29 16:00
短ATR状态,短ATR升温,10,1064,弱,3.01,51.5,48.5,28.95,22.74,36.84,4.0695,0.5756,0.949,-0.1411,2026-05-28 20:00
短ATR状态,短ATR中性,1,1574,中,12.83,43.58,56.42,2.16,0.06,37.93,0.0179,-0.5342,0.9662,-0.1288,2026-05-30 08:00
短ATR状态,短ATR中性,3,1574,中强,16.9,41.55,58.45,9.72,4.96,37.29,-0.0066,-1.5621,0.9607,-0.1396,2026-05-30 08:00
短ATR状态,短ATR中性,5,1573,中强,17.61,41.2,58.8,15.07,15.77,37.38,0.1087,-1.7309,0.9665,-0.143,2026-05-30 04:00
短ATR状态,短ATR中性,10,1570,中,12.36,43.82,56.18,21.46,29.94,38.41,0.4916,-2.3181,0.9796,-0.1293,2026-05-29 08:00
量能状态,放量,1,773,中,11,55.5,44.5,6.34,0.52,56.4,1.3906,0.6201,1.1807,0.0709,2026-05-30 20:00
